;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.3486036009281874;0.5089;0.348098934084177;0.5;25.0;25.0;12.5;12.5;12.5;12.5;18.75;12.5;15.62;12.5;6.25;6.25;3.12;12.5;50.0;25.0;25.0;37.5;37.5;50.0;50.0;56.25;50.0;59.38;59.38;28.12;31.25;18.75;43.75;50.0
1;0.3490829586416483;0.5044;0.34969062608480456;0.457;25.0;50.0;25.0;25.0;18.75;18.75;31.25;21.88;21.88;21.88;9.38;12.5;3.12;18.75;50.0;25.0;50.0;37.5;50.0;56.25;56.25;62.5;53.12;62.5;59.38;31.25;31.25;12.5;50.0;50.0
2;0.3483482310563326;0.5021;0.34655062717199325;0.504;25.0;25.0;25.0;12.5;18.75;25.0;31.25;21.88;21.88;18.75;9.38;15.62;6.25;25.0;50.0;25.0;50.0;37.5;37.5;62.5;56.25;62.5;56.25;62.5;59.38;34.38;31.25;12.5;50.0;50.0
3;0.34811190496385097;0.4987;0.3466926238536835;0.4995;25.0;25.0;25.0;12.5;18.75;18.75;31.25;21.88;21.88;15.62;9.38;18.75;9.38;31.25;50.0;25.0;50.0;37.5;37.5;62.5;56.25;62.5;56.25;59.38;56.25;31.25;31.25;12.5;50.0;50.0
4;0.3482966309309006;0.4973;0.34798364904522894;0.5;25.0;50.0;25.0;25.0;25.0;25.0;37.5;25.0;25.0;18.75;9.38;21.88;9.38;31.25;50.0;25.0;75.0;50.0;50.0;62.5;56.25;62.5;56.25;62.5;56.25;31.25;31.25;12.5;50.0;50.0
5;0.3473677648484707;0.5096;0.3464398126602173;0.5085;25.0;50.0;37.5;25.0;31.25;31.25;37.5;25.0;25.0;18.75;9.38;21.88;9.38;37.5;50.0;25.0;75.0;50.0;50.0;62.5;56.25;62.5;56.25;62.5;56.25;31.25;34.38;12.5;50.0;50.0
6;0.3474814643979073;0.5023;0.3458578301668167;0.51;25.0;50.0;37.5;25.0;25.0;31.25;37.5;25.0;25.0;18.75;9.38;21.88;9.38;37.5;50.0;25.0;75.0;50.0;50.0;62.5;56.25;62.5;56.25;62.5;56.25;28.12;31.25;12.5;50.0;50.0
7;0.3473192200541496;0.5075;0.34651917615532873;0.5085;25.0;50.0;37.5;25.0;31.25;31.25;37.5;25.0;25.0;18.75;9.38;21.88;9.38;31.25;50.0;25.0;50.0;50.0;50.0;62.5;56.25;62.5;56.25;59.38;56.25;28.12;31.25;9.38;43.75;50.0
8;0.34718201174736024;0.5104;0.3471104762852192;0.461;0.0;50.0;37.5;25.0;25.0;31.25;37.5;25.0;25.0;18.75;9.38;21.88;6.25;31.25;50.0;25.0;50.0;50.0;50.0;62.5;56.25;56.25;56.25;59.38;56.25;28.12;31.25;9.38;43.75;50.0
9;0.3471584961295128;0.5038;0.3463394005894661;0.5;0.0;50.0;37.5;25.0;25.0;31.25;37.5;25.0;25.0;18.75;9.38;21.88;6.25;31.25;50.0;25.0;50.0;50.0;50.0;62.5;56.25;56.25;56.25;59.38;53.12;28.12;31.25;9.38;43.75;50.0
10;0.347364720672369;0.5027;0.34626136657595635;0.507;0.0;50.0;37.5;25.0;25.0;31.25;37.5;25.0;25.0;18.75;9.38;25.0;9.38;37.5;50.0;25.0;50.0;50.0;50.0;62.5;56.25;56.25;56.25;59.38;53.12;28.12;31.25;12.5;43.75;50.0
11;0.34694435544610025;0.5112;0.3467072003185749;0.5;25.0;50.0;37.5;25.0;25.0;31.25;37.5;25.0;25.0;18.75;9.38;25.0;9.38;37.5;50.0;25.0;50.0;50.0;50.0;62.5;56.25;56.25;56.25;56.25;56.25;28.12;31.25;12.5;43.75;50.0
12;0.3472763165533543;0.5036;0.34659393191337584;0.502;25.0;50.0;37.5;25.0;25.0;31.25;37.5;25.0;25.0;18.75;9.38;25.0;9.38;31.25;50.0;25.0;75.0;50.0;50.0;62.5;56.25;56.25;56.25;59.38;56.25;28.12;31.25;9.38;43.75;50.0
13;0.34739562873244284;0.499;0.34656954526901246;0.501;25.0;75.0;37.5;25.0;25.0;31.25;37.5;25.0;25.0;18.75;9.38;21.88;9.38;31.25;50.0;25.0;75.0;50.0;50.0;62.5;56.25;56.25;56.25;56.25;56.25;28.12;31.25;9.38;43.75;50.0
14;0.34715854368209836;0.4973;0.3464862142801285;0.5075;25.0;75.0;37.5;25.0;25.0;31.25;37.5;28.12;25.0;21.88;9.38;21.88;9.38;37.5;50.0;25.0;75.0;50.0;50.0;62.5;56.25;56.25;56.25;56.25;53.12;25.0;31.25;9.38;43.75;50.0
15;0.34712043232917783;0.4979;0.3462358665168285;0.5;50.0;75.0;37.5;25.0;31.25;31.25;37.5;28.12;25.0;21.88;9.38;25.0;9.38;37.5;50.0;50.0;75.0;50.0;50.0;62.5;56.25;56.25;56.25;56.25;56.25;25.0;31.25;9.38;43.75;50.0
16;0.3467913472115994;0.5114;0.3455264780819416;0.543;50.0;50.0;37.5;25.0;31.25;31.25;37.5;25.0;25.0;21.88;9.38;25.0;12.5;37.5;50.0;50.0;75.0;50.0;50.0;62.5;56.25;56.25;56.25;56.25;53.12;25.0;31.25;9.38;43.75;50.0
17;0.3465460263550281;0.5174;0.34591484621167184;0.5;50.0;50.0;37.5;25.0;25.0;31.25;31.25;25.0;25.0;18.75;9.38;21.88;12.5;31.25;50.0;50.0;75.0;50.0;50.0;62.5;56.25;56.25;56.25;56.25;53.12;25.0;31.25;9.38;37.5;50.0
18;0.34682833222150805;0.5106;0.3458074112534523;0.5;50.0;50.0;37.5;25.0;25.0;25.0;31.25;25.0;25.0;18.75;9.38;21.88;9.38;31.25;50.0;50.0;75.0;62.5;50.0;62.5;56.25;56.25;56.25;56.25;53.12;25.0;31.25;9.38;37.5;50.0
19;0.3467713835656643;0.5102;0.3464984630942345;0.5;50.0;50.0;37.5;25.0;25.0;25.0;31.25;25.0;25.0;18.75;9.38;21.88;9.38;31.25;50.0;50.0;75.0;62.5;50.0;62.5;56.25;56.25;56.25;56.25;53.12;25.0;31.25;9.38;37.5;50.0
