;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-7;training_accuracy;training_loss
0;62.5;50.0;25.0;25.0;12.5;31.25;25.0;21.88;43.75;25.0;53.12;62.5;68.75;68.75;25.0;0.5255;0.08644415873289109;81.25;50.0;50.0;37.5;18.75;43.75;31.25;28.12;46.88;25.0;59.38;65.62;75.0;71.88;25.0;0.5088;0.08671086667180061
1;62.5;50.0;50.0;37.5;18.75;37.5;31.25;25.0;43.75;25.0;53.12;65.62;68.75;68.75;25.0;0.507;0.08678684252500533;81.25;50.0;50.0;37.5;25.0;43.75;37.5;31.25;46.88;50.0;59.38;65.62;75.0;71.88;25.0;0.5086;0.08672407128214836
2;62.5;50.0;50.0;37.5;25.0;37.5;31.25;28.12;46.88;50.0;56.25;65.62;68.75;68.75;25.0;0.537;0.08634589049220086;81.25;50.0;75.0;50.0;31.25;50.0;37.5;31.25;46.88;50.0;59.38;65.62;71.88;71.88;25.0;0.5184;0.08663890370726586
3;62.5;50.0;50.0;37.5;25.0;43.75;31.25;31.25;50.0;50.0;56.25;65.62;68.75;68.75;25.0;0.58;0.08438829496502877;75.0;50.0;75.0;50.0;31.25;50.0;43.75;34.38;50.0;50.0;59.38;65.62;71.88;71.88;25.0;0.5449;0.08592315307855607
4;56.25;0.0;50.0;50.0;25.0;50.0;37.5;31.25;50.0;50.0;56.25;65.62;68.75;68.75;25.0;0.594;0.08359281322360039;75.0;50.0;75.0;50.0;37.5;56.25;43.75;37.5;50.0;50.0;59.38;65.62;71.88;71.88;25.0;0.5719;0.08502999416589736
5;56.25;0.0;75.0;50.0;31.25;50.0;37.5;34.38;50.0;50.0;56.25;65.62;68.75;68.75;37.5;0.596;0.08229046414792537;68.75;50.0;75.0;50.0;37.5;56.25;43.75;37.5;50.0;50.0;59.38;65.62;71.88;68.75;37.5;0.5878;0.08422391610145569
6;56.25;0.0;75.0;50.0;31.25;50.0;43.75;34.38;53.12;50.0;56.25;65.62;68.75;65.62;37.5;0.626;0.08150981977581978;68.75;0.0;75.0;50.0;37.5;56.25;43.75;37.5;53.12;50.0;59.38;65.62;71.88;68.75;37.5;0.6032;0.08301504095494747
7;56.25;0.0;75.0;50.0;31.25;50.0;43.75;37.5;53.12;50.0;56.25;65.62;68.75;65.62;37.5;0.6245;0.0806369137763977;62.5;0.0;75.0;50.0;37.5;56.25;43.75;40.62;53.12;50.0;59.38;65.62;68.75;68.75;37.5;0.6229;0.08199137209653855
8;50.0;0.0;75.0;50.0;31.25;56.25;43.75;37.5;53.12;50.0;56.25;65.62;68.75;65.62;37.5;0.6655;0.07792724472284317;62.5;0.0;75.0;50.0;37.5;62.5;50.0;40.62;53.12;50.0;59.38;65.62;68.75;68.75;37.5;0.6273;0.08123497696816921
9;50.0;0.0;75.0;50.0;31.25;56.25;43.75;37.5;53.12;50.0;59.38;65.62;68.75;65.62;37.5;0.648;0.07923423221707344;62.5;0.0;75.0;50.0;37.5;62.5;50.0;40.62;53.12;50.0;59.38;65.62;68.75;65.62;37.5;0.6338;0.08090155260264874
