;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.08524299640059471;0.5628;0.08304719352722167;0.605;50.0;50.0;25.0;25.0;12.5;25.0;25.0;15.62;15.62;15.62;21.88;15.62;6.25;12.5;0.0;50.0;50.0;37.5;50.0;43.75;56.25;56.25;43.75;59.38;56.25;62.5;65.62;53.12;68.75;50.0
1;0.08332329994440078;0.5961;0.08112306733429432;0.625;50.0;50.0;37.5;37.5;25.0;37.5;37.5;18.75;18.75;21.88;28.12;18.75;9.38;25.0;0.0;50.0;75.0;62.5;50.0;56.25;56.25;62.5;46.88;56.25;59.38;59.38;59.38;46.88;62.5;0.0
2;0.08171177045106888;0.6188;0.07824000722169876;0.643;50.0;50.0;37.5;50.0;31.25;50.0;37.5;21.88;25.0;25.0;28.12;18.75;12.5;25.0;0.0;50.0;75.0;62.5;50.0;56.25;62.5;62.5;50.0;56.25;56.25;59.38;53.12;40.62;56.25;0.0
3;0.07926160192489624;0.6462;0.07374418656527996;0.6905;50.0;75.0;50.0;50.0;37.5;50.0;43.75;21.88;28.12;28.12;31.25;21.88;15.62;25.0;0.0;75.0;75.0;62.5;50.0;62.5;68.75;62.5;46.88;56.25;53.12;56.25;50.0;37.5;50.0;0.0
4;0.07705100166201591;0.6673;0.07208256681263447;0.688;50.0;75.0;50.0;50.0;37.5;56.25;50.0;25.0;28.12;28.12;28.12;21.88;18.75;25.0;0.0;75.0;75.0;62.5;50.0;62.5;68.75;62.5;46.88;56.25;50.0;56.25;46.88;37.5;50.0;0.0
5;0.07544796612560749;0.6715;0.07256008874624968;0.672;75.0;75.0;50.0;50.0;43.75;62.5;50.0;25.0;31.25;25.0;28.12;21.88;21.88;25.0;0.0;75.0;75.0;75.0;50.0;56.25;68.75;62.5;46.88;53.12;46.88;50.0;43.75;37.5;43.75;0.0
6;0.07463963339626789;0.6753;0.07215554390847682;0.696;75.0;75.0;62.5;50.0;43.75;62.5;50.0;25.0;31.25;28.12;28.12;21.88;21.88;25.0;0.0;75.0;75.0;75.0;50.0;56.25;68.75;62.5;43.75;53.12;46.88;50.0;43.75;34.38;43.75;0.0
7;0.07411636448800564;0.6859;0.07044149306416511;0.7105;75.0;75.0;62.5;50.0;50.0;62.5;50.0;28.12;34.38;28.12;28.12;25.0;21.88;18.75;0.0;75.0;75.0;75.0;50.0;56.25;68.75;62.5;43.75;53.12;43.75;46.88;40.62;34.38;37.5;0.0
8;0.07227764865458011;0.7008;0.06921408714354038;0.718;75.0;75.0;62.5;50.0;50.0;62.5;50.0;28.12;34.38;31.25;31.25;25.0;25.0;25.0;0.0;75.0;75.0;75.0;50.0;56.25;68.75;62.5;40.62;53.12;46.88;46.88;40.62;34.38;37.5;0.0
9;0.07200054358839988;0.7106;0.06868475395441055;0.718;75.0;75.0;62.5;50.0;50.0;62.5;50.0;28.12;34.38;31.25;31.25;25.0;25.0;18.75;0.0;75.0;75.0;75.0;50.0;56.25;68.75;56.25;40.62;50.0;46.88;43.75;37.5;31.25;37.5;0.0
10;0.07111615281999112;0.7096;0.06625074152648448;0.7385;75.0;75.0;62.5;50.0;56.25;62.5;56.25;28.12;34.38;31.25;31.25;28.12;25.0;18.75;0.0;75.0;75.0;75.0;50.0;56.25;68.75;56.25;40.62;50.0;43.75;43.75;37.5;31.25;37.5;0.0
11;0.07056020247340203;0.7112;0.06531077318638563;0.7345;75.0;75.0;62.5;50.0;56.25;62.5;56.25;28.12;34.38;31.25;31.25;28.12;25.0;18.75;0.0;75.0;75.0;75.0;50.0;56.25;68.75;56.25;37.5;46.88;43.75;43.75;37.5;31.25;31.25;0.0
12;0.07039039395004511;0.7157;0.06608013318479061;0.734;75.0;75.0;62.5;50.0;56.25;62.5;56.25;31.25;37.5;34.38;31.25;28.12;25.0;18.75;0.0;75.0;75.0;75.0;50.0;56.25;68.75;56.25;37.5;46.88;46.88;43.75;34.38;28.12;31.25;0.0
13;0.06838277187496423;0.7265;0.06443171940743923;0.7395;75.0;75.0;62.5;50.0;56.25;62.5;56.25;31.25;37.5;34.38;31.25;28.12;25.0;18.75;0.0;75.0;75.0;75.0;50.0;56.25;68.75;56.25;37.5;46.88;46.88;43.75;34.38;28.12;31.25;0.0
14;0.06938175798803568;0.7287;0.06816114924103021;0.717;75.0;75.0;62.5;50.0;56.25;62.5;50.0;31.25;37.5;34.38;34.38;28.12;25.0;18.75;0.0;75.0;75.0;75.0;50.0;56.25;62.5;56.25;37.5;46.88;46.88;40.62;34.38;28.12;25.0;0.0
15;0.06817435904294253;0.73;0.06190027330815792;0.757;75.0;75.0;62.5;50.0;56.25;62.5;50.0;31.25;37.5;37.5;31.25;28.12;25.0;18.75;0.0;75.0;75.0;75.0;50.0;56.25;62.5;56.25;37.5;43.75;46.88;40.62;34.38;28.12;25.0;0.0
16;0.06711708195507526;0.7403;0.06390117201954126;0.755;75.0;75.0;62.5;62.5;56.25;62.5;50.0;31.25;37.5;37.5;31.25;28.12;21.88;18.75;0.0;75.0;75.0;75.0;50.0;56.25;62.5;56.25;37.5;43.75;46.88;37.5;31.25;25.0;25.0;0.0
17;0.06681893225312233;0.7386;0.06257421027868987;0.76;75.0;75.0;62.5;62.5;56.25;62.5;50.0;31.25;37.5;37.5;31.25;28.12;21.88;18.75;0.0;75.0;75.0;62.5;50.0;56.25;62.5;56.25;37.5;43.75;43.75;37.5;31.25;25.0;25.0;0.0
18;0.06731410970389844;0.737;0.06317571219801903;0.7645;75.0;50.0;62.5;62.5;56.25;56.25;50.0;34.38;37.5;34.38;31.25;25.0;18.75;18.75;0.0;75.0;75.0;62.5;62.5;56.25;62.5;56.25;37.5;43.75;43.75;37.5;31.25;25.0;25.0;0.0
19;0.06615026835948229;0.7406;0.06152995380014181;0.7505;75.0;50.0;62.5;62.5;56.25;56.25;50.0;34.38;37.5;34.38;28.12;25.0;18.75;12.5;0.0;75.0;75.0;62.5;62.5;56.25;62.5;56.25;37.5;43.75;43.75;34.38;28.12;21.88;25.0;0.0
