;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-7;training_accuracy;training_loss
0;81.25;60.0;25.0;37.5;18.75;25.0;25.0;25.0;56.25;25.0;50.0;75.0;75.0;71.88;25.0;0.1268;0.004592328095436096;81.25;70.0;25.0;37.5;25.0;31.25;31.25;28.12;56.25;25.0;50.0;75.0;75.0;71.88;25.0;0.1135;0.0045090210342407224
1;81.25;40.0;25.0;37.5;18.75;25.0;25.0;25.0;56.25;25.0;50.0;75.0;75.0;71.88;25.0;0.1299;0.004563964796066284;81.25;70.0;25.0;37.5;25.0;31.25;31.25;28.12;56.25;25.0;50.0;75.0;75.0;71.88;25.0;0.13768;0.004483744854927063
2;75.0;20.0;0.0;37.5;18.75;25.0;25.0;25.0;56.25;25.0;50.0;75.0;75.0;71.88;25.0;0.1354;0.004528995251655578;81.25;50.0;25.0;37.5;25.0;31.25;25.0;28.12;56.25;25.0;50.0;75.0;75.0;71.88;25.0;0.1468;0.0044482297039031985
3;75.0;10.0;0.0;37.5;18.75;31.25;25.0;25.0;56.25;25.0;50.0;75.0;75.0;71.88;25.0;0.1492;0.004483833336830139;81.25;40.0;25.0;37.5;25.0;31.25;31.25;28.12;56.25;25.0;50.0;75.0;75.0;68.75;25.0;0.15356;0.004407688508033752
4;68.75;10.0;0.0;37.5;18.75;31.25;25.0;25.0;56.25;25.0;50.0;75.0;75.0;71.88;25.0;0.1589;0.004435869860649109;81.25;20.0;25.0;37.5;25.0;31.25;31.25;28.12;56.25;25.0;50.0;75.0;75.0;68.75;25.0;0.16248;0.004368281035423279
5;68.75;10.0;0.0;37.5;18.75;31.25;25.0;25.0;56.25;25.0;50.0;75.0;75.0;71.88;25.0;0.1687;0.004376826167106628;81.25;20.0;25.0;37.5;25.0;31.25;31.25;28.12;56.25;25.0;50.0;75.0;75.0;68.75;25.0;0.16738;0.004328291506767273
6;68.75;10.0;0.0;37.5;18.75;31.25;31.25;25.0;56.25;25.0;50.0;75.0;75.0;68.75;25.0;0.1823;0.004305111718177795;81.25;20.0;25.0;37.5;25.0;31.25;31.25;28.12;56.25;25.0;50.0;75.0;75.0;68.75;25.0;0.17772;0.004281849236488343
7;68.75;10.0;25.0;37.5;18.75;31.25;31.25;25.0;56.25;25.0;50.0;75.0;75.0;68.75;25.0;0.2116;0.004222278833389282;81.25;20.0;25.0;37.5;25.0;31.25;31.25;28.12;56.25;25.0;50.0;75.0;75.0;68.75;25.0;0.19122;0.004223809266090393
8;68.75;20.0;25.0;37.5;18.75;31.25;31.25;25.0;56.25;25.0;50.0;75.0;75.0;68.75;25.0;0.2309;0.004121288752555847;81.25;20.0;25.0;50.0;25.0;31.25;31.25;28.12;56.25;25.0;50.0;75.0;75.0;68.75;25.0;0.20742;0.004151507358551025
9;68.75;20.0;25.0;37.5;25.0;31.25;31.25;25.0;56.25;25.0;50.0;75.0;71.88;68.75;25.0;0.2474;0.0040102773785591125;75.0;20.0;25.0;50.0;25.0;31.25;31.25;28.12;56.25;50.0;50.0;75.0;75.0;68.75;25.0;0.2259;0.0040500233364105225
10;68.75;20.0;25.0;37.5;25.0;31.25;31.25;25.0;56.25;50.0;50.0;75.0;71.88;68.75;25.0;0.2551;0.003916908168792725;75.0;20.0;50.0;50.0;25.0;37.5;31.25;28.12;56.25;50.0;50.0;75.0;75.0;68.75;25.0;0.23586;0.0039482489919662475
11;62.5;20.0;25.0;37.5;25.0;31.25;31.25;25.0;56.25;50.0;50.0;75.0;71.88;68.75;25.0;0.2629;0.0038316667914390563;75.0;20.0;50.0;50.0;25.0;37.5;31.25;28.12;56.25;50.0;50.0;75.0;71.88;68.75;25.0;0.24384;0.003870089499950409
12;62.5;20.0;50.0;37.5;25.0;31.25;31.25;25.0;56.25;50.0;50.0;75.0;71.88;68.75;25.0;0.2738;0.0037694459915161133;75.0;20.0;50.0;50.0;25.0;37.5;31.25;28.12;56.25;50.0;50.0;75.0;71.88;68.75;25.0;0.24664;0.0038164610743522645
13;62.5;20.0;50.0;37.5;25.0;31.25;31.25;25.0;56.25;50.0;50.0;71.88;71.88;65.62;25.0;0.2806;0.0037198739171028137;75.0;20.0;50.0;50.0;25.0;37.5;31.25;28.12;56.25;50.0;50.0;75.0;71.88;65.62;25.0;0.25424;0.0037684053826332093
14;62.5;20.0;50.0;37.5;25.0;31.25;31.25;25.0;56.25;50.0;50.0;71.88;71.88;65.62;25.0;0.2876;0.0036752801775932313;75.0;20.0;50.0;50.0;31.25;37.5;31.25;28.12;56.25;50.0;50.0;75.0;71.88;65.62;25.0;0.25856;0.0037307810568809508
