;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-7;training_accuracy;training_loss
0;50.0;20.0;25.0;37.5;18.75;43.75;43.75;37.5;50.0;25.0;50.0;71.88;75.0;71.88;37.5;0.1675;0.004554142093658447;75.0;70.0;25.0;37.5;25.0;50.0;50.0;40.62;53.12;25.0;53.12;75.0;75.0;78.12;37.5;0.12664;0.004499615225791931
1;37.5;10.0;25.0;37.5;25.0;43.75;50.0;37.5;50.0;25.0;50.0;68.75;71.88;68.75;25.0;0.2198;0.004307738399505615;68.75;30.0;25.0;37.5;25.0;50.0;56.25;43.75;53.12;25.0;53.12;71.88;75.0;75.0;37.5;0.18394;0.0043782436895370485
2;31.25;10.0;25.0;37.5;31.25;50.0;50.0;40.62;50.0;25.0;53.12;65.62;68.75;65.62;37.5;0.2515;0.0039659496545791624;62.5;10.0;25.0;37.5;31.25;56.25;56.25;43.75;53.12;25.0;53.12;71.88;75.0;75.0;37.5;0.22464;0.004092397875785828
3;25.0;10.0;50.0;50.0;31.25;56.25;56.25;40.62;50.0;50.0;53.12;65.62;65.62;62.5;37.5;0.2748;0.003711117243766785;56.25;10.0;50.0;50.0;37.5;56.25;56.25;43.75;53.12;25.0;53.12;68.75;71.88;71.88;37.5;0.2557;0.0038037503814697267
4;18.75;10.0;50.0;50.0;37.5;56.25;56.25;43.75;53.12;50.0;53.12;62.5;65.62;62.5;37.5;0.2905;0.0035823222756385803;50.0;10.0;50.0;50.0;37.5;56.25;56.25;46.88;53.12;50.0;56.25;68.75;68.75;68.75;37.5;0.27824;0.003620218126773834
5;18.75;10.0;50.0;50.0;37.5;56.25;56.25;43.75;53.12;50.0;53.12;62.5;62.5;59.38;37.5;0.3071;0.003464751100540161;43.75;10.0;50.0;50.0;37.5;62.5;56.25;46.88;53.12;50.0;56.25;65.62;68.75;65.62;37.5;0.29582;0.0035121506905555727
6;18.75;10.0;50.0;50.0;37.5;56.25;56.25;43.75;53.12;50.0;53.12;62.5;62.5;56.25;37.5;0.3281;0.0034274324536323546;37.5;10.0;50.0;50.0;37.5;62.5;56.25;46.88;56.25;50.0;59.38;65.62;65.62;65.62;37.5;0.31156;0.0034310575699806212
7;25.0;10.0;50.0;50.0;37.5;56.25;56.25;43.75;53.12;50.0;56.25;59.38;62.5;56.25;37.5;0.3651;0.0032682469487190246;37.5;10.0;50.0;50.0;37.5;62.5;56.25;46.88;56.25;50.0;59.38;65.62;65.62;62.5;50.0;0.3328;0.003362463483810425
8;25.0;20.0;50.0;50.0;37.5;62.5;56.25;43.75;53.12;50.0;56.25;59.38;59.38;53.12;37.5;0.3793;0.003218826162815094;37.5;10.0;50.0;50.0;37.5;62.5;56.25;46.88;56.25;50.0;59.38;65.62;65.62;59.38;50.0;0.3551;0.0032776051592826845
9;25.0;20.0;50.0;50.0;37.5;62.5;56.25;46.88;56.25;50.0;56.25;59.38;59.38;53.12;50.0;0.4203;0.0031008347272872927;37.5;20.0;50.0;50.0;37.5;62.5;56.25;50.0;56.25;50.0;59.38;62.5;65.62;59.38;50.0;0.382;0.0032025876116752623
