;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.24627146154642104;0.24414;0.21431860735416414;0.3427;50.0;25.0;12.5;25.0;12.5;25.0;18.75;12.5;15.62;15.62;15.62;12.5;9.38;18.75;20.0;75.0;75.0;50.0;75.0;37.5;62.5;56.25;46.88;56.25;53.12;56.25;53.12;46.88;56.25;50.0
1;0.22340179257273673;0.31722;0.19362035046815873;0.4064;75.0;50.0;37.5;25.0;18.75;37.5;25.0;18.75;25.0;21.88;21.88;15.62;15.62;25.0;20.0;75.0;50.0;50.0;62.5;37.5;62.5;50.0;46.88;59.38;53.12;46.88;46.88;43.75;56.25;50.0
2;0.21337476504921912;0.35092;0.19004200356602668;0.4289;75.0;50.0;37.5;37.5;31.25;43.75;31.25;25.0;34.38;25.0;21.88;18.75;18.75;31.25;30.0;75.0;50.0;62.5;50.0;37.5;62.5;43.75;43.75;62.5;53.12;40.62;40.62;40.62;56.25;40.0
3;0.20691143299818038;0.37504;0.1860954740524292;0.4385;75.0;50.0;50.0;37.5;31.25;43.75;31.25;28.12;40.62;31.25;21.88;21.88;18.75;31.25;30.0;75.0;50.0;62.5;50.0;37.5;56.25;43.75;46.88;65.62;53.12;34.38;34.38;40.62;56.25;40.0
4;0.20146750117063522;0.40904;0.17359376553297043;0.4759;75.0;75.0;50.0;50.0;37.5;50.0;37.5;31.25;46.88;31.25;21.88;21.88;21.88;37.5;30.0;75.0;50.0;62.5;50.0;43.75;62.5;43.75;46.88;65.62;53.12;31.25;31.25;37.5;56.25;40.0
5;0.18562909254074098;0.4642;0.1592710234194994;0.5383;75.0;75.0;50.0;37.5;31.25;43.75;37.5;31.25;46.88;31.25;21.88;21.88;21.88;37.5;40.0;75.0;50.0;62.5;50.0;43.75;56.25;43.75;43.75;62.5;50.0;28.12;28.12;34.38;50.0;40.0
6;0.18190974238157273;0.4809;0.1575854955792427;0.5438;50.0;50.0;50.0;37.5;31.25;43.75;37.5;31.25;46.88;31.25;18.75;21.88;21.88;37.5;40.0;75.0;50.0;50.0;37.5;37.5;50.0;37.5;40.62;62.5;46.88;25.0;25.0;31.25;50.0;40.0
7;0.1800105826508999;0.48506;0.16344142664968966;0.5274;50.0;50.0;50.0;37.5;31.25;43.75;31.25;31.25;46.88;31.25;18.75;18.75;18.75;37.5;40.0;75.0;50.0;50.0;37.5;37.5;50.0;37.5;37.5;62.5;43.75;21.88;21.88;28.12;43.75;40.0
8;0.1781950768339634;0.49322;0.15303512532114982;0.5589;50.0;50.0;50.0;37.5;31.25;43.75;31.25;31.25;46.88;31.25;18.75;18.75;18.75;37.5;40.0;75.0;50.0;50.0;37.5;37.5;50.0;37.5;34.38;59.38;40.62;21.88;21.88;25.0;43.75;40.0
9;0.1774618633747101;0.49768;0.15069591608941554;0.5647;50.0;50.0;50.0;37.5;31.25;43.75;31.25;31.25;46.88;31.25;18.75;18.75;18.75;37.5;40.0;75.0;50.0;50.0;37.5;37.5;43.75;37.5;34.38;59.38;40.62;21.88;21.88;21.88;43.75;40.0
10;0.1744590136873722;0.50608;0.14970971479713915;0.5689;50.0;50.0;50.0;37.5;31.25;43.75;31.25;31.25;46.88;31.25;18.75;18.75;18.75;31.25;40.0;75.0;50.0;50.0;37.5;37.5;43.75;31.25;34.38;59.38;40.62;18.75;18.75;21.88;43.75;40.0
11;0.17411712871670723;0.50512;0.150785522043705;0.5693;50.0;50.0;50.0;37.5;31.25;43.75;31.25;28.12;46.88;31.25;15.62;18.75;18.75;31.25;40.0;75.0;50.0;50.0;37.5;37.5;43.75;31.25;31.25;56.25;37.5;18.75;18.75;21.88;43.75;40.0
