;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.13772954837322235;0.03114;0.12937256832122804;0.0591;50.0;50.0;25.0;37.5;18.75;31.25;31.25;18.75;18.75;18.75;15.62;15.62;9.38;18.75;2.0;50.0;50.0;50.0;62.5;43.75;56.25;56.25;50.0;56.25;59.38;59.38;68.75;62.5;56.25;6.0
1;0.12818197706699372;0.0561;0.1232275680065155;0.0781;50.0;50.0;37.5;50.0;25.0;43.75;43.75;25.0;31.25;31.25;25.0;21.88;15.62;31.25;4.0;50.0;50.0;62.5;62.5;50.0;62.5;62.5;53.12;62.5;65.62;56.25;59.38;40.62;50.0;10.0
2;0.12454010674476623;0.07056;0.11918025891780853;0.0958;50.0;50.0;37.5;50.0;31.25;50.0;50.0;31.25;37.5;40.62;31.25;25.0;15.62;31.25;6.0;75.0;50.0;62.5;62.5;50.0;62.5;68.75;53.12;62.5;65.62;56.25;56.25;31.25;43.75;11.0
3;0.12168803943634034;0.08488;0.11576237690448761;0.117;50.0;50.0;50.0;62.5;31.25;56.25;56.25;37.5;43.75;46.88;31.25;25.0;15.62;37.5;7.0;75.0;50.0;62.5;62.5;43.75;68.75;62.5;56.25;65.62;68.75;53.12;53.12;28.12;43.75;12.0
4;0.11974269470214843;0.09464;0.11345548052787781;0.1271;50.0;50.0;50.0;62.5;31.25;56.25;56.25;40.62;46.88;50.0;34.38;28.12;15.62;37.5;7.0;75.0;50.0;62.5;62.5;43.75;68.75;68.75;56.25;65.62;68.75;50.0;46.88;25.0;43.75;13.0
5;0.11825335239887237;0.10182;0.11184616360664368;0.1362;50.0;50.0;50.0;62.5;31.25;56.25;56.25;40.62;50.0;53.12;34.38;28.12;18.75;37.5;7.0;75.0;50.0;62.5;62.5;43.75;68.75;62.5;56.25;68.75;68.75;50.0;43.75;25.0;43.75;13.0
6;0.11708361406326294;0.1081;0.11197987308502197;0.138;50.0;50.0;50.0;62.5;31.25;62.5;62.5;43.75;53.12;56.25;37.5;28.12;18.75;31.25;7.0;75.0;50.0;62.5;62.5;43.75;68.75;62.5;56.25;68.75;68.75;50.0;37.5;25.0;37.5;13.0
7;0.11574188934803009;0.1144;0.1099346957206726;0.151;50.0;50.0;50.0;62.5;37.5;62.5;62.5;43.75;56.25;56.25;37.5;25.0;18.75;37.5;8.0;75.0;50.0;62.5;62.5;43.75;68.75;62.5;56.25;68.75;68.75;46.88;34.38;25.0;37.5;12.0
8;0.11510521718502045;0.1212;0.10867982323169709;0.1624;50.0;50.0;50.0;62.5;37.5;62.5;62.5;43.75;59.38;59.38;40.62;25.0;18.75;37.5;8.0;75.0;50.0;62.5;62.5;43.75;68.75;62.5;56.25;68.75;68.75;46.88;31.25;25.0;37.5;13.0
9;0.11485574275016784;0.12426;0.10794668951034546;0.1625;50.0;50.0;50.0;62.5;37.5;68.75;62.5;46.88;59.38;59.38;40.62;25.0;18.75;37.5;8.0;75.0;50.0;62.5;62.5;37.5;68.75;62.5;56.25;68.75;68.75;46.88;28.12;25.0;37.5;13.0
10;0.11375841680049896;0.12778;0.10725953757762909;0.1729;50.0;50.0;50.0;62.5;37.5;62.5;56.25;46.88;59.38;62.5;40.62;25.0;21.88;37.5;8.0;75.0;75.0;62.5;62.5;37.5;68.75;62.5;56.25;68.75;68.75;46.88;28.12;25.0;37.5;13.0
