;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5589585136365891;0.02026;0.5420559423923492;0.0353;25.0;50.0;25.0;37.5;18.75;31.25;31.25;18.75;37.5;34.38;53.12;53.12;46.88;12.5;1.0;50.0;75.0;62.5;50.0;37.5;50.0;43.75;34.38;46.88;50.0;68.75;68.75;68.75;43.75;3.0
1;0.5444360861587525;0.02898;0.5278622366905212;0.0429;50.0;75.0;37.5;62.5;31.25;43.75;43.75;25.0;46.88;40.62;56.25;59.38;56.25;31.25;3.0;75.0;75.0;75.0;62.5;43.75;56.25;50.0;40.62;56.25;53.12;68.75;68.75;68.75;50.0;5.0
2;0.5307538898229599;0.04442;0.5063487787485123;0.0739;50.0;75.0;50.0;62.5;37.5;50.0;43.75;28.12;46.88;43.75;56.25;59.38;56.25;37.5;4.0;75.0;75.0;75.0;62.5;50.0;56.25;56.25;43.75;59.38;56.25;68.75;68.75;68.75;56.25;7.0
3;0.5163605229759216;0.0552;0.49130957341194154;0.0819;50.0;75.0;62.5;62.5;37.5;56.25;50.0;31.25;50.0;46.88;56.25;56.25;56.25;37.5;6.0;75.0;75.0;75.0;62.5;50.0;62.5;62.5;46.88;62.5;56.25;65.62;65.62;68.75;50.0;9.0
4;0.5081139301967621;0.06262;0.4836179177761078;0.0891;50.0;75.0;62.5;62.5;37.5;62.5;56.25;34.38;53.12;50.0;56.25;56.25;56.25;37.5;6.0;75.0;75.0;75.0;62.5;50.0;68.75;62.5;46.88;65.62;59.38;65.62;65.62;65.62;50.0;10.0
5;0.5016546260881424;0.07256;0.4755273437976837;0.107;50.0;75.0;62.5;62.5;43.75;62.5;62.5;37.5;56.25;50.0;56.25;56.25;56.25;37.5;6.0;75.0;75.0;62.5;62.5;50.0;68.75;62.5;46.88;65.62;56.25;65.62;62.5;62.5;50.0;11.0
6;0.4968735470962524;0.07694;0.46731208965778354;0.1143;50.0;75.0;62.5;62.5;43.75;62.5;62.5;37.5;56.25;50.0;56.25;56.25;53.12;37.5;7.0;75.0;75.0;62.5;62.5;50.0;68.75;62.5;50.0;62.5;56.25;62.5;62.5;62.5;50.0;12.0
7;0.4924420524740219;0.08202;0.46747641468048096;0.1115;50.0;75.0;62.5;62.5;43.75;62.5;62.5;40.62;56.25;53.12;56.25;56.25;53.12;43.75;8.0;75.0;75.0;62.5;62.5;50.0;68.75;68.75;50.0;62.5;56.25;62.5;62.5;59.38;50.0;12.0
8;0.4891866630172729;0.08794;0.4569176419734955;0.1303;50.0;75.0;62.5;62.5;43.75;62.5;62.5;40.62;59.38;53.12;56.25;53.12;53.12;43.75;8.0;75.0;75.0;62.5;62.5;50.0;68.75;68.75;50.0;65.62;56.25;59.38;59.38;59.38;50.0;12.0
9;0.4858151298236847;0.09152;0.45554942743778226;0.1301;75.0;75.0;62.5;62.5;43.75;62.5;68.75;40.62;59.38;53.12;56.25;53.12;53.12;43.75;8.0;75.0;75.0;62.5;62.5;50.0;68.75;68.75;50.0;65.62;56.25;59.38;59.38;56.25;50.0;13.0
10;0.48140824556827544;0.09748;0.4456191345214844;0.1371;75.0;50.0;62.5;62.5;43.75;62.5;62.5;40.62;59.38;53.12;56.25;53.12;50.0;43.75;9.0;75.0;75.0;62.5;62.5;50.0;68.75;68.75;50.0;62.5;56.25;59.38;59.38;56.25;50.0;13.0
11;0.478494541015625;0.09974;0.4420846066713333;0.1465;75.0;75.0;50.0;62.5;43.75;62.5;62.5;43.75;59.38;53.12;56.25;53.12;50.0;43.75;9.0;75.0;75.0;62.5;62.5;50.0;68.75;68.75;50.0;62.5;56.25;59.38;56.25;53.12;50.0;13.0
12;0.4746269536590576;0.10466;0.4350064981937408;0.1635;75.0;75.0;62.5;62.5;43.75;62.5;68.75;43.75;59.38;53.12;56.25;53.12;50.0;50.0;9.0;75.0;75.0;62.5;62.5;50.0;62.5;68.75;50.0;62.5;56.25;59.38;56.25;53.12;56.25;14.0
13;0.4714295417881012;0.1091;0.43372317073345185;0.1692;75.0;75.0;62.5;62.5;43.75;62.5;62.5;46.88;59.38;56.25;56.25;53.12;50.0;50.0;10.0;75.0;75.0;62.5;62.5;50.0;68.75;68.75;50.0;62.5;56.25;59.38;56.25;53.12;56.25;14.0
14;0.4677213801383972;0.11336;0.42792992930412294;0.1726;75.0;75.0;62.5;50.0;43.75;62.5;68.75;46.88;59.38;56.25;56.25;50.0;50.0;50.0;10.0;75.0;75.0;62.5;62.5;43.75;62.5;68.75;50.0;62.5;56.25;59.38;53.12;53.12;56.25;14.0
15;0.46596997627735137;0.1188;0.42072295598983767;0.18;75.0;75.0;62.5;50.0;37.5;62.5;68.75;46.88;59.38;56.25;56.25;50.0;46.88;50.0;11.0;75.0;75.0;62.5;50.0;43.75;62.5;68.75;50.0;62.5;56.25;59.38;53.12;50.0;56.25;15.0
16;0.462486439037323;0.11996;0.4194028904557228;0.1796;75.0;75.0;62.5;50.0;37.5;62.5;62.5;46.88;62.5;56.25;56.25;50.0;46.88;50.0;11.0;75.0;75.0;62.5;50.0;43.75;62.5;68.75;50.0;65.62;59.38;59.38;53.12;50.0;56.25;15.0
17;0.4603962102842331;0.12364;0.4140089725971222;0.1912;75.0;75.0;62.5;50.0;37.5;62.5;68.75;46.88;62.5;56.25;56.25;50.0;46.88;50.0;11.0;75.0;75.0;62.5;50.0;43.75;62.5;68.75;53.12;65.62;59.38;59.38;53.12;50.0;56.25;15.0
18;0.4580801254940033;0.12604;0.41000131841897963;0.1881;75.0;75.0;62.5;50.0;37.5;62.5;68.75;50.0;62.5;56.25;56.25;50.0;46.88;50.0;11.0;75.0;75.0;62.5;50.0;43.75;62.5;68.75;53.12;65.62;59.38;59.38;50.0;46.88;56.25;15.0
19;0.4560663316774368;0.13354;0.41526837408542633;0.1836;75.0;75.0;62.5;50.0;37.5;62.5;68.75;50.0;62.5;56.25;56.25;50.0;46.88;50.0;11.0;75.0;75.0;62.5;50.0;43.75;62.5;68.75;53.12;65.62;59.38;59.38;50.0;46.88;56.25;15.0
20;0.45419731055259704;0.13304;0.408951461815834;0.1923;75.0;75.0;50.0;50.0;37.5;62.5;62.5;50.0;62.5;56.25;56.25;50.0;46.88;50.0;11.0;75.0;75.0;62.5;50.0;43.75;62.5;68.75;53.12;65.62;59.38;59.38;50.0;46.88;56.25;15.0
21;0.45224895931243897;0.13606;0.40569325474500656;0.2048;75.0;75.0;50.0;50.0;37.5;62.5;62.5;50.0;62.5;56.25;56.25;46.88;46.88;50.0;11.0;75.0;75.0;50.0;50.0;37.5;62.5;68.75;53.12;65.62;59.38;59.38;50.0;46.88;62.5;15.0
22;0.45177158495903014;0.13562;0.4032160499095917;0.2063;75.0;75.0;50.0;50.0;37.5;62.5;62.5;50.0;62.5;56.25;56.25;46.88;46.88;50.0;11.0;75.0;75.0;50.0;50.0;37.5;62.5;68.75;53.12;65.62;59.38;59.38;50.0;46.88;62.5;15.0
23;0.44944554985046387;0.14058;0.40079702781438825;0.2078;75.0;75.0;50.0;50.0;37.5;62.5;62.5;50.0;62.5;56.25;56.25;46.88;43.75;50.0;11.0;75.0;75.0;50.0;50.0;37.5;62.5;68.75;53.12;65.62;59.38;59.38;50.0;46.88;62.5;15.0
24;0.44826655748844146;0.14338;0.40287999707460403;0.214;75.0;75.0;50.0;50.0;37.5;56.25;62.5;50.0;62.5;59.38;56.25;46.88;43.75;50.0;11.0;75.0;75.0;50.0;50.0;37.5;62.5;62.5;53.12;65.62;59.38;59.38;46.88;46.88;62.5;15.0
25;0.4467147042798996;0.14428;0.4020109411716461;0.2088;75.0;75.0;50.0;50.0;37.5;56.25;62.5;50.0;62.5;59.38;56.25;46.88;43.75;56.25;11.0;75.0;75.0;50.0;50.0;37.5;62.5;62.5;53.12;65.62;59.38;59.38;46.88;43.75;62.5;15.0
26;0.4445462398099899;0.1468;0.395965118598938;0.214;75.0;50.0;50.0;50.0;37.5;56.25;62.5;50.0;62.5;59.38;56.25;46.88;43.75;56.25;11.0;75.0;50.0;50.0;50.0;37.5;62.5;62.5;53.12;65.62;59.38;59.38;46.88;43.75;62.5;15.0
27;0.44420204840660094;0.14664;0.3984321380853653;0.2159;75.0;50.0;50.0;50.0;37.5;56.25;62.5;50.0;65.62;59.38;56.25;46.88;43.75;56.25;11.0;75.0;50.0;50.0;50.0;37.5;62.5;62.5;53.12;65.62;59.38;59.38;46.88;43.75;62.5;15.0
28;0.4423404498004913;0.15134;0.39705118424892427;0.218;75.0;50.0;50.0;50.0;37.5;56.25;62.5;50.0;65.62;59.38;59.38;46.88;43.75;56.25;11.0;75.0;50.0;50.0;50.0;37.5;62.5;62.5;53.12;65.62;59.38;59.38;46.88;43.75;62.5;15.0
29;0.4409593535757065;0.15084;0.39140467220544817;0.2293;75.0;50.0;50.0;50.0;37.5;56.25;62.5;50.0;65.62;59.38;59.38;46.88;43.75;56.25;11.0;75.0;50.0;50.0;50.0;37.5;62.5;62.5;56.25;65.62;59.38;59.38;46.88;43.75;62.5;15.0
30;0.44035936149597166;0.15436;0.395575286591053;0.2305;75.0;50.0;50.0;50.0;37.5;56.25;62.5;50.0;65.62;59.38;59.38;46.88;43.75;56.25;11.0;75.0;50.0;50.0;50.0;37.5;62.5;62.5;56.25;65.62;59.38;59.38;46.88;43.75;62.5;15.0
31;0.43892448766231534;0.15762;0.38741940556764604;0.2373;75.0;50.0;50.0;50.0;37.5;56.25;62.5;50.0;65.62;59.38;59.38;46.88;43.75;56.25;11.0;75.0;50.0;50.0;50.0;37.5;62.5;62.5;56.25;68.75;59.38;59.38;46.88;43.75;62.5;15.0
