;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.55213442425251;0.02416;0.5324243341445923;0.0353;50.0;25.0;37.5;25.0;12.5;25.0;18.75;3.12;6.25;6.25;6.25;3.12;3.12;6.25;2.0;50.0;75.0;62.5;62.5;43.75;62.5;62.5;25.0;40.62;43.75;50.0;37.5;34.38;37.5;25.0
1;0.5327339617156982;0.03696;0.5164488349914551;0.0442;75.0;50.0;50.0;50.0;25.0;37.5;31.25;9.38;12.5;12.5;9.38;6.25;9.38;18.75;4.0;75.0;50.0;75.0;75.0;50.0;62.5;62.5;28.12;37.5;40.62;40.62;31.25;34.38;43.75;30.0
2;0.5230009680461883;0.04622;0.5119762065887451;0.0541;75.0;50.0;50.0;50.0;25.0;43.75;37.5;12.5;15.62;15.62;12.5;9.38;9.38;25.0;5.0;75.0;50.0;75.0;75.0;56.25;62.5;62.5;25.0;34.38;40.62;34.38;21.88;31.25;43.75;31.0
3;0.5177464380979538;0.05072;0.4919305266141891;0.0743;75.0;50.0;50.0;62.5;31.25;50.0;43.75;12.5;21.88;18.75;15.62;12.5;12.5;25.0;7.0;75.0;50.0;62.5;75.0;56.25;62.5;62.5;21.88;34.38;40.62;28.12;18.75;25.0;50.0;31.0
4;0.5092644919347763;0.0651;0.48720030353069305;0.0813;75.0;50.0;50.0;62.5;37.5;50.0;50.0;15.62;25.0;21.88;15.62;12.5;15.62;31.25;8.0;75.0;50.0;62.5;62.5;56.25;62.5;62.5;21.88;34.38;37.5;25.0;18.75;25.0;50.0;31.0
5;0.5054292896080017;0.07134;0.4775793965816498;0.0998;75.0;50.0;50.0;62.5;43.75;50.0;50.0;18.75;28.12;21.88;15.62;12.5;15.62;37.5;8.0;75.0;50.0;62.5;62.5;62.5;62.5;62.5;25.0;34.38;37.5;25.0;15.62;21.88;50.0;31.0
6;0.5009790121173858;0.07422;0.47105942420959473;0.1109;75.0;50.0;50.0;62.5;43.75;56.25;56.25;18.75;28.12;25.0;18.75;12.5;15.62;37.5;9.0;75.0;50.0;62.5;62.5;62.5;62.5;62.5;25.0;37.5;37.5;21.88;15.62;18.75;56.25;30.0
7;0.4979530752658844;0.07692;0.47092044332027433;0.1097;75.0;50.0;62.5;50.0;50.0;56.25;56.25;21.88;31.25;25.0;18.75;12.5;12.5;43.75;10.0;75.0;50.0;62.5;62.5;62.5;62.5;62.5;28.12;37.5;34.38;21.88;12.5;15.62;56.25;29.0
8;0.49588831936359407;0.07816;0.46223606975078585;0.1149;75.0;50.0;50.0;50.0;50.0;56.25;56.25;25.0;34.38;28.12;18.75;12.5;12.5;43.75;10.0;75.0;50.0;62.5;50.0;62.5;62.5;62.5;28.12;37.5;34.38;21.88;9.38;12.5;56.25;28.0
9;0.4906331077384949;0.08588;0.4664068999290466;0.1109;75.0;50.0;50.0;50.0;50.0;56.25;56.25;25.0;34.38;28.12;21.88;12.5;12.5;43.75;11.0;75.0;50.0;62.5;50.0;62.5;62.5;62.5;31.25;40.62;34.38;25.0;9.38;12.5;56.25;28.0
10;0.48424168454170224;0.09248;0.4591402000188827;0.1251;75.0;50.0;62.5;50.0;50.0;56.25;56.25;28.12;37.5;28.12;21.88;12.5;12.5;50.0;11.0;75.0;50.0;62.5;50.0;62.5;62.5;62.5;31.25;40.62;34.38;25.0;12.5;12.5;56.25;27.0
11;0.4806486358499527;0.0956;0.45660156388282774;0.1211;75.0;50.0;62.5;50.0;50.0;62.5;56.25;31.25;37.5;28.12;25.0;12.5;9.38;50.0;11.0;75.0;50.0;62.5;50.0;56.25;62.5;62.5;34.38;40.62;34.38;25.0;9.38;12.5;56.25;27.0
12;0.4776748570108414;0.0994;0.44229517722129824;0.1502;75.0;50.0;62.5;50.0;50.0;62.5;56.25;31.25;40.62;28.12;25.0;9.38;9.38;50.0;12.0;75.0;50.0;62.5;50.0;56.25;62.5;56.25;34.38;43.75;34.38;25.0;9.38;9.38;56.25;26.0
13;0.474836015996933;0.10396;0.44105882546901704;0.1402;75.0;50.0;62.5;50.0;50.0;62.5;56.25;34.38;40.62;28.12;25.0;9.38;9.38;50.0;12.0;75.0;50.0;75.0;50.0;56.25;62.5;56.25;37.5;43.75;34.38;25.0;9.38;9.38;56.25;26.0
14;0.4713224995422363;0.11068;0.4323971170902252;0.1589;75.0;50.0;62.5;50.0;50.0;62.5;56.25;37.5;40.62;28.12;25.0;9.38;9.38;50.0;12.0;75.0;50.0;75.0;50.0;56.25;62.5;56.25;37.5;43.75;31.25;25.0;9.38;9.38;62.5;25.0
15;0.46876697600364686;0.11018;0.47649129059314727;0.1074;75.0;50.0;62.5;50.0;50.0;62.5;56.25;37.5;43.75;28.12;25.0;9.38;9.38;56.25;12.0;75.0;50.0;75.0;50.0;56.25;62.5;56.25;40.62;46.88;31.25;25.0;9.38;9.38;62.5;25.0
16;0.46566329513549803;0.11744;0.4317027430891991;0.1652;75.0;50.0;62.5;50.0;50.0;62.5;56.25;37.5;46.88;31.25;25.0;9.38;6.25;56.25;12.0;75.0;50.0;62.5;50.0;56.25;62.5;56.25;40.62;46.88;31.25;25.0;9.38;6.25;62.5;24.0
17;0.46344066383838656;0.1177;0.44280269124507904;0.1462;75.0;50.0;62.5;50.0;50.0;62.5;56.25;40.62;46.88;31.25;25.0;9.38;6.25;56.25;12.0;75.0;50.0;62.5;50.0;56.25;62.5;56.25;40.62;50.0;31.25;25.0;9.38;6.25;62.5;24.0
18;0.46229024690151216;0.1213;0.4689495691776276;0.1218;75.0;50.0;62.5;50.0;50.0;62.5;56.25;40.62;46.88;31.25;25.0;9.38;6.25;56.25;12.0;75.0;50.0;62.5;50.0;56.25;62.5;56.25;40.62;50.0;31.25;25.0;9.38;6.25;62.5;23.0
19;0.46156045965194703;0.12216;0.426354398226738;0.1719;75.0;50.0;62.5;50.0;50.0;62.5;56.25;40.62;46.88;31.25;25.0;9.38;6.25;56.25;12.0;75.0;50.0;62.5;50.0;56.25;62.5;56.25;40.62;50.0;31.25;25.0;9.38;6.25;62.5;23.0
20;0.45967676159381865;0.1236;0.43251114349365233;0.1591;75.0;50.0;62.5;50.0;50.0;62.5;56.25;40.62;46.88;31.25;25.0;9.38;6.25;56.25;12.0;75.0;50.0;62.5;50.0;56.25;62.5;56.25;43.75;50.0;31.25;25.0;9.38;6.25;62.5;23.0
21;0.4600740321588516;0.12316;0.43775874333381654;0.157;75.0;50.0;62.5;50.0;50.0;62.5;56.25;40.62;50.0;31.25;25.0;9.38;6.25;56.25;12.0;75.0;50.0;62.5;50.0;56.25;62.5;56.25;43.75;50.0;31.25;25.0;9.38;6.25;62.5;22.0
22;0.4591604997444153;0.12726;0.4499031941652298;0.1346;75.0;50.0;62.5;50.0;50.0;62.5;56.25;40.62;50.0;31.25;25.0;9.38;3.12;56.25;12.0;75.0;50.0;62.5;50.0;56.25;62.5;56.25;43.75;50.0;31.25;25.0;9.38;6.25;62.5;22.0
23;0.4589741342496872;0.12524;0.4328137038230896;0.1529;75.0;50.0;62.5;50.0;50.0;62.5;56.25;43.75;50.0;31.25;25.0;9.38;3.12;56.25;12.0;75.0;50.0;62.5;50.0;56.25;62.5;56.25;43.75;50.0;31.25;25.0;9.38;3.12;62.5;22.0
24;0.45887173949718474;0.1272;0.4493324285268784;0.1338;75.0;50.0;62.5;50.0;50.0;62.5;56.25;43.75;50.0;31.25;25.0;9.38;3.12;56.25;12.0;75.0;50.0;62.5;50.0;56.25;62.5;56.25;43.75;50.0;31.25;25.0;9.38;3.12;62.5;21.0
25;0.45695625685214997;0.1265;0.4523444592475891;0.1215;75.0;50.0;62.5;50.0;50.0;62.5;56.25;43.75;50.0;31.25;25.0;9.38;3.12;62.5;12.0;75.0;50.0;62.5;50.0;56.25;62.5;56.25;46.88;50.0;31.25;25.0;9.38;3.12;62.5;21.0
26;0.4556367997550964;0.13144;0.44931255140304566;0.1321;75.0;50.0;62.5;50.0;50.0;62.5;56.25;43.75;50.0;31.25;25.0;9.38;3.12;62.5;12.0;75.0;50.0;62.5;50.0;56.25;62.5;56.25;46.88;50.0;31.25;25.0;6.25;3.12;62.5;21.0
27;0.4553937266969681;0.13158;0.4767772024869919;0.1111;75.0;50.0;50.0;50.0;50.0;62.5;56.25;46.88;50.0;31.25;25.0;9.38;6.25;62.5;12.0;75.0;50.0;62.5;50.0;56.25;62.5;56.25;46.88;53.12;31.25;25.0;6.25;3.12;62.5;21.0
28;0.4553398114538193;0.1307;0.45027783782482145;0.134;75.0;50.0;50.0;50.0;50.0;62.5;56.25;46.88;53.12;34.38;25.0;9.38;6.25;62.5;12.0;75.0;50.0;62.5;50.0;56.25;56.25;56.25;46.88;53.12;31.25;25.0;6.25;6.25;62.5;20.0
29;0.4549047331190109;0.1301;0.511547596693039;0.0955;75.0;50.0;50.0;50.0;50.0;56.25;56.25;46.88;53.12;34.38;25.0;9.38;6.25;62.5;12.0;75.0;50.0;62.5;50.0;56.25;56.25;50.0;46.88;53.12;31.25;25.0;6.25;6.25;62.5;20.0
30;0.4546655530500412;0.1281;0.5160994143724441;0.0862;75.0;50.0;50.0;50.0;50.0;56.25;56.25;46.88;53.12;34.38;25.0;9.38;6.25;62.5;12.0;75.0;50.0;62.5;50.0;56.25;56.25;50.0;46.88;53.12;31.25;25.0;6.25;6.25;62.5;20.0
31;0.4532008524608612;0.13192;0.5024584769964218;0.1045;75.0;50.0;50.0;50.0;50.0;56.25;56.25;46.88;53.12;34.38;25.0;9.38;6.25;62.5;11.0;75.0;50.0;50.0;50.0;56.25;56.25;50.0;46.88;53.12;31.25;25.0;6.25;6.25;62.5;20.0
32;0.4544572821521759;0.13092;0.4951903870582581;0.1049;75.0;50.0;50.0;50.0;50.0;56.25;56.25;46.88;53.12;34.38;25.0;9.38;6.25;62.5;11.0;75.0;50.0;50.0;50.0;56.25;56.25;50.0;46.88;53.12;31.25;25.0;6.25;6.25;62.5;20.0
33;0.45268544417858125;0.13388;0.6160062712192536;0.0655;75.0;50.0;50.0;50.0;50.0;56.25;56.25;46.88;53.12;34.38;25.0;6.25;6.25;62.5;11.0;75.0;50.0;50.0;50.0;56.25;56.25;50.0;50.0;53.12;31.25;25.0;6.25;6.25;62.5;19.0
34;0.45235624232292176;0.1326;0.48410503361225127;0.1191;75.0;50.0;50.0;50.0;50.0;56.25;56.25;50.0;53.12;34.38;25.0;6.25;6.25;62.5;11.0;75.0;50.0;50.0;50.0;56.25;56.25;50.0;50.0;53.12;31.25;21.88;6.25;6.25;62.5;19.0
35;0.45177696717262267;0.1349;0.49644004294872285;0.104;75.0;50.0;50.0;50.0;50.0;56.25;50.0;50.0;56.25;34.38;25.0;6.25;3.12;62.5;11.0;75.0;50.0;50.0;50.0;56.25;56.25;50.0;50.0;53.12;31.25;21.88;6.25;3.12;62.5;19.0
36;0.4521416544961929;0.1352;0.5461556279659271;0.0725;75.0;50.0;50.0;50.0;50.0;56.25;50.0;50.0;56.25;34.38;25.0;6.25;3.12;62.5;11.0;75.0;50.0;50.0;50.0;56.25;56.25;50.0;50.0;56.25;31.25;21.88;6.25;3.12;62.5;19.0
37;0.4521923379993439;0.1349;0.6339137724399566;0.0543;75.0;50.0;50.0;50.0;50.0;56.25;50.0;50.0;56.25;34.38;25.0;6.25;3.12;62.5;11.0;75.0;50.0;50.0;50.0;56.25;56.25;50.0;50.0;56.25;34.38;21.88;6.25;3.12;62.5;19.0
38;0.45075715815544126;0.13656;0.4638732398867607;0.1151;75.0;50.0;50.0;50.0;50.0;56.25;50.0;50.0;56.25;34.38;25.0;6.25;3.12;62.5;11.0;75.0;50.0;50.0;50.0;56.25;56.25;50.0;50.0;56.25;34.38;21.88;6.25;3.12;62.5;19.0
39;0.45167563589572907;0.13412;0.554387381529808;0.0794;75.0;50.0;50.0;50.0;50.0;56.25;50.0;50.0;56.25;34.38;25.0;6.25;3.12;62.5;11.0;75.0;50.0;50.0;50.0;56.25;56.25;50.0;50.0;56.25;34.38;21.88;6.25;3.12;62.5;19.0
40;0.45037740295410156;0.1368;0.5589873603343963;0.0754;75.0;50.0;50.0;50.0;50.0;56.25;50.0;50.0;56.25;34.38;21.88;6.25;3.12;62.5;11.0;75.0;50.0;50.0;50.0;56.25;56.25;50.0;50.0;56.25;34.38;21.88;6.25;3.12;62.5;18.0
41;0.4498427122545242;0.13658;0.5597336025714874;0.0731;75.0;50.0;50.0;50.0;50.0;56.25;50.0;50.0;56.25;34.38;21.88;6.25;3.12;62.5;11.0;75.0;50.0;50.0;37.5;56.25;56.25;50.0;53.12;56.25;34.38;21.88;6.25;3.12;62.5;18.0
42;0.4489167870759964;0.1382;0.5275838980674744;0.0836;75.0;50.0;50.0;50.0;50.0;56.25;50.0;50.0;56.25;34.38;21.88;6.25;3.12;62.5;11.0;75.0;50.0;50.0;37.5;56.25;56.25;50.0;53.12;56.25;34.38;21.88;6.25;3.12;62.5;18.0
43;0.44937569043159487;0.13784;0.4577960128068924;0.1371;75.0;50.0;50.0;50.0;50.0;56.25;50.0;50.0;56.25;34.38;21.88;6.25;3.12;62.5;10.0;75.0;50.0;50.0;37.5;56.25;56.25;50.0;53.12;56.25;34.38;21.88;6.25;3.12;56.25;18.0
44;0.4488851080417633;0.13942;0.6014399590015411;0.0732;75.0;50.0;50.0;50.0;50.0;56.25;50.0;50.0;56.25;37.5;21.88;6.25;3.12;62.5;10.0;75.0;50.0;50.0;37.5;50.0;56.25;50.0;53.12;56.25;34.38;21.88;6.25;3.12;56.25;18.0
45;0.4482017178535461;0.13954;0.47856507422924044;0.1159;75.0;50.0;50.0;50.0;50.0;56.25;50.0;50.0;56.25;37.5;21.88;6.25;3.12;62.5;10.0;75.0;50.0;50.0;37.5;50.0;56.25;50.0;53.12;56.25;34.38;21.88;6.25;3.12;56.25;18.0
46;0.44907672776699065;0.13826;0.5147818382501602;0.0962;75.0;50.0;50.0;50.0;50.0;56.25;50.0;50.0;56.25;37.5;21.88;6.25;3.12;56.25;10.0;75.0;50.0;50.0;37.5;50.0;56.25;50.0;53.12;56.25;34.38;21.88;6.25;3.12;56.25;18.0
47;0.4486223333501816;0.13816;0.5975632963418961;0.0647;75.0;50.0;50.0;37.5;50.0;56.25;50.0;53.12;59.38;37.5;21.88;6.25;3.12;62.5;10.0;75.0;50.0;50.0;37.5;50.0;56.25;50.0;53.12;56.25;34.38;21.88;6.25;3.12;56.25;18.0
48;0.4483668589401245;0.1388;0.537495755314827;0.089;75.0;50.0;50.0;37.5;50.0;56.25;50.0;53.12;59.38;37.5;21.88;6.25;3.12;56.25;10.0;75.0;50.0;50.0;37.5;50.0;56.25;50.0;53.12;56.25;34.38;21.88;6.25;3.12;56.25;17.0
49;0.44828657662391663;0.13774;0.6093348389387131;0.0616;75.0;50.0;50.0;37.5;50.0;56.25;50.0;53.12;59.38;37.5;21.88;6.25;3.12;56.25;10.0;75.0;50.0;50.0;37.5;50.0;50.0;50.0;53.12;59.38;34.38;21.88;6.25;3.12;56.25;17.0
