;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_features-7;training_accuracy;training_loss
0;77.73;50.0;3.12;10.94;5.86;17.97;23.05;22.66;17.97;6.25;38.09;41.41;42.19;52.54;63.09;63.67;63.87;5.47;0.583;0.005391375035047531;83.59;50.0;4.69;17.19;10.94;25.78;30.47;27.73;22.46;9.38;47.27;50.98;51.56;66.8;75.59;75.98;76.37;8.59;0.5291;0.00546464017033577
1;80.08;50.0;4.69;13.28;7.42;19.92;25.39;25.0;19.92;9.38;43.16;46.68;47.46;60.74;70.9;71.09;71.29;7.03;0.634;0.005229764312505722;83.98;50.0;6.25;19.53;12.5;27.34;31.64;29.3;23.44;12.5;48.44;52.15;52.73;68.36;76.95;77.15;77.73;10.16;0.5688;0.005365721017122268
2;80.86;50.0;4.69;15.62;8.98;21.88;27.34;26.56;21.09;10.94;44.92;48.44;49.41;63.48;73.24;73.44;73.63;8.59;0.617;0.00517880967259407;83.98;50.0;7.81;21.88;13.67;28.52;33.2;30.08;24.02;15.62;49.02;52.54;53.12;68.75;77.15;77.34;77.93;12.5;0.5999;0.005243020647764206
3;80.86;50.0;6.25;17.19;9.77;22.66;28.52;27.73;21.48;12.5;45.7;49.22;50.2;64.65;74.02;74.22;74.61;10.16;0.641;0.005046615183353424;83.98;50.0;7.81;22.66;14.45;28.91;33.59;30.86;24.41;17.19;49.22;52.54;53.12;68.75;77.15;77.34;77.93;13.28;0.614;0.0051762615323066715
4;80.47;50.0;6.25;18.75;10.55;23.83;29.3;28.52;21.88;14.06;46.29;49.61;50.59;65.43;74.61;74.61;75.0;10.94;0.644;0.004994154393672943;83.59;50.0;7.81;23.44;14.84;29.3;33.98;31.25;24.61;17.19;49.22;52.54;53.12;68.75;77.15;77.15;77.73;14.06;0.6295;0.005088711112737655
5;80.47;50.0;6.25;20.31;11.33;24.61;30.08;28.91;22.07;15.62;46.48;50.0;50.78;65.82;74.8;74.8;75.2;12.5;0.652;0.004960172548890114;83.59;50.0;9.38;24.22;15.62;30.08;34.38;31.64;24.61;18.75;49.41;52.54;53.12;68.75;76.95;77.15;77.54;14.84;0.6463;0.004970989459753036
6;80.08;50.0;6.25;21.88;12.11;25.0;30.47;29.3;22.27;15.62;46.88;50.2;50.98;66.02;75.0;75.0;75.2;13.28;0.6655;0.004744687169790268;83.59;50.0;9.38;25.0;16.02;30.47;34.77;31.64;24.8;18.75;49.41;52.54;53.12;68.75;76.95;76.95;77.54;14.84;0.6581;0.004897043550014496
7;80.08;50.0;7.81;22.66;12.5;25.78;30.86;29.69;22.27;17.19;47.07;50.2;50.98;66.21;75.0;75.0;75.2;13.28;0.6815;0.004714000433683395;83.59;50.0;10.94;25.78;16.41;30.47;35.16;32.03;24.8;20.31;49.41;52.54;52.93;68.55;76.76;76.95;77.34;15.62;0.676;0.00474507520198822
8;79.69;50.0;7.81;23.44;13.28;26.17;31.64;30.08;22.46;17.19;47.27;50.2;50.98;66.41;75.0;75.0;75.2;14.06;0.68;0.004650518491864204;83.2;50.0;10.94;26.56;16.8;30.86;35.55;32.03;25.0;20.31;49.61;52.54;52.93;68.55;76.76;76.76;77.15;16.41;0.6853;0.00464291011095047
9;78.91;50.0;7.81;24.22;13.67;26.56;31.64;30.08;22.46;18.75;47.27;50.2;50.98;66.41;75.0;75.0;75.0;14.84;0.6895;0.00470847250521183;83.2;50.0;10.94;26.56;16.8;30.86;35.55;32.42;25.0;21.88;49.61;52.34;52.93;68.36;76.56;76.56;76.95;16.41;0.6966;0.004570483484864235
