;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.005295161181688309;0.5927;0.005015000998973847;0.661;3.12;6.25;3.91;7.03;1.95;3.52;3.52;3.12;0.59;0.98;0.59;0.39;0.2;0.2;0.2;0.0;0.0;0.0;4.69;15.62;10.94;17.97;5.47;9.38;10.16;9.38;1.56;1.95;1.17;0.78;0.78;0.59;0.78;0.59;7.81;50.0
1;0.004643364867568016;0.6865;0.007655424911528826;0.6055;4.69;10.94;6.25;10.94;3.12;3.91;3.52;2.34;0.59;0.59;0.39;0.2;0.59;0.39;0.39;0.39;0.39;0.0;9.38;25.0;15.62;25.0;8.59;13.67;14.84;12.5;2.34;2.73;1.95;1.17;0.98;0.78;0.98;0.78;3.91;50.0
2;0.004027155700325966;0.7442;0.004436224609613419;0.7385;6.25;14.06;8.59;13.28;3.52;5.08;5.08;3.12;0.78;0.78;0.59;0.59;0.78;0.59;0.59;0.59;0.39;0.0;15.62;31.25;17.97;27.34;10.16;15.23;16.02;12.5;2.54;2.73;2.15;1.37;1.37;0.98;1.17;0.98;2.73;0.0
3;0.0037229726135730745;0.7734;0.004311780974268913;0.718;7.81;15.62;9.38;14.06;3.91;5.86;5.47;3.52;0.98;0.98;0.59;0.59;0.98;0.78;0.78;0.59;0.39;0.0;18.75;32.81;19.53;28.12;10.55;16.02;16.41;12.5;2.54;2.54;1.95;1.37;1.56;0.98;1.17;0.98;2.34;0.0
4;0.003411393219232559;0.7958;0.0031325680315494537;0.824;9.38;17.19;10.16;14.06;4.3;7.03;6.64;4.3;1.17;0.98;0.78;0.59;1.17;0.78;0.78;0.59;0.39;0.0;23.44;32.81;20.31;27.34;10.94;17.19;16.8;12.5;2.54;2.34;1.95;1.37;1.56;1.17;1.17;0.98;1.95;0.0
5;0.0032275537103414534;0.8072;0.003960034355521202;0.767;12.5;20.31;10.94;14.84;4.69;7.42;7.03;4.3;1.37;1.17;0.98;0.59;1.17;0.78;0.78;0.78;0.39;0.0;25.0;34.38;21.09;27.34;11.33;17.97;17.19;12.5;2.54;2.15;1.95;1.37;1.76;1.17;1.17;0.98;1.95;0.0
6;0.003067219313979149;0.819;0.0040856383927166465;0.748;14.06;21.88;11.72;14.84;4.69;8.2;7.42;4.69;1.37;1.17;0.98;0.78;1.37;0.98;0.98;0.78;0.39;0.0;28.12;34.38;21.88;26.56;11.33;17.97;17.19;12.5;2.54;2.15;1.95;1.37;1.76;1.17;1.37;0.98;1.56;0.0
7;0.00304036910533905;0.8237;0.0037391950786113738;0.781;15.62;23.44;12.5;15.62;5.08;8.98;7.81;5.08;1.56;1.17;0.98;0.78;1.37;0.98;0.98;0.78;0.39;0.0;31.25;35.94;22.66;25.78;11.33;18.36;17.58;12.5;2.54;2.15;1.95;1.17;1.76;1.17;1.37;0.98;1.56;0.0
8;0.002818604043126106;0.839;0.00300070883333683;0.832;17.19;25.0;13.28;15.62;5.47;9.38;8.2;5.47;1.56;1.17;0.98;0.78;1.37;0.98;0.98;0.78;0.39;0.0;32.81;35.94;23.44;25.0;11.33;18.36;17.58;12.5;2.54;1.95;1.76;1.17;1.56;1.17;1.37;0.98;1.56;0.0
9;0.002718429362773895;0.8453;0.0030480297207832337;0.8215;18.75;25.0;13.28;15.62;5.86;10.16;8.59;5.47;1.76;1.37;1.17;0.78;1.37;0.98;0.98;0.78;0.39;0.0;35.94;35.94;23.44;24.22;11.72;18.75;17.58;12.5;2.54;1.95;1.76;1.17;1.56;1.37;1.37;0.98;1.56;0.0
10;0.0026551821902394295;0.8458;0.00322727257758379;0.8265;20.31;26.56;14.06;15.62;6.25;10.55;8.98;5.86;1.95;1.37;1.17;0.78;1.37;0.98;0.98;0.78;0.39;0.0;37.5;34.38;24.22;23.44;11.72;18.36;17.58;12.5;2.54;1.95;1.76;1.17;1.76;1.37;1.37;0.78;1.17;0.0
11;0.0024007525503635407;0.8669;0.0034557039737701414;0.823;21.88;26.56;14.84;16.41;6.25;10.94;9.38;6.25;1.95;1.37;1.17;0.78;1.56;1.17;1.17;0.78;0.39;0.0;40.62;34.38;25.0;22.66;11.72;18.36;17.19;12.11;2.54;1.95;1.76;1.17;1.76;1.56;1.76;0.98;1.17;0.0
12;0.002402259764075279;0.8667;0.0037549775503575803;0.7855;23.44;28.12;15.62;16.41;6.64;10.94;9.38;6.25;1.95;1.37;1.17;0.78;1.56;1.17;1.37;0.98;0.39;0.0;42.19;34.38;25.78;21.88;12.11;17.97;17.19;12.11;2.54;1.76;1.76;1.17;1.76;1.76;1.95;1.17;1.17;0.0
13;0.002308538343012333;0.8696;0.0029091810807585715;0.8395;25.0;28.12;16.41;16.41;7.03;11.33;9.77;6.64;2.15;1.37;1.17;0.78;1.56;1.17;1.37;0.98;0.39;0.0;45.31;34.38;26.56;21.09;12.5;17.97;17.19;12.11;2.54;1.76;1.76;0.98;1.76;1.76;1.95;1.17;1.17;0.0
14;0.0022095386125147343;0.8794;0.003159897789359093;0.8385;25.0;29.69;17.19;17.19;7.03;11.72;10.16;7.03;2.15;1.37;1.17;0.78;1.56;1.37;1.37;0.98;0.39;0.0;46.88;34.38;27.34;21.09;12.5;17.97;16.8;12.11;2.54;1.76;1.56;0.98;1.76;1.76;1.95;1.17;0.78;0.0
