;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.02278331102132797;0.5333;0.021278347581624984;0.601;1.56;1.56;1.56;2.34;1.56;3.91;4.3;5.08;2.15;4.49;3.12;2.54;5.47;2.93;0.98;0.39;0.0;50.0;3.12;7.81;5.47;9.38;5.08;12.11;13.28;15.62;6.84;14.84;12.7;13.28;24.22;24.8;20.31;16.21;18.75;50.0
1;0.02130381246805191;0.6004;0.02024569872021675;0.621;1.56;4.69;2.34;5.47;2.73;6.25;7.03;8.59;3.52;8.01;6.05;5.66;11.33;6.64;2.15;0.98;0.78;50.0;3.12;10.94;7.03;11.72;6.64;15.62;16.8;19.53;8.4;17.58;14.65;14.84;24.8;22.85;16.41;10.55;15.62;50.0
2;0.02014481384754181;0.6372;0.018094238445162773;0.711;3.12;7.81;3.91;7.81;4.3;8.98;9.77;11.33;4.49;10.74;8.4;7.81;13.87;8.2;2.73;1.17;1.17;0.0;4.69;14.06;8.59;14.84;8.2;18.75;19.92;22.66;9.38;19.53;16.21;16.21;25.39;21.68;14.06;8.2;13.28;50.0
3;0.018598905262351036;0.6919;0.01691838736832142;0.716;4.69;9.38;5.47;9.38;5.08;11.33;12.11;13.67;5.08;12.89;9.96;9.18;14.65;8.2;2.54;1.17;1.17;0.0;6.25;18.75;11.72;17.19;9.38;21.88;21.88;24.22;9.96;20.7;16.99;16.8;24.8;19.92;11.91;6.45;11.72;50.0
4;0.01701052011549473;0.7263;0.016715276762843134;0.732;6.25;14.06;7.81;11.72;5.86;13.28;14.06;15.62;5.47;13.48;10.35;9.57;14.45;8.01;2.73;1.37;1.17;0.0;7.81;23.44;14.06;19.53;10.94;23.83;23.83;25.78;10.16;21.29;17.38;16.8;23.83;18.36;10.35;5.47;10.16;50.0
5;0.014941681335866451;0.7665;0.014015501223504543;0.7815;6.25;14.06;7.81;12.5;6.25;14.06;14.45;16.02;5.27;13.48;10.16;9.38;13.87;7.42;2.54;1.37;1.17;0.0;7.81;23.44;13.28;19.53;10.55;23.83;23.44;25.39;9.57;20.7;16.6;16.02;22.27;16.41;8.79;4.69;8.98;0.0
6;0.01430177236199379;0.7812;0.013492992877960205;0.785;6.25;15.62;8.59;12.5;6.25;14.45;14.84;16.41;5.27;13.48;9.96;9.18;13.28;6.84;2.34;1.17;1.17;0.0;7.81;23.44;13.28;18.75;10.16;23.44;23.05;25.0;8.98;20.12;15.82;15.23;20.9;14.84;7.62;3.91;8.2;0.0
7;0.013687443454563618;0.794;0.01332567659020424;0.7995;6.25;15.62;8.59;12.5;6.25;14.84;15.23;16.41;5.08;13.48;9.96;8.98;12.7;6.45;2.15;1.17;1.17;0.0;7.81;23.44;12.5;17.97;9.77;23.44;22.66;24.61;8.4;19.53;15.23;14.45;19.53;13.48;6.64;3.32;7.42;0.0
8;0.013486698107421398;0.799;0.01295880976319313;0.803;6.25;15.62;8.59;12.5;6.25;15.23;15.23;16.8;5.08;13.48;9.96;8.98;12.3;6.05;1.95;0.98;0.78;0.0;7.81;23.44;12.5;17.97;9.38;23.05;22.27;24.22;8.01;19.14;14.65;13.87;18.55;12.3;5.86;3.12;7.03;0.0
9;0.013116825428605079;0.8052;0.013383636295795441;0.7925;6.25;15.62;8.59;12.5;6.25;15.62;15.23;16.8;5.08;13.48;9.77;8.79;11.91;5.86;1.95;0.98;0.78;0.0;7.81;23.44;12.5;17.19;8.98;22.66;21.88;23.83;7.62;18.95;14.26;13.48;17.97;11.52;5.27;2.73;6.64;0.0
10;0.01268867924362421;0.8121;0.012827421523630618;0.81;6.25;15.62;8.59;12.5;6.25;15.62;15.62;16.8;4.88;13.48;9.77;8.79;11.72;5.66;1.76;0.98;0.78;0.0;7.81;23.44;11.72;17.19;8.98;22.66;21.48;23.44;7.42;18.55;14.06;13.09;17.19;10.74;4.69;2.34;6.25;0.0
11;0.012643012684583664;0.8116;0.012876649625599383;0.8135;6.25;15.62;8.59;12.5;5.86;16.02;15.62;16.8;4.88;13.48;9.57;8.59;11.33;5.47;1.76;0.98;0.78;0.0;7.81;21.88;11.72;16.41;8.59;22.27;21.48;23.44;7.23;18.36;13.67;12.89;16.6;10.16;4.3;2.15;5.86;0.0
12;0.012547136887907982;0.8119;0.012634926617145539;0.8145;6.25;15.62;8.59;12.5;5.86;16.02;15.62;16.8;4.88;13.28;9.57;8.59;11.13;5.27;1.56;0.78;0.78;0.0;6.25;21.88;10.94;16.41;8.2;21.88;21.09;23.05;7.03;18.16;13.48;12.5;16.21;9.57;3.91;1.95;5.47;0.0
13;0.012507390668988228;0.8145;0.012559360034763814;0.814;6.25;15.62;8.59;12.5;5.86;16.02;15.23;16.8;4.69;13.28;9.57;8.4;10.94;4.88;1.56;0.78;0.78;0.0;6.25;21.88;10.94;15.62;8.2;21.88;20.7;22.66;6.64;17.97;13.28;12.3;15.62;9.18;3.71;1.95;5.08;0.0
14;0.012341685722768307;0.8188;0.012547401294112205;0.8155;6.25;15.62;8.59;11.72;5.86;16.02;15.23;16.8;4.69;13.28;9.38;8.4;10.74;4.88;1.56;0.78;0.78;0.0;6.25;20.31;10.16;15.62;7.81;21.48;20.31;22.27;6.64;17.77;12.89;11.91;15.23;8.59;3.52;1.76;4.69;0.0
15;0.012375601083040238;0.8191;0.01256487188488245;0.8145;4.69;15.62;8.59;11.72;5.47;16.02;15.23;16.41;4.69;13.28;9.38;8.2;10.35;4.69;1.37;0.78;0.78;0.0;6.25;20.31;10.16;14.84;7.81;21.09;20.31;22.27;6.45;17.58;12.7;11.72;14.84;8.2;3.32;1.56;4.69;0.0
16;0.0124937692373991;0.812;0.012530735425651073;0.8165;4.69;15.62;8.59;11.72;5.47;15.62;15.23;16.41;4.49;13.28;9.38;8.2;10.35;4.49;1.37;0.78;0.78;0.0;6.25;20.31;10.16;14.84;7.42;21.09;19.92;21.88;6.25;17.38;12.5;11.52;14.45;8.01;3.12;1.56;4.3;0.0
17;0.012066461546719075;0.8227;0.012546260379254819;0.8155;4.69;15.62;8.59;11.72;5.47;15.62;15.23;16.41;4.49;13.09;9.18;8.01;10.16;4.3;1.37;0.59;0.78;0.0;6.25;18.75;9.38;14.06;7.42;20.7;19.53;21.48;6.05;17.19;12.3;11.33;14.26;7.62;2.93;1.37;4.3;0.0
18;0.012189539061486721;0.8187;0.012598448261618614;0.8155;4.69;15.62;8.59;11.72;5.47;15.62;15.23;16.41;4.49;13.09;9.18;8.01;9.96;4.3;1.17;0.59;0.39;0.0;6.25;18.75;9.38;14.06;7.03;20.31;19.53;21.48;5.86;16.99;12.3;11.13;13.87;7.42;2.73;1.37;3.91;0.0
19;0.012321810667216777;0.8195;0.012537674374878406;0.815;4.69;15.62;8.59;11.72;5.08;15.62;15.23;16.41;4.3;13.09;9.18;7.81;9.77;4.1;1.17;0.59;0.39;0.0;6.25;18.75;9.38;14.06;7.03;20.31;19.14;21.09;5.86;16.99;12.11;10.94;13.67;7.03;2.54;1.37;3.91;0.0
