;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.3847684857368469;0.4986;0.35318788316845895;0.5505;0.0;1.56;1.56;2.34;0.78;1.17;0.78;0.78;0.78;1.37;1.17;0.78;0.39;0.0;0.0;0.0;0.0;50.0;3.12;4.69;3.12;4.69;1.17;5.47;3.91;4.3;2.34;4.3;3.12;2.15;0.59;0.39;0.39;0.78;3.52;50.0
1;0.3802033039107919;0.4943;0.3938997515887022;0.5135;1.56;4.69;2.34;3.12;1.17;0.78;0.39;1.17;0.78;0.78;1.17;1.37;0.78;0.2;0.2;0.39;0.39;0.0;4.69;9.38;5.47;8.59;2.34;4.3;3.52;5.47;3.71;7.42;6.45;4.69;1.37;0.98;1.37;1.37;8.2;50.0
2;0.3740332519620657;0.5057;0.3571058346778154;0.515;1.56;4.69;3.12;3.91;1.56;1.17;0.78;1.17;0.98;1.17;1.76;1.95;0.98;0.59;0.39;0.59;0.78;0.0;3.12;7.81;5.47;8.59;3.91;3.12;3.52;6.64;4.69;9.57;9.57;7.42;1.76;1.37;1.37;1.17;8.98;50.0
3;0.36925072609335186;0.4997;0.3490536099821329;0.5205;1.56;4.69;3.12;3.12;1.56;1.17;0.78;1.56;1.17;1.37;2.15;2.15;0.98;0.59;0.39;0.59;1.17;0.0;3.12;6.25;4.69;7.03;3.91;2.73;3.12;6.64;5.08;10.16;10.35;8.2;1.76;1.17;1.37;1.17;9.38;50.0
4;0.3675170774683356;0.5006;0.3483710069358349;0.4985;1.56;4.69;3.91;4.69;2.34;1.17;1.17;1.95;1.37;1.95;2.93;2.93;1.37;0.98;0.78;0.78;1.95;50.0;3.12;7.81;6.25;8.59;5.08;3.12;3.91;7.81;6.45;13.67;13.87;11.72;2.34;2.15;1.76;1.37;10.94;50.0
5;0.3635368797659874;0.4978;0.3517789804190397;0.4965;1.56;6.25;4.69;4.69;1.95;1.17;1.17;1.95;1.76;2.73;3.71;3.91;1.76;1.17;0.98;0.98;1.95;50.0;3.12;7.81;6.25;8.59;5.08;3.12;3.91;7.81;6.84;16.02;15.43;13.87;2.73;2.54;2.15;1.37;12.11;50.0
6;0.3605692898541689;0.5009;0.35541576231271027;0.5405;1.56;6.25;5.47;3.91;1.95;1.17;1.56;2.34;2.15;3.52;4.49;5.27;2.15;1.56;1.17;0.98;2.34;50.0;3.12;7.81;7.03;7.81;4.69;3.12;3.91;7.42;7.42;17.97;16.99;16.8;3.32;3.12;2.54;1.56;13.67;50.0
7;0.3589397020459175;0.4971;0.34474078759551047;0.533;3.12;6.25;5.47;3.91;1.95;1.17;1.56;2.73;2.54;4.49;5.27;5.86;2.15;1.56;1.37;1.17;2.73;50.0;3.12;7.81;7.81;7.81;4.69;3.12;3.91;7.81;8.01;19.73;17.77;17.77;3.52;3.32;2.73;1.56;14.06;50.0
8;0.3547773211091757;0.5182;0.34015773303806784;0.566;3.12;6.25;5.47;3.91;1.95;0.78;1.56;2.73;2.73;4.88;5.66;5.86;1.95;1.37;1.37;1.17;3.12;50.0;3.12;7.81;7.81;7.03;4.3;3.12;3.91;7.42;8.01;20.31;17.77;17.58;3.32;2.93;2.54;1.56;14.06;50.0
9;0.35446358475387096;0.5066;0.3467255571484566;0.504;3.12;6.25;5.47;3.91;1.56;0.78;1.56;2.73;3.12;5.66;6.05;6.64;2.15;1.56;1.56;1.37;3.52;50.0;3.12;7.81;7.03;7.03;3.91;2.73;3.91;7.03;7.81;20.51;17.58;17.19;3.12;2.73;2.54;1.56;14.06;50.0
