;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.08553567624986172;0.5645;0.08141242618858814;0.6335;3.12;6.25;4.69;7.03;2.73;3.91;3.91;4.3;1.76;2.93;1.56;0.98;0.78;0.39;0.2;0.2;0.0;0.0;4.69;23.44;20.31;32.03;19.92;32.03;32.81;33.98;19.53;32.42;26.95;22.27;28.12;21.68;12.11;4.88;27.73;50.0
1;0.0839105805158615;0.6001;0.0818108206242323;0.635;4.69;9.38;6.25;9.38;2.73;4.3;3.52;3.12;0.78;0.78;0.59;0.39;0.2;0.2;0.39;0.39;0.39;0.0;17.19;35.94;29.69;39.06;20.31;32.42;32.03;30.47;11.91;15.23;11.52;7.23;6.25;5.27;6.84;5.86;14.06;50.0
2;0.07843539228141308;0.6602;0.07290065989643335;0.67;7.81;10.94;8.59;10.16;3.12;4.3;3.91;3.12;0.98;0.78;0.59;0.59;0.39;0.59;0.59;0.78;0.78;50.0;32.81;40.62;31.25;40.62;16.41;28.52;26.17;24.61;7.42;6.25;5.27;4.49;3.12;2.73;3.12;5.47;13.28;50.0
3;0.07373050533533096;0.6959;0.06725375230610371;0.732;9.38;12.5;9.38;10.16;3.12;4.3;3.12;2.34;0.78;0.98;0.98;0.78;0.59;0.59;0.78;0.98;1.17;50.0;45.31;39.06;30.47;35.94;12.5;22.27;17.58;15.23;4.3;3.71;4.1;5.86;3.12;2.73;2.73;5.27;13.28;50.0
4;0.07057621617615223;0.7188;0.06381493204087019;0.761;12.5;15.62;10.16;10.94;3.52;4.69;3.12;2.34;0.98;0.98;0.98;0.98;0.98;0.78;0.78;1.17;1.56;50.0;51.56;37.5;30.47;31.25;10.55;16.8;11.72;10.94;2.73;2.54;3.12;5.27;3.91;3.52;2.93;4.88;12.11;50.0
5;0.06747819562852382;0.7321;0.06340029758960009;0.7765;15.62;17.19;10.16;10.94;3.12;4.3;2.73;2.34;0.98;0.98;0.98;1.17;1.17;0.98;0.98;1.17;1.95;50.0;56.25;34.38;29.69;28.12;8.59;12.5;7.42;8.59;1.76;1.95;2.73;5.27;4.1;4.3;2.93;5.47;10.94;50.0
6;0.06534484155774116;0.7468;0.056241267122328284;0.803;17.19;17.19;10.94;10.94;3.12;4.3;2.73;2.34;0.78;0.98;1.17;1.37;1.17;1.17;0.98;1.17;1.95;50.0;59.38;31.25;29.69;23.44;7.81;10.55;5.86;8.2;1.37;1.95;2.73;5.66;4.88;4.49;3.12;5.27;10.16;50.0
7;0.06313921760618686;0.7601;0.05769434102624655;0.787;18.75;18.75;11.72;10.94;3.52;4.69;2.73;2.34;0.59;0.98;1.17;1.56;1.37;1.17;0.98;1.37;2.34;0.0;62.5;29.69;30.47;20.31;7.81;10.16;4.69;7.42;1.17;1.76;2.54;5.47;5.47;4.88;2.93;5.27;9.38;50.0
8;0.060478008928894995;0.7675;0.05836736670136452;0.768;20.31;18.75;11.72;10.94;3.12;4.69;1.95;2.34;0.59;0.98;1.37;1.76;1.56;1.37;0.98;1.56;2.73;0.0;65.62;28.12;31.25;18.75;7.42;9.77;3.52;6.25;0.98;1.56;2.54;5.66;5.47;5.27;2.93;5.47;8.59;50.0
9;0.05765872262790799;0.788;0.04805224334076047;0.8335;23.44;18.75;12.5;10.94;3.12;4.69;1.95;2.34;0.59;0.78;1.37;1.76;1.56;1.37;0.98;1.56;2.73;0.0;67.19;28.12;31.25;17.19;7.42;9.77;3.12;5.86;0.98;1.56;2.54;5.27;5.66;4.88;2.73;4.88;7.81;0.0
