;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.01220924118757248;0.4017;0.011023246836662292;0.4843;3.12;6.25;3.91;3.91;1.95;3.12;2.73;1.95;0.78;0.78;0.59;0.59;0.39;0.39;0.39;0.39;0.78;40.0;23.44;35.94;20.31;22.66;9.77;16.41;14.84;12.11;3.91;4.69;3.71;2.54;1.95;1.56;1.76;1.76;7.42;40.0
1;0.008646119891405105;0.60582;0.01188363641500473;0.4893;7.81;10.94;5.47;6.25;3.12;5.08;4.69;3.91;1.56;1.56;0.98;0.78;0.59;0.59;0.59;0.59;1.17;50.0;37.5;40.62;23.44;18.75;11.72;17.58;16.41;14.06;5.27;5.86;3.71;2.34;1.76;1.56;1.76;1.95;7.81;50.0
2;0.006967754271030426;0.69012;0.006447956347465515;0.7178;9.38;12.5;7.03;7.81;3.91;6.64;6.64;5.08;2.34;2.15;1.37;0.78;0.78;0.59;0.59;0.78;1.95;60.0;46.88;37.5;24.22;17.97;12.89;16.8;16.8;14.84;6.05;6.05;3.32;1.95;1.37;1.17;1.56;1.95;7.03;50.0
3;0.006056108710765839;0.73578;0.006671302795410157;0.7273;12.5;14.06;7.81;8.59;4.69;7.81;7.42;6.25;2.73;2.73;1.76;0.98;0.78;0.59;0.78;0.98;2.34;60.0;53.12;35.94;25.78;18.75;14.06;16.02;16.8;14.84;6.45;5.86;3.12;1.76;1.17;0.98;1.17;1.95;6.64;60.0
4;0.005356723634004593;0.77158;0.005850830888748169;0.7641;14.06;15.62;8.59;9.38;5.08;8.59;8.59;6.64;3.12;2.93;1.95;1.17;0.78;0.59;0.59;0.98;2.73;60.0;57.81;34.38;26.56;19.53;14.84;15.62;16.02;14.45;6.84;5.86;2.93;1.76;0.98;0.78;0.98;1.95;6.25;60.0
5;0.004817386965751648;0.79682;0.004908415952324868;0.8051;17.19;15.62;10.16;10.16;5.86;8.98;9.38;7.42;3.52;3.32;1.95;1.17;0.78;0.59;0.59;1.17;3.12;60.0;59.38;31.25;28.12;19.53;15.62;15.62;15.62;14.45;7.23;5.66;2.73;1.56;0.98;0.78;0.98;1.76;6.25;60.0
6;0.0043611817991733555;0.81912;0.0053636458933353426;0.78;18.75;17.19;10.94;10.94;6.25;9.38;9.77;8.2;3.71;3.52;2.15;1.17;0.59;0.59;0.59;1.17;3.12;60.0;60.94;29.69;28.91;20.31;16.8;15.62;15.62;14.45;7.23;5.66;2.73;1.37;0.78;0.78;0.98;1.76;6.25;60.0
7;0.004073648168444633;0.832;0.004091140469908714;0.8318;20.31;17.19;11.72;11.72;6.64;10.16;10.16;8.59;4.1;3.71;2.15;1.17;0.59;0.59;0.59;1.17;3.52;60.0;62.5;28.12;30.47;20.31;17.58;15.62;15.23;14.45;7.42;5.66;2.54;1.37;0.78;0.59;0.78;1.76;5.86;60.0
8;0.0037237367963790895;0.84918;0.0049382743805646894;0.8022;21.88;17.19;12.5;12.5;7.42;10.55;10.94;9.38;4.3;3.91;2.15;1.17;0.59;0.59;0.59;1.37;3.52;60.0;64.06;28.12;31.25;21.09;18.36;15.62;15.23;14.45;7.62;5.66;2.54;1.37;0.78;0.59;0.78;1.76;5.86;60.0
9;0.00347403066188097;0.85838;0.004012089122831821;0.8375;23.44;17.19;13.28;12.5;7.81;10.94;11.33;9.38;4.49;4.1;2.15;1.17;0.59;0.59;0.59;1.37;3.91;70.0;64.06;26.56;32.03;21.09;19.14;16.02;15.23;14.45;7.62;5.66;2.54;1.37;0.78;0.59;0.59;1.76;5.47;70.0
10;0.003222940885424614;0.86824;0.004048330226540565;0.8375;25.0;17.19;14.06;13.28;8.2;11.33;11.72;9.77;4.88;4.3;2.15;1.17;0.59;0.59;0.59;1.37;3.91;70.0;65.62;26.56;32.81;21.09;19.53;16.02;15.23;14.06;7.81;5.66;2.54;1.37;0.59;0.59;0.59;1.76;5.47;70.0
11;0.0030395264506340026;0.87688;0.004258561296761036;0.8335;26.56;17.19;14.84;14.06;8.98;11.72;12.11;10.16;4.88;4.49;2.15;1.17;0.59;0.59;0.59;1.37;3.91;70.0;65.62;25.0;33.59;21.88;20.31;16.41;15.23;14.06;7.81;5.66;2.54;1.37;0.78;0.59;0.59;1.76;5.47;70.0
12;0.0028205903351306914;0.8845;0.005109578922390938;0.8096;28.12;17.19;15.62;14.06;9.38;12.11;12.5;10.55;5.08;4.49;2.15;1.17;0.59;0.59;0.59;1.56;3.91;70.0;65.62;25.0;34.38;21.88;20.7;16.41;15.23;14.06;7.81;5.86;2.54;1.37;0.78;0.59;0.59;1.76;5.47;70.0
13;0.002729436676800251;0.88902;0.003418271708488464;0.8677;28.12;18.75;16.41;14.84;10.16;12.5;12.5;10.94;5.27;4.69;2.34;1.17;0.59;0.59;0.59;1.56;3.91;70.0;65.62;25.0;35.16;21.88;21.48;16.8;15.23;14.06;7.81;5.86;2.54;1.37;0.78;0.59;0.59;1.76;5.08;70.0
14;0.0025067041006684304;0.89934;0.0037713196203112602;0.8537;29.69;18.75;17.19;14.84;10.55;12.89;12.89;11.33;5.47;4.69;2.34;1.17;0.59;0.59;0.59;1.56;3.91;70.0;65.62;23.44;35.16;21.88;21.88;16.8;15.23;13.67;7.81;5.86;2.54;1.37;0.78;0.59;0.59;1.76;5.08;70.0
15;0.0023801901865005493;0.90432;0.0033183119222521783;0.8697;31.25;18.75;17.97;15.62;10.94;13.28;13.28;11.33;5.47;4.88;2.34;1.17;0.78;0.59;0.59;1.56;3.91;70.0;65.62;23.44;35.94;22.66;22.66;17.19;15.23;13.67;8.01;5.86;2.54;1.37;0.78;0.59;0.59;1.76;5.08;70.0
16;0.0022323383009433748;0.90938;0.0032792271867394447;0.8725;31.25;18.75;18.75;16.41;11.33;13.67;13.28;11.72;5.66;4.88;2.34;1.17;0.78;0.59;0.59;1.56;3.91;70.0;65.62;23.44;36.72;22.66;23.05;17.19;15.23;13.67;8.01;5.86;2.54;1.37;0.78;0.59;0.59;1.76;4.69;70.0
17;0.0021635493817925453;0.91266;0.0035540206104516985;0.866;32.81;18.75;18.75;16.41;11.72;14.06;13.67;11.72;5.86;5.08;2.34;1.17;0.78;0.59;0.59;1.56;3.91;70.0;65.62;21.88;36.72;22.66;23.44;17.19;15.23;13.67;8.01;6.05;2.54;1.37;0.78;0.59;0.59;1.76;4.69;70.0
18;0.0020042882902920247;0.9183;0.0034590486645698546;0.8719;32.81;18.75;19.53;17.19;12.11;14.06;13.67;11.72;5.86;5.08;2.34;1.17;0.78;0.59;0.59;1.56;4.3;70.0;65.62;21.88;37.5;22.66;23.83;17.58;15.23;13.28;8.01;5.86;2.54;1.37;0.78;0.59;0.59;1.76;4.69;70.0
19;0.0019525852644443511;0.921;0.003306955246627331;0.8772;32.81;18.75;20.31;17.19;12.5;14.45;14.06;11.72;6.05;5.08;2.34;1.17;0.78;0.59;0.59;1.56;3.91;70.0;65.62;21.88;37.5;22.66;24.22;17.58;15.23;13.28;8.01;6.05;2.54;1.37;0.78;0.59;0.59;1.76;4.69;70.0
