;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_features-7;training_accuracy;training_loss
0;16.8;40.0;3.12;8.59;3.52;11.33;15.23;15.62;10.16;6.25;29.69;29.88;26.95;47.07;46.68;39.06;34.38;4.69;0.5205;0.040785599958896634;68.75;50.0;20.31;32.81;19.14;34.38;38.28;35.16;23.63;34.38;47.27;47.07;44.34;63.28;66.6;64.65;65.04;25.0;0.38558;0.051806312774419785
1;14.06;50.0;4.69;13.28;5.08;15.23;19.92;21.09;12.7;10.94;33.01;32.42;29.49;49.22;48.24;40.23;33.98;7.81;0.6296;0.032240204685926435;63.28;50.0;29.69;33.59;19.92;36.33;39.84;37.11;24.61;40.62;47.27;46.48;42.58;61.13;63.48;60.16;58.79;25.78;0.5522;0.03902778032302857
2;12.5;60.0;6.25;15.62;6.64;18.36;23.05;24.22;14.06;14.06;34.77;34.38;31.05;50.39;49.02;40.23;33.4;9.38;0.7122;0.02576927343606949;60.55;60.0;39.06;32.81;20.7;37.11;41.02;38.67;25.59;40.62;47.66;46.48;42.38;60.16;61.72;57.42;55.08;25.78;0.63282;0.03256730209469795
3;12.5;60.0;9.38;16.41;7.42;20.31;25.39;26.17;15.43;17.19;35.94;35.55;32.23;51.37;49.41;40.43;32.81;10.94;0.7267;0.024440667328238488;58.2;60.0;45.31;31.25;21.09;37.89;42.19;39.45;26.56;40.62;48.24;46.68;42.38;59.77;60.55;55.66;52.34;25.0;0.6882;0.027971275401711463
4;12.89;70.0;10.94;17.19;8.2;21.88;27.34;27.73;16.41;18.75;36.91;36.72;33.2;51.95;50.0;40.23;32.03;11.72;0.7565;0.021913985413312912;56.25;70.0;51.56;30.47;21.09;38.28;42.97;40.23;27.73;40.62;48.63;46.88;42.58;59.57;59.96;54.1;50.2;25.0;0.72426;0.024908023982048035
5;13.67;70.0;12.5;17.97;8.59;23.44;28.91;29.3;17.19;20.31;37.7;37.11;33.98;52.54;50.0;39.84;31.25;12.5;0.7811;0.019890409085154534;54.69;70.0;53.12;28.91;21.48;38.67;43.36;41.02;28.71;39.06;49.22;47.27;42.77;59.57;59.38;52.93;48.44;24.22;0.7527;0.022541293638944627
6;14.06;70.0;14.06;18.75;9.38;24.61;30.08;30.08;17.97;21.88;38.48;37.7;34.57;52.73;50.0;39.45;30.66;12.5;0.7942;0.0188501910880208;53.52;70.0;56.25;28.12;21.88;39.06;43.75;41.41;29.49;39.06;49.61;47.46;43.16;59.57;58.79;51.95;46.68;24.22;0.77168;0.020954514061808587
7;14.84;70.0;15.62;19.53;10.16;25.78;31.25;31.25;18.75;23.44;39.26;38.48;35.16;53.32;50.2;39.45;30.27;13.28;0.7963;0.018224788738787173;52.34;70.0;57.81;27.34;22.27;39.45;44.14;42.19;30.47;37.5;50.0;47.66;43.36;59.57;58.4;50.98;45.51;24.22;0.78728;0.019457481801211835
8;15.23;70.0;17.19;19.53;10.55;26.56;32.42;32.03;19.53;23.44;40.04;39.06;35.74;53.52;50.39;39.26;29.88;14.06;0.81;0.017209963393211365;51.56;70.0;57.81;26.56;22.27;39.45;44.53;42.58;31.25;35.94;50.59;47.85;43.55;59.57;58.01;50.2;44.14;24.22;0.80196;0.018118244768381118
9;16.02;70.0;18.75;19.53;10.94;27.34;33.2;32.81;20.12;23.44;40.82;39.45;36.33;53.71;50.39;39.06;29.49;14.84;0.8282;0.015795620241761208;50.78;70.0;59.38;25.78;22.66;39.84;44.53;42.97;31.84;35.94;51.17;48.05;43.95;59.38;57.62;49.41;42.97;24.22;0.8114;0.017076194303035735
