;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_features-7;training_accuracy;training_loss
0;3.12;50.0;3.12;12.5;6.25;18.36;20.31;23.05;15.43;7.81;32.62;30.27;27.15;37.89;36.13;25.78;12.7;5.47;0.4673;0.0029621975421905518;65.23;60.0;3.12;20.31;11.72;26.56;29.69;31.64;23.24;10.94;46.29;48.05;48.24;61.91;67.77;65.43;61.13;8.59;0.30748;0.0038246973395347594
1;4.3;60.0;3.12;16.41;8.59;21.88;22.66;25.0;14.65;12.5;30.47;27.15;22.27;30.86;28.12;15.82;4.88;8.59;0.5845;0.0023283607363700867;54.69;60.0;3.12;25.78;15.62;32.42;33.59;35.16;23.83;15.62;44.92;43.75;41.99;53.71;58.59;54.1;46.68;12.5;0.51984;0.002665156846046448
2;5.47;60.0;4.69;19.53;9.77;24.22;23.83;27.73;15.62;15.62;30.08;24.41;18.36;23.83;18.95;8.2;3.71;10.16;0.6444;0.0020200090646743775;49.22;60.0;4.69;28.12;18.36;35.94;35.94;37.89;25.2;20.31;44.92;41.6;37.89;47.27;50.2;43.95;33.4;14.84;0.62254;0.002096641218662262
3;6.64;70.0;4.69;19.53;10.55;25.39;25.0;28.91;16.41;18.75;29.1;23.63;16.6;21.29;15.04;6.64;3.91;11.72;0.6835;0.0018712949573993682;45.31;60.0;6.25;28.91;19.92;37.89;37.11;39.84;26.95;23.44;44.92;40.82;35.55;42.58;42.97;35.55;23.63;16.41;0.6916;0.0017381133079528808
4;7.81;70.0;4.69;20.31;11.33;26.17;25.78;30.08;17.38;21.88;28.52;21.68;14.84;16.8;10.16;5.86;4.1;12.5;0.6704;0.0021642696380615232;42.58;70.0;6.25;28.91;21.09;39.45;38.28;41.41;28.52;26.56;44.73;40.04;33.98;38.67;36.72;29.1;16.99;17.97;0.73678;0.0015123054075241089
5;8.59;70.0;4.69;20.31;12.11;26.95;26.56;30.86;18.36;23.44;27.93;21.29;14.45;15.04;8.79;5.66;4.1;13.28;0.7214;0.0016121186077594756;40.23;70.0;6.25;28.12;21.88;40.23;38.67;42.58;29.69;28.12;44.53;39.26;32.62;34.77;31.25;23.63;12.7;18.75;0.77016;0.001318967205286026
6;9.38;70.0;4.69;21.09;12.5;27.73;27.34;32.03;19.14;25.0;27.54;20.51;13.87;13.09;7.62;5.47;4.1;14.06;0.7673;0.0014116235613822936;37.89;70.0;7.81;27.34;22.66;41.02;38.67;43.36;31.05;29.69;44.14;38.48;31.64;31.45;26.37;19.34;10.16;19.53;0.79226;0.0011949340891838074
7;10.55;70.0;6.25;21.09;13.28;28.52;27.34;32.81;19.92;26.56;27.73;20.7;14.26;12.7;7.23;5.47;4.1;14.84;0.8003;0.0011965451061725617;35.94;70.0;7.81;26.56;23.44;41.41;38.67;44.14;32.03;31.25;43.75;37.7;30.66;28.52;22.46;16.21;8.79;20.31;0.81166;0.0010932273751497268
8;10.94;80.0;6.25;21.09;13.28;28.52;27.34;33.59;20.31;28.12;27.15;20.31;14.26;11.91;6.84;5.27;4.3;14.84;0.7735;0.00135090509057045;33.98;70.0;9.38;26.56;23.83;41.41;38.67;44.92;32.81;31.25;43.16;36.91;29.88;25.78;19.14;13.67;7.81;21.09;0.82826;0.0009989266538619995
9;11.72;80.0;7.81;21.09;13.67;28.91;27.73;34.38;20.7;29.69;27.15;20.51;14.65;11.33;6.45;5.27;4.3;15.62;0.7987;0.0012457570850849151;32.42;80.0;9.38;26.56;24.61;41.8;38.28;45.7;33.4;32.81;42.58;36.13;29.49;23.44;16.6;11.72;7.23;21.09;0.83786;0.0009386711531877517
