;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.00860036506652832;0.03984;0.008196669816970825;0.0761;3.12;6.25;5.47;10.16;5.08;15.23;15.23;17.19;13.67;30.66;35.55;36.13;56.25;60.55;56.45;55.08;42.19;4.0;6.25;17.19;15.62;25.0;14.06;31.25;28.52;29.3;22.27;43.36;48.05;48.63;67.77;72.66;70.7;70.7;72.66;44.0
1;0.0076886963844299315;0.0991;0.0075000466108322145;0.1197;4.69;10.94;9.38;15.62;7.81;19.92;19.53;22.27;14.65;32.03;35.74;35.55;56.05;59.18;55.27;53.91;37.89;7.0;7.81;20.31;18.75;28.91;16.41;33.98;30.86;31.64;22.27;41.99;46.09;46.29;65.43;69.92;67.38;67.58;68.75;23.0
2;0.007111719689369201;0.14204;0.006977277851104737;0.1669;4.69;14.06;11.72;19.53;9.77;22.66;22.27;24.61;15.43;32.42;35.55;35.16;55.66;58.59;54.88;53.52;37.11;10.0;10.94;25.0;21.09;32.81;18.36;35.94;33.2;33.59;22.46;41.6;45.12;44.73;63.67;67.97;65.23;65.23;66.41;17.0
3;0.0066898854446411134;0.17638;0.006635812664031983;0.1958;6.25;17.19;14.06;22.66;11.33;25.0;25.0;26.95;16.02;33.01;36.13;35.16;54.88;58.2;54.69;53.12;36.72;12.0;14.06;28.12;22.66;35.16;19.92;37.89;34.77;35.16;23.05;41.6;44.73;43.95;62.3;66.6;64.06;63.87;65.23;17.0
4;0.0062716866636276245;0.21956;0.006185569810867309;0.2401;7.81;20.31;15.62;25.0;12.5;26.95;26.95;28.52;16.8;33.4;36.33;35.35;54.3;58.01;54.69;53.12;36.72;14.0;17.19;31.25;24.22;36.72;20.7;39.45;36.33;36.72;23.63;41.99;44.92;43.75;61.33;65.82;63.28;62.89;64.45;18.0
5;0.0058564945936203;0.2596;0.00578049464225769;0.2787;7.81;20.31;15.62;25.78;12.5;27.34;27.34;28.91;16.8;33.4;36.33;35.16;53.71;57.62;54.49;52.73;35.94;15.0;17.19;31.25;23.44;36.72;20.31;38.67;36.33;36.33;23.24;41.41;44.14;42.77;60.16;64.65;62.3;61.72;63.28;18.0
6;0.005739581613540649;0.27102;0.005731304407119751;0.2843;7.81;20.31;15.62;25.78;12.11;27.34;27.34;28.91;16.6;33.2;36.33;34.96;53.12;57.23;54.1;52.54;35.16;15.0;17.19;29.69;21.88;35.16;19.14;37.89;35.55;35.94;22.66;40.82;43.36;41.99;59.18;63.67;61.33;60.55;61.72;18.0
7;0.005663597416877747;0.27944;0.005655648517608643;0.295;7.81;20.31;14.84;25.78;12.11;27.34;26.95;28.91;16.6;33.01;36.13;34.77;52.73;56.84;53.91;52.15;34.77;15.0;15.62;28.12;20.31;34.38;18.36;37.11;34.77;35.16;22.07;40.23;42.77;41.21;58.4;63.09;60.55;59.57;60.94;18.0
8;0.005581849274635315;0.29008;0.0055777404308319095;0.2984;7.81;20.31;14.84;25.0;12.11;27.34;26.95;28.91;16.41;33.01;35.94;34.57;52.34;56.64;53.71;51.95;34.38;15.0;15.62;26.56;19.53;33.59;17.58;36.72;34.38;34.77;21.68;39.65;42.38;40.62;57.81;62.3;59.77;58.79;60.16;18.0
9;0.005510976071357727;0.2953;0.005523512506484985;0.3036;7.81;20.31;14.06;25.0;11.72;27.34;26.95;28.91;16.41;32.81;35.74;34.38;51.95;56.45;53.52;51.76;34.38;15.0;15.62;26.56;18.75;32.81;17.19;35.94;33.59;34.38;21.48;39.26;41.99;40.23;57.23;61.91;59.38;58.2;59.38;17.0
