;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.008728718748092652;0.04398;0.008342288970947265;0.0802;3.12;7.81;5.47;13.28;6.25;18.75;21.48;22.66;14.45;32.03;32.62;31.64;46.48;44.34;33.59;21.29;12.89;6.0;3.12;7.81;8.59;20.31;10.55;28.91;30.08;30.86;20.7;43.55;45.12;47.46;63.09;66.8;64.65;61.72;71.48;68.0
1;0.007772657260894775;0.10626;0.007391719508171081;0.1315;3.12;10.94;8.59;17.97;8.2;22.27;24.61;25.78;15.23;30.66;29.88;27.15;40.62;38.48;25.98;12.89;8.2;8.0;3.12;12.5;10.94;24.22;13.67;33.2;33.98;34.38;22.07;42.38;42.97;42.97;57.23;60.74;56.84;51.56;62.11;35.0
2;0.0069923285579681395;0.15882;0.0068976196050643925;0.1703;3.12;14.06;10.94;22.66;9.77;25.78;26.56;27.73;15.62;28.12;26.17;21.29;31.45;27.73;16.21;7.81;9.77;11.0;3.12;17.19;14.84;30.47;16.8;38.28;38.67;38.67;24.61;42.77;42.58;40.43;52.34;55.27;50.2;42.38;57.42;20.0
3;0.006291541676521301;0.21206;0.006509244704246521;0.207;4.69;17.19;13.28;25.0;11.33;27.73;28.91;29.69;16.21;27.93;25.39;20.12;27.34;22.46;13.28;7.03;11.33;13.0;4.69;21.88;17.97;33.59;19.14;41.8;42.19;41.8;27.34;44.14;43.16;39.65;49.02;50.2;44.34;33.98;54.3;18.0
4;0.005668779516220092;0.26566;0.006316323447227478;0.2337;4.69;20.31;15.62;26.56;12.11;29.3;29.3;30.47;16.6;26.76;23.63;19.34;24.02;18.16;11.72;7.23;12.89;14.0;6.25;25.0;21.09;35.16;20.7;44.14;44.53;44.14;29.3;45.51;44.14;40.04;46.68;46.09;39.45;26.56;51.95;18.0
5;0.005162538342475891;0.31652;0.005261862921714783;0.3172;4.69;21.88;16.41;27.34;12.89;30.08;30.08;32.03;17.77;27.93;24.8;20.31;23.63;17.19;11.72;7.42;14.45;16.0;7.81;28.12;22.66;35.16;21.88;45.31;45.31;45.7;30.47;46.68;44.92;40.62;44.92;42.58;34.96;21.09;49.22;19.0
6;0.0047433889198303224;0.36062;0.004924839830398559;0.3506;6.25;25.0;17.97;26.56;12.89;30.86;31.64;33.2;17.58;28.52;26.56;22.27;23.83;17.19;11.91;7.23;15.62;17.0;7.81;29.69;24.22;35.16;22.66;45.7;45.7;46.88;31.45;47.46;45.51;41.21;43.36;39.26;31.05;17.38;46.88;20.0
7;0.00440196471452713;0.39994;0.004724211668968201;0.379;7.81;26.56;18.75;26.56;13.28;30.86;31.64;34.38;17.97;29.3;27.34;23.24;23.63;16.8;11.72;6.84;16.8;17.0;9.38;31.25;25.78;34.38;23.05;45.31;45.7;48.05;31.64;47.85;46.09;41.99;41.8;36.52;27.54;14.65;44.92;20.0
8;0.004116102502346039;0.43228;0.004646938586235046;0.3918;7.81;28.12;19.53;26.56;13.28;31.25;32.42;35.94;18.16;30.08;28.32;24.8;23.83;16.8;11.72;6.64;17.58;18.0;9.38;32.81;26.56;32.81;23.44;44.92;45.31;49.22;31.84;48.24;46.29;42.77;40.43;34.38;25.0;12.89;42.97;21.0
9;0.0038643723320961;0.46566;0.0043470441102981565;0.4205;9.38;28.12;19.53;26.56;13.67;31.25;32.42;37.11;18.55;30.86;28.91;25.98;24.22;17.19;11.72;6.45;18.36;18.0;10.94;32.81;27.34;32.81;23.83;44.14;44.53;49.61;32.03;48.44;46.68;43.36;39.45;32.62;22.85;11.52;41.02;21.0
