;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5134247276163101;0.06698;0.45838325822353365;0.1299;3.12;6.25;5.47;8.59;4.69;11.33;14.45;15.23;7.81;19.53;17.19;16.41;23.83;23.05;9.77;4.49;2.34;7.0;15.62;34.38;28.12;38.28;25.39;40.23;41.8;40.62;25.0;41.8;39.06;38.87;50.59;54.1;46.88;43.75;57.03;45.0
1;0.4640802580165863;0.12016;0.40922177176475527;0.1989;4.69;10.94;9.38;14.06;7.42;17.19;20.31;21.09;10.16;23.83;21.29;19.34;27.15;24.41;9.96;5.08;5.08;14.0;26.56;42.19;31.25;40.62;27.34;44.14;45.7;42.97;26.95;43.36;40.04;38.87;48.44;50.59;40.82;37.3;51.17;47.0
2;0.4279143834781647;0.16722;0.3773756363272667;0.2323;6.25;15.62;11.72;16.41;8.98;21.09;23.83;24.22;11.33;26.17;24.22;22.07;29.49;25.0;9.77;5.47;7.42;18.0;35.94;43.75;32.81;39.06;28.12;46.09;47.66;44.92;28.32;45.31;41.41;39.45;47.66;47.85;36.52;33.01;47.66;46.0
3;0.39590025486946107;0.21232;0.3453190415620804;0.2807;7.81;18.75;14.06;18.75;10.16;23.44;26.56;27.34;12.89;28.91;26.56;24.02;31.45;25.78;10.16;6.05;9.77;22.0;45.31;43.75;34.38;35.94;28.12;46.88;48.44;46.09;29.69;46.88;43.16;40.23;47.27;45.9;33.01;29.49;45.7;46.0
4;0.36962101420640947;0.25062;0.31553124370574953;0.3305;10.94;20.31;14.84;19.53;10.94;25.39;28.52;29.69;14.06;31.05;28.71;25.78;32.62;25.98;9.96;6.45;11.72;24.0;50.0;43.75;34.38;34.38;28.12;46.48;48.44;47.27;31.25;48.63;44.53;41.41;47.27;44.14;30.27;26.76;43.75;45.0
5;0.34921671169757845;0.2817;0.2968958120405674;0.3779;12.5;21.88;16.41;20.31;11.33;26.56;30.47;31.64;15.43;32.81;30.47;27.34;33.79;25.78;9.77;6.64;13.67;26.0;53.12;42.19;35.16;32.81;28.12;46.09;48.44;48.05;32.42;50.0;45.9;42.38;47.07;42.77;27.73;24.22;42.58;44.0
6;0.3329741033935547;0.31214;0.27972851103544233;0.4017;14.06;23.44;17.19;20.31;11.72;26.95;31.25;33.2;16.41;34.38;31.84;28.71;33.98;25.59;9.57;6.64;15.23;27.0;56.25;40.62;35.94;31.25;27.73;44.92;48.05;48.83;33.59;51.17;46.88;43.36;46.68;41.21;25.78;22.07;41.8;43.0
7;0.3176055460166931;0.3366;0.27043940433859825;0.4132;15.62;25.0;17.19;20.31;12.11;27.73;32.42;34.77;17.19;35.55;33.2;30.47;34.38;25.59;9.38;6.64;16.41;28.0;57.81;40.62;36.72;30.47;27.34;43.75;47.66;49.61;34.57;52.15;47.85;44.53;46.09;39.84;23.83;20.31;41.02;43.0
8;0.30529167716264727;0.36174;0.25452526629567146;0.452;17.19;25.0;17.97;21.09;12.5;28.12;33.2;35.94;18.16;36.52;34.18;31.84;34.18;25.39;9.18;6.64;17.58;29.0;59.38;39.06;36.72;29.69;27.34;42.97;46.88;50.0;35.55;52.54;48.44;45.7;45.51;38.67;21.88;18.75;40.23;43.0
9;0.29383707612991333;0.38114;0.2521086210906506;0.458;18.75;25.0;18.75;21.09;12.89;28.52;33.59;37.11;18.55;37.3;35.16;33.01;33.98;25.39;8.98;6.84;18.75;29.0;60.94;37.5;37.5;28.91;27.34;41.8;46.48;50.78;36.33;53.12;49.22;46.68;44.73;37.7;20.51;17.58;39.84;42.0
