;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.005172470903396607;0.6102;0.0049974463731050495;0.6595;6.25;9.38;6.25;12.5;4.69;9.38;9.38;9.38;2.73;3.52;1.56;0.78;0.78;0.39;0.39;0.39;0.78;0.0;6.25;18.75;17.19;31.25;14.84;28.91;27.34;28.12;8.98;14.45;7.81;4.3;3.52;3.12;2.34;2.34;35.94;50.0
1;0.004692758831381798;0.6769;0.009520988319069147;0.532;9.38;15.62;10.94;20.31;7.03;12.5;10.94;10.94;2.34;2.34;1.17;1.17;1.17;0.78;0.39;0.78;1.56;0.0;9.38;31.25;23.44;39.06;18.75;33.59;32.03;33.59;11.33;15.62;8.2;4.69;3.91;2.73;2.34;2.34;27.34;0.0
2;0.00435832901597023;0.7124;0.004382807374000549;0.7195;9.38;21.88;14.06;25.0;8.59;15.62;14.06;14.84;3.12;3.12;1.95;1.56;1.95;1.17;1.17;1.17;2.34;0.0;12.5;37.5;28.12;43.75;20.31;35.94;33.59;35.94;10.94;14.06;7.42;5.47;4.69;3.12;2.73;3.12;22.66;0.0
3;0.00400289154946804;0.749;0.003836983010172844;0.7625;9.38;28.12;17.19;28.12;9.38;17.97;16.41;17.19;3.52;3.52;2.34;2.34;2.34;1.56;1.56;1.56;3.12;0.0;15.62;43.75;31.25;45.31;20.31;36.72;34.38;36.72;10.55;12.11;7.03;5.47;5.08;3.52;3.52;3.52;18.75;0.0
4;0.0037112882226705553;0.7682;0.0036455531418323516;0.7885;12.5;31.25;18.75;29.69;10.16;19.53;17.97;18.75;3.91;3.91;2.73;2.73;2.73;1.95;1.95;1.95;3.12;0.0;18.75;46.88;31.25;45.31;21.09;36.72;35.16;37.5;9.77;10.55;6.25;5.47;5.08;3.52;3.91;3.91;15.62;0.0
5;0.003491794764995575;0.7872;0.0035802511423826218;0.7865;15.62;34.38;18.75;31.25;10.94;21.09;18.75;19.53;4.3;4.3;3.12;3.12;3.12;1.95;1.95;2.34;3.91;0.0;21.88;50.0;31.25;45.31;21.88;36.72;35.16;37.5;9.38;9.38;5.86;5.47;5.47;3.91;3.91;4.3;14.06;0.0
6;0.0033201347768306733;0.8014;0.003527877315878868;0.8085;18.75;37.5;20.31;32.81;11.72;22.66;19.53;21.09;4.69;4.3;3.12;3.12;3.52;2.34;2.34;2.34;3.91;0.0;25.0;50.0;32.81;45.31;21.88;36.72;34.38;37.5;9.38;8.98;5.47;5.86;5.47;3.91;4.3;4.3;12.5;0.0
7;0.0031479625955224038;0.8117;0.0033386875689029693;0.811;21.88;40.62;21.88;34.38;11.72;23.44;20.31;21.88;4.69;4.3;3.12;3.91;3.52;2.73;2.73;2.73;3.91;0.0;28.12;53.12;34.38;43.75;21.88;35.94;34.38;37.5;8.98;8.2;5.47;5.86;5.86;4.3;4.3;4.3;10.94;0.0
8;0.0029840736240148544;0.8209;0.003501142106950283;0.8005;21.88;40.62;23.44;34.38;12.5;24.22;21.88;22.66;5.08;4.69;3.52;3.91;3.91;2.73;2.73;2.73;3.91;0.0;31.25;53.12;34.38;43.75;21.88;35.94;34.38;37.5;8.98;7.81;5.08;6.25;6.25;4.3;4.69;4.3;9.38;0.0
9;0.0029368485271930693;0.8272;0.003948900304734707;0.778;25.0;43.75;25.0;34.38;13.28;24.22;22.66;23.44;5.08;4.3;3.52;4.3;3.91;2.73;2.73;2.73;3.91;0.0;34.38;53.12;35.94;43.75;22.66;35.94;34.38;38.28;8.98;7.42;5.08;6.64;6.25;4.3;4.69;4.3;8.59;0.0
10;0.002833043122291565;0.8315;0.003174503579735756;0.8125;25.0;43.75;25.0;34.38;13.28;24.22;23.44;24.22;5.47;4.69;3.52;4.69;4.3;3.12;2.73;3.12;4.69;0.0;34.38;53.12;35.94;42.19;22.66;35.94;34.38;38.28;8.98;7.03;4.69;6.64;6.25;4.3;4.69;4.3;7.81;0.0
11;0.0027126331329345704;0.8442;0.003120695948600769;0.8175;28.12;43.75;26.56;34.38;14.06;25.0;24.22;25.78;5.86;4.69;3.52;4.69;4.3;3.12;3.12;3.12;4.69;0.0;37.5;53.12;37.5;42.19;22.66;35.16;34.38;39.06;8.98;6.64;4.69;7.03;6.25;4.3;4.69;4.3;7.81;0.0
12;0.0025640574246644974;0.8535;0.0032187260389328004;0.838;28.12;46.88;28.12;34.38;14.84;25.0;25.0;25.78;5.86;4.69;3.52;5.08;4.69;3.12;3.12;3.12;4.69;0.0;37.5;53.12;37.5;42.19;23.44;35.16;34.38;39.06;8.98;6.25;4.69;7.03;6.25;4.3;4.69;3.91;7.03;0.0
13;0.0025145401179790497;0.8583;0.0032836371511220934;0.8135;28.12;46.88;28.12;35.94;14.84;25.78;25.0;26.56;5.86;4.3;3.52;5.08;4.69;3.12;3.52;3.12;3.91;0.0;40.62;53.12;37.5;40.62;23.44;34.38;34.38;39.06;8.59;6.25;4.3;7.03;6.25;4.3;5.08;3.91;7.03;0.0
