;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_features-7;training_accuracy;training_loss
0;70.31;50.0;6.25;14.06;5.47;17.19;23.44;21.88;15.62;9.38;38.28;41.02;40.62;58.2;64.84;64.45;67.58;6.25;0.628;0.020371347218751907;82.03;50.0;15.62;32.81;16.41;35.16;38.28;32.81;23.83;25.0;50.39;52.34;53.12;69.92;75.39;75.39;77.73;20.31;0.5608;0.021314905565977097
1;72.66;50.0;6.25;18.75;7.81;22.66;27.34;25.78;17.58;12.5;41.8;44.14;44.53;63.28;69.14;68.36;71.09;9.38;0.6335;0.0201805871874094;82.03;50.0;15.62;34.38;18.75;36.72;39.84;34.38;24.61;28.12;50.78;52.34;52.34;69.92;75.0;75.0;77.34;23.44;0.5948;0.020747617441415785
2;72.66;50.0;9.38;21.88;9.38;25.0;29.69;28.12;18.75;18.75;43.75;45.7;46.09;64.45;70.31;69.53;72.27;12.5;0.6545;0.019502997398376465;81.25;50.0;15.62;35.94;19.53;37.5;40.62;35.94;25.0;31.25;50.78;51.95;51.95;69.53;75.0;74.22;76.56;25.0;0.6291;0.020144333729147913
3;71.09;50.0;9.38;25.0;10.94;26.56;32.03;29.69;19.53;18.75;44.53;46.48;46.88;65.23;70.7;69.92;72.27;14.06;0.6815;0.018782349079847337;79.69;50.0;18.75;35.94;20.31;38.28;41.41;35.94;25.39;31.25;50.78;51.95;51.95;69.53;74.61;73.83;76.17;26.56;0.6445;0.0197297819763422
4;69.53;0.0;9.38;26.56;12.5;28.91;33.59;31.25;19.92;21.88;45.31;46.88;47.27;65.62;70.7;69.92;71.88;15.62;0.6875;0.018279653444886208;78.91;50.0;18.75;37.5;21.09;39.06;42.19;36.72;25.78;34.38;50.78;51.56;51.56;69.14;74.22;73.44;75.39;26.56;0.6716;0.018801623857021332
5;67.19;0.0;12.5;28.12;14.06;30.47;35.16;32.03;20.7;25.0;46.09;47.27;47.27;65.62;70.7;69.92;71.48;17.19;0.7265;0.017103167876601218;77.34;50.0;18.75;37.5;21.88;39.84;42.97;37.5;25.78;34.38;50.78;51.56;51.17;68.75;73.83;73.05;75.0;26.56;0.691;0.018231614226102828
6;64.84;0.0;12.5;29.69;14.84;31.25;35.94;32.81;20.7;28.12;46.09;46.88;46.88;65.23;70.31;69.14;71.09;18.75;0.699;0.017582158252596854;76.56;50.0;21.88;39.06;21.88;39.84;42.97;37.5;25.78;34.38;50.78;51.17;50.78;68.36;73.44;72.66;74.22;26.56;0.7013;0.01760833822488785
7;63.28;0.0;12.5;31.25;15.62;32.03;36.72;33.59;20.7;28.12;46.48;46.88;46.88;65.23;69.92;69.14;70.7;18.75;0.743;0.016214053094387053;75.0;50.0;21.88;39.06;21.88;40.62;43.75;37.5;25.78;37.5;50.78;51.17;50.39;67.97;73.05;72.27;73.83;26.56;0.7226;0.016967697662115096
8;60.94;0.0;12.5;32.81;16.41;32.81;37.5;33.59;21.09;31.25;46.48;46.88;46.88;64.84;69.92;68.75;69.92;20.31;0.7505;0.015524813368916512;73.44;0.0;21.88;39.06;22.66;40.62;43.75;37.5;25.78;37.5;50.78;50.78;50.39;67.97;72.66;71.88;73.44;28.12;0.7339;0.01629142145514488
9;59.38;0.0;12.5;32.81;16.41;33.59;37.5;34.38;21.09;31.25;46.48;46.88;46.48;64.45;69.53;68.36;69.53;21.88;0.7595;0.015255876258015633;72.66;0.0;21.88;40.62;22.66;40.62;43.75;37.5;25.78;37.5;50.78;50.78;50.0;67.58;72.27;71.48;72.66;28.12;0.7466;0.01582694807648659
