;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.020845975464582445;0.5893;0.01953527304530144;0.66;6.25;9.38;9.38;12.5;7.81;18.75;18.75;23.44;14.06;32.42;29.69;23.05;34.38;28.12;11.33;1.17;1.56;0.0;6.25;18.75;17.19;21.88;17.19;32.81;32.81;35.16;26.56;48.44;49.22;44.53;58.98;62.5;58.98;54.69;67.97;50.0
1;0.019046815019845963;0.6663;0.018360169164836408;0.6715;9.38;18.75;14.06;18.75;10.16;24.22;21.88;25.0;13.67;25.78;18.75;10.55;13.67;10.16;2.34;1.56;2.34;0.0;9.38;31.25;25.0;29.69;22.66;39.06;38.28;39.84;27.73;46.48;44.14;37.5;48.83;50.78;44.53;33.98;53.91;50.0
2;0.016832372865080835;0.7215;0.01563225868344307;0.758;9.38;25.0;17.19;21.88;11.72;26.56;23.44;25.0;9.77;17.19;10.55;5.47;8.59;5.86;2.34;1.95;3.12;0.0;18.75;43.75;32.81;35.94;26.56;43.75;40.62;41.41;25.0;38.28;33.59;27.34;36.72;39.06;32.42;20.31;42.97;0.0
3;0.015423175704479217;0.7537;0.014785814337432384;0.7675;12.5;31.25;20.31;25.0;11.72;28.91;25.0;24.22;7.42;9.77;5.08;3.52;5.08;3.91;2.73;2.34;3.91;0.0;21.88;46.88;35.94;37.5;27.34;46.09;41.41;41.41;21.09;29.69;23.83;19.53;27.34;30.47;25.39;14.45;33.59;0.0
4;0.014771733453869819;0.7673;0.013824765019118786;0.7935;15.62;34.38;21.88;26.56;12.5;29.69;25.78;23.44;6.64;7.42;4.69;3.91;4.69;3.91;3.12;2.73;4.69;0.0;28.12;53.12;37.5;39.06;28.12;46.88;42.97;40.62;18.75;23.83;17.97;15.62;21.88;23.83;20.7;12.89;27.34;0.0
5;0.013954018734395505;0.7851;0.014181489270180463;0.7865;18.75;37.5;23.44;26.56;12.5;29.69;25.78;20.31;5.47;5.08;3.52;3.52;3.91;3.52;3.52;3.12;5.47;0.0;34.38;53.12;40.62;39.06;29.69;47.66;44.53;40.62;17.19;19.53;14.06;13.28;17.19;18.36;17.58;12.11;21.88;0.0
6;0.013680938731133938;0.7871;0.013988429069519043;0.8025;21.88;40.62;25.0;28.12;12.5;29.69;25.78;19.53;5.08;4.3;3.52;3.91;3.91;3.12;3.52;3.52;5.47;0.0;40.62;56.25;42.19;39.06;29.69;48.44;45.31;39.84;15.62;15.62;10.94;11.72;13.67;14.06;14.84;11.72;18.75;0.0
7;0.0130073003962636;0.8057;0.013572883486747742;0.7995;25.0;43.75;26.56;28.12;13.28;29.69;27.34;20.31;5.47;4.69;3.91;4.3;4.3;3.52;3.91;3.91;6.25;0.0;46.88;56.25;43.75;37.5;29.69;47.66;45.31;39.06;14.45;13.28;9.38;11.33;12.11;12.11;13.67;11.33;15.62;0.0
8;0.012562882828712464;0.8109;0.012620330817997455;0.8245;28.12;43.75;28.12;28.12;13.28;29.69;27.34;20.31;5.47;4.3;3.52;4.69;4.3;3.52;4.3;4.3;6.25;0.0;50.0;56.25;43.75;37.5;29.69;46.88;46.09;38.28;13.28;10.55;7.81;10.94;10.94;10.55;12.5;11.33;14.06;0.0
9;0.012198496568202972;0.8191;0.011695751070976257;0.8355;31.25;46.88;29.69;29.69;13.28;29.69;28.12;20.31;5.47;4.3;3.52;5.08;4.69;3.91;4.3;4.69;6.25;0.0;53.12;56.25;45.31;37.5;29.69;46.88;46.09;38.28;11.72;8.98;6.64;10.55;9.77;9.38;11.72;10.94;12.5;0.0
