;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.0013848843097686767;0.5153;0.0013850098252296448;0.5265;6.25;9.38;6.25;14.06;7.03;14.84;18.75;18.75;16.8;35.55;37.89;39.84;49.22;52.73;56.64;53.12;51.56;50.0;6.25;12.5;10.94;23.44;13.28;27.34;28.91;31.25;22.66;48.44;53.91;54.69;66.8;75.0;78.91;76.56;82.81;50.0
1;0.0013648076236248015;0.5533;0.001353564977645874;0.5785;6.25;12.5;9.38;18.75;8.59;20.31;23.44;25.78;19.14;41.02;46.48;48.44;60.16;67.58;71.88;68.75;73.44;50.0;9.38;15.62;12.5;26.56;14.84;29.69;30.47;32.81;23.44;48.83;54.3;55.08;67.58;75.0;78.91;76.56;82.81;50.0
2;0.0013354303717613221;0.5937;0.0013023481667041779;0.6305;9.38;15.62;10.94;21.88;10.16;21.88;25.78;29.69;20.7;43.75;48.83;50.78;63.28;71.09;74.61;72.27;75.78;50.0;12.5;18.75;14.06;29.69;16.41;31.25;32.03;33.59;24.22;49.22;54.3;55.08;67.97;75.0;78.91;76.56;82.03;50.0
3;0.0012985529482364654;0.6209;0.0012566891610622407;0.65;9.38;18.75;14.06;25.0;11.72;23.44;27.34;30.47;21.09;44.92;49.61;51.17;64.06;71.48;75.0;72.27;75.0;50.0;12.5;18.75;15.62;31.25;17.19;32.03;33.59;34.38;24.61;49.61;54.3;55.08;67.97;75.0;78.91;76.56;82.03;50.0
4;0.0012818161070346833;0.6234;0.0012408522963523864;0.648;12.5;21.88;15.62;26.56;13.28;25.0;28.91;31.25;21.48;45.31;50.0;51.17;64.45;71.48;75.0;72.27;73.44;50.0;12.5;18.75;17.19;32.81;17.97;32.81;34.38;35.16;24.61;49.61;53.91;54.69;67.58;74.61;78.52;76.17;81.25;50.0
5;0.0012567656993865968;0.6513;0.001195352405309677;0.683;12.5;18.75;15.62;26.56;13.28;25.78;28.91;31.25;21.48;45.7;50.0;51.17;64.45;71.09;74.61;72.27;73.44;0.0;12.5;18.75;17.19;32.81;17.97;32.81;34.38;35.16;24.22;49.22;53.52;54.3;67.19;74.22;77.73;75.78;81.25;50.0
6;0.0012403878808021544;0.6581;0.0011904051899909974;0.6775;12.5;18.75;14.06;26.56;13.28;25.78;28.91;31.25;21.48;45.31;49.61;51.17;64.06;71.09;74.61;71.88;72.66;0.0;12.5;18.75;17.19;31.25;17.19;32.03;33.59;35.16;23.83;48.83;53.12;53.91;67.19;73.83;77.34;75.0;80.47;50.0
7;0.0012267294108867645;0.6631;0.0011785371601581573;0.6805;12.5;18.75;14.06;26.56;13.28;25.78;28.91;31.25;21.09;45.31;49.61;50.78;63.67;70.7;74.22;71.48;71.88;0.0;12.5;18.75;15.62;31.25;17.19;31.25;33.59;34.38;23.44;48.44;52.73;53.52;66.8;73.44;77.34;74.61;79.69;50.0
8;0.0012130332708358764;0.6672;0.0011783834099769591;0.688;12.5;18.75;14.06;26.56;12.5;25.78;28.91;30.47;21.09;45.31;49.22;50.39;63.67;70.31;73.83;71.09;71.09;0.0;12.5;18.75;15.62;29.69;16.41;31.25;32.81;34.38;23.44;48.05;52.34;53.12;66.41;73.05;76.95;74.22;78.91;50.0
9;0.0012025443136692048;0.6752;0.0011716262847185136;0.6905;9.38;18.75;14.06;26.56;12.5;25.78;28.91;30.47;20.7;44.92;49.22;50.39;63.28;69.92;73.83;70.7;71.09;0.0;12.5;18.75;15.62;29.69;16.41;30.47;32.81;33.59;23.05;48.05;51.95;52.73;66.41;73.05;76.56;73.83;78.91;50.0
10;0.0011993990063667297;0.6755;0.0011692646890878677;0.693;9.38;15.62;14.06;26.56;12.5;25.0;28.12;30.47;20.7;44.92;48.83;50.0;62.89;69.92;73.44;70.31;70.31;0.0;12.5;18.75;15.62;29.69;15.62;30.47;32.03;33.59;23.05;47.66;51.95;52.73;66.41;72.66;76.17;73.83;78.12;50.0
11;0.001189539009332657;0.6823;0.0011678154915571212;0.695;9.38;15.62;14.06;25.0;12.5;25.0;28.12;29.69;20.7;44.92;48.44;50.0;62.89;69.53;73.05;69.92;69.53;0.0;12.5;18.75;14.06;28.12;15.62;29.69;32.03;33.59;22.66;47.27;51.56;52.34;66.02;72.66;76.17;73.44;78.12;50.0
12;0.0012007165670394897;0.6726;0.0011682168245315551;0.694;9.38;15.62;14.06;25.0;12.5;25.0;28.12;29.69;20.31;44.53;48.44;49.61;62.5;69.14;73.05;69.92;69.53;0.0;12.5;15.62;14.06;28.12;15.62;29.69;32.03;32.81;22.66;47.27;51.56;52.34;66.02;72.27;75.78;73.05;78.12;50.0
13;0.0011937437653541565;0.6774;0.0011679145097732544;0.6945;9.38;15.62;12.5;25.0;12.5;25.0;28.12;29.69;20.31;44.53;48.05;49.22;62.11;69.14;72.66;69.53;69.53;0.0;12.5;15.62;14.06;28.12;14.84;28.91;31.25;32.81;22.27;47.27;51.17;51.95;66.02;72.27;75.78;73.05;78.12;50.0
14;0.0011962833762168884;0.6739;0.0011696249842643737;0.6915;9.38;15.62;12.5;25.0;12.5;25.0;28.12;29.69;20.31;44.14;48.05;49.22;62.11;68.75;72.27;69.14;68.75;0.0;12.5;15.62;14.06;28.12;14.84;28.91;31.25;32.81;22.27;46.88;51.17;51.95;65.62;71.88;75.39;72.66;77.34;50.0
15;0.0011964764475822448;0.6772;0.0011694144606590271;0.6935;9.38;15.62;12.5;25.0;11.72;24.22;27.34;28.91;19.92;44.14;48.05;48.83;61.72;68.75;72.27;69.14;68.75;0.0;12.5;15.62;14.06;26.56;14.84;28.91;31.25;32.03;22.27;46.88;50.78;51.95;65.62;71.88;75.39;72.66;77.34;50.0
16;0.0011996578752994538;0.6792;0.001169019803404808;0.692;9.38;15.62;12.5;25.0;11.72;24.22;27.34;28.91;19.92;44.14;47.66;48.83;61.72;68.36;71.88;68.75;67.97;0.0;12.5;15.62;14.06;26.56;14.06;28.12;30.47;32.03;21.88;46.48;50.78;51.56;65.62;71.88;75.39;72.66;77.34;50.0
17;0.0011934541761875154;0.6759;0.00116799895465374;0.6905;9.38;15.62;12.5;23.44;11.72;24.22;27.34;28.91;19.92;43.75;47.66;48.83;61.33;68.36;71.88;68.36;67.97;0.0;9.38;15.62;14.06;26.56;14.06;28.12;30.47;32.03;21.88;46.48;50.78;51.56;65.62;71.48;75.0;72.27;77.34;50.0
18;0.001194430261850357;0.6782;0.0011679485142230988;0.6915;9.38;12.5;12.5;23.44;11.72;24.22;27.34;28.91;19.92;43.75;47.27;48.44;61.33;67.97;71.48;68.36;67.97;0.0;9.38;15.62;12.5;26.56;14.06;28.12;30.47;32.03;21.88;46.48;50.39;51.56;65.23;71.48;75.0;72.27;77.34;50.0
19;0.0011977604269981384;0.6779;0.0011692647635936737;0.6925;9.38;12.5;10.94;23.44;11.72;24.22;27.34;28.91;19.92;43.75;47.27;48.44;60.94;67.97;71.48;67.97;67.97;0.0;9.38;15.62;12.5;26.56;14.06;27.34;30.47;32.03;21.48;46.48;50.39;51.17;65.23;71.48;75.0;72.27;76.56;50.0
