;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.3633973674505949;0.4999;0.41479707380384206;0.5145;3.12;6.25;3.12;3.12;0.78;0.78;0.78;0.78;0.0;0.0;0.0;0.39;0.39;0.78;0.39;0.39;0.78;0.0;12.5;18.75;15.62;12.5;4.69;10.94;12.5;10.94;7.81;11.72;12.11;15.23;14.84;11.72;7.42;5.86;17.19;50.0
1;0.3601971051514149;0.4987;0.3472708287537098;0.5015;3.12;9.38;6.25;3.12;0.78;2.34;1.56;1.56;0.0;0.0;0.39;0.39;0.78;0.78;0.78;0.78;1.56;0.0;12.5;15.62;12.5;9.38;5.47;14.06;15.62;11.72;6.25;12.11;12.11;15.23;15.62;11.72;6.64;4.3;17.97;50.0
2;0.3572124203503132;0.507;0.35577144390344617;0.5115;6.25;12.5;6.25;3.12;1.56;3.12;2.34;1.56;0.39;0.0;0.39;0.39;1.17;1.56;1.56;1.56;3.12;0.0;12.5;15.62;12.5;10.94;6.25;17.19;17.97;12.5;6.25;11.33;10.94;14.06;15.62;12.89;7.42;5.08;20.31;50.0
3;0.3580208480745554;0.4985;0.34677869886159896;0.5;6.25;12.5;7.81;4.69;2.34;3.12;2.34;1.56;0.39;0.39;0.39;0.78;1.17;1.95;1.95;1.95;3.91;0.0;9.38;15.62;14.06;10.94;7.03;18.75;17.97;12.5;6.25;11.72;10.94;14.84;14.84;12.89;7.81;5.08;22.66;50.0
4;0.3554710589885712;0.5031;0.3476193265020847;0.4985;6.25;15.62;9.38;6.25;2.34;3.91;3.12;1.56;0.39;0.39;0.39;0.78;1.17;2.34;2.34;1.95;4.69;0.0;9.38;15.62;14.06;10.94;7.03;19.53;17.97;12.5;6.25;12.11;12.11;16.02;14.84;13.67;8.59;5.47;25.0;50.0
5;0.3534956163764;0.5033;0.3497507859766483;0.488;6.25;15.62;10.94;6.25;3.12;4.69;3.91;1.56;0.78;0.78;1.17;1.17;1.56;2.34;2.34;1.95;5.47;0.0;9.38;18.75;15.62;12.5;7.03;19.53;17.19;13.28;6.64;13.28;12.89;16.8;13.67;13.28;8.59;5.08;23.44;50.0
6;0.3523450047522783;0.505;0.3475274322330952;0.48;9.38;15.62;12.5;7.81;3.12;4.69;3.91;2.34;1.17;0.78;1.17;1.17;1.95;2.73;2.34;1.95;5.47;0.0;12.5;18.75;17.19;14.06;8.59;20.31;17.19;13.28;7.03;13.28;12.5;16.02;12.11;12.5;7.81;4.69;22.66;50.0
7;0.3520760487526655;0.4987;0.34618381357192995;0.5205;9.38;15.62;12.5;7.81;3.12;3.91;3.91;2.34;1.17;0.78;1.17;1.56;1.95;3.12;2.73;2.73;6.25;0.0;12.5;18.75;17.19;12.5;8.59;17.97;15.62;12.5;7.42;14.06;13.28;17.19;12.89;12.89;7.81;4.69;23.44;50.0
8;0.35104439596533776;0.4996;0.3493140336871147;0.4975;9.38;15.62;12.5;7.81;3.12;3.91;3.91;3.12;1.17;1.17;1.17;1.56;2.34;3.52;3.12;2.73;7.03;0.0;12.5;15.62;17.19;12.5;9.38;17.19;15.62;14.06;7.81;16.41;15.62;19.92;14.06;13.67;7.81;5.08;24.22;50.0
9;0.34970346441566946;0.5067;0.3561908607035875;0.5375;9.38;15.62;12.5;7.81;3.91;3.91;3.91;3.12;1.17;1.17;1.17;1.95;2.73;3.52;2.73;2.73;7.03;0.0;12.5;15.62;17.19;12.5;10.16;16.41;14.84;13.28;8.2;17.58;17.19;21.88;14.45;13.28;7.42;5.08;23.44;50.0
10;0.3492814497858286;0.504;0.34532032716274264;0.543;9.38;15.62;12.5;7.81;3.91;3.91;3.91;3.12;1.17;1.17;1.56;2.34;2.73;3.52;2.73;2.73;6.25;0.0;12.5;15.62;17.19;12.5;10.16;14.84;14.06;13.28;8.59;17.97;17.97;22.66;14.06;12.89;6.64;4.69;22.66;50.0
11;0.3494362623155117;0.5005;0.3473249651491642;0.4575;9.38;15.62;14.06;7.81;4.69;4.69;4.69;3.91;1.56;1.17;1.56;2.73;3.12;3.91;2.73;2.73;7.03;0.0;12.5;15.62;18.75;12.5;10.94;15.62;14.06;13.28;9.38;19.14;19.53;24.61;14.84;12.89;6.64;4.69;21.88;50.0
12;0.34954158949553965;0.4952;0.34627033019065856;0.516;9.38;15.62;14.06;7.81;4.69;4.69;4.69;3.91;1.95;1.56;1.56;3.12;3.52;3.91;2.34;2.34;7.03;0.0;12.5;15.62;18.75;12.5;11.72;15.62;14.06;13.28;9.77;19.92;20.7;25.78;14.84;12.89;6.25;4.69;21.09;50.0
13;0.3489276548743248;0.5016;0.3463350217938423;0.4995;12.5;15.62;12.5;7.81;4.69;3.91;4.69;3.91;1.95;1.56;1.56;3.12;3.52;3.91;2.34;2.34;7.03;0.0;12.5;15.62;18.75;12.5;11.72;14.84;14.06;13.28;10.55;21.09;21.48;26.95;14.84;12.89;5.86;4.3;20.31;50.0
14;0.34882654327452184;0.5;0.3471989632844925;0.4975;12.5;15.62;12.5;7.81;4.69;3.91;4.69;4.69;1.95;1.56;1.95;3.52;3.91;4.3;2.73;2.73;7.03;0.0;12.5;15.62;17.19;12.5;11.72;14.84;13.28;12.5;10.94;21.48;22.27;27.73;14.84;12.89;5.86;4.3;19.53;50.0
