;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.049349638092517856;0.42062;0.03955204560756683;0.5298;6.25;12.5;6.25;7.81;4.69;10.94;11.72;11.72;6.25;13.28;10.55;8.2;12.5;4.3;2.34;1.95;3.12;40.0;37.5;53.12;32.81;37.5;25.78;44.53;42.97;42.19;27.73;41.41;38.28;33.2;42.19;35.94;29.69;23.44;29.69;60.0
1;0.03468993472099304;0.60816;0.04141749166250229;0.5496;9.38;18.75;9.38;12.5;7.03;15.62;16.41;16.41;9.38;17.19;14.06;10.55;15.23;5.86;3.12;2.34;5.47;50.0;53.12;56.25;34.38;32.81;28.12;44.53;45.31;44.53;32.42;44.53;40.23;33.59;40.62;30.08;21.48;16.8;28.12;60.0
2;0.028634366421103476;0.6876;0.024532771000266074;0.7354;15.62;21.88;12.5;14.06;9.38;19.53;20.31;21.09;12.89;21.48;17.97;13.67;17.58;6.64;3.12;2.73;7.03;50.0;59.38;56.25;37.5;31.25;30.47;43.75;45.31;46.88;35.94;46.48;42.19;34.38;38.67;25.39;16.02;13.67;26.56;60.0
3;0.02481981121480465;0.73278;0.020358560506999492;0.7823;18.75;25.0;14.06;15.62;10.94;21.09;22.66;24.22;15.23;24.61;20.31;15.23;17.19;6.64;3.52;3.12;8.59;50.0;62.5;53.12;39.06;29.69;32.03;42.97;44.53;47.66;38.28;47.66;42.97;34.38;37.11;21.88;12.11;12.11;25.0;60.0
4;0.022204488018751144;0.76274;0.020160764120519162;0.7789;21.88;25.0;15.62;17.19;11.72;22.66;25.0;27.34;16.8;26.17;22.27;16.41;17.58;6.64;3.52;3.52;9.38;50.0;62.5;53.12;40.62;28.12;32.03;42.19;43.75;47.66;39.84;48.44;43.36;34.77;35.16;18.75;9.38;10.55;24.22;60.0
5;0.017700951914191247;0.81044;0.01585299464017153;0.8326;25.0;25.0;15.62;15.62;11.72;22.66;24.22;27.34;17.19;26.56;22.66;16.41;16.8;5.86;3.52;3.52;9.38;50.0;62.5;46.88;37.5;26.56;29.69;38.28;40.62;46.09;38.67;46.88;41.8;32.81;32.03;16.02;7.42;8.98;21.88;60.0
6;0.016562956705987453;0.82374;0.015175259068608284;0.8363;25.0;25.0;15.62;15.62;11.72;21.88;24.22;27.34;17.58;26.95;22.66;16.41;16.02;5.47;3.12;3.12;8.59;50.0;59.38;43.75;34.38;25.0;27.34;35.16;38.28;43.75;37.11;45.31;39.84;30.86;29.69;13.67;6.25;7.42;19.53;60.0
7;0.015908809400349857;0.8299;0.014837790897488594;0.8443;25.0;25.0;17.19;15.62;11.72;21.88;23.44;27.34;17.58;26.95;22.66;16.41;15.23;5.47;3.12;3.12;8.59;50.0;59.38;40.62;31.25;23.44;25.0;32.81;35.94;42.19;35.94;44.14;38.67;29.69;27.73;12.11;5.08;6.64;17.19;60.0
8;0.015444652586430312;0.83648;0.0144633036211133;0.8429;25.0;21.88;17.19;15.62;11.72;21.09;23.44;27.34;17.97;26.95;22.66;16.41;14.84;5.08;2.73;3.12;7.81;50.0;56.25;37.5;29.69;21.88;23.44;31.25;34.38;40.62;35.16;42.97;37.5;28.52;26.56;10.94;4.3;5.86;15.62;60.0
9;0.015065765329897403;0.83898;0.014457964190840722;0.8448;25.0;21.88;17.19;15.62;11.72;21.09;23.44;27.34;17.97;27.34;22.66;16.41;14.45;5.08;2.73;3.12;7.81;50.0;53.12;34.38;28.12;20.31;22.66;29.69;32.81;39.84;34.38;42.19;36.72;27.73;25.39;9.77;3.91;5.47;14.84;60.0
