;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_features-7;training_accuracy;training_loss
0;0.78;20.0;6.25;4.69;3.12;3.91;3.91;3.12;1.17;12.5;1.17;0.78;0.78;0.78;0.78;0.39;0.78;4.69;0.38;0.20282985596060754;20.31;50.0;62.5;31.25;20.31;30.47;33.59;31.25;15.62;59.38;16.8;13.28;14.06;8.98;3.91;3.91;7.03;31.25;0.28628;0.23305174489974975
1;2.34;40.0;15.62;9.38;5.47;7.03;7.03;5.47;2.34;15.62;1.95;1.56;1.17;1.17;0.78;0.78;1.17;7.81;0.4831;0.17312990675568582;15.62;50.0;75.0;25.0;18.75;19.53;25.78;25.78;14.45;50.0;12.11;8.59;9.38;4.69;1.95;1.56;6.25;34.38;0.37858;0.2059165227866173
2;3.91;40.0;21.88;12.5;6.25;9.38;8.59;7.03;3.52;18.75;2.73;2.34;1.56;1.56;1.17;1.17;1.56;12.5;0.5843;0.14852960470914842;14.06;50.0;75.0;26.56;18.75;18.75;23.44;22.66;13.67;43.75;10.16;7.81;7.03;3.91;1.95;1.56;5.47;39.06;0.45694;0.1877134896826744
3;5.47;60.0;21.88;14.06;7.03;10.94;11.72;8.59;4.69;18.75;3.91;3.12;1.95;2.34;1.56;1.56;1.56;14.06;0.6363;0.13034582763016223;15.62;60.0;75.0;26.56;19.53;17.97;21.88;21.09;13.67;37.5;10.16;8.2;6.25;3.91;2.34;1.56;4.3;40.62;0.54916;0.16171755874037744
4;7.81;60.0;25.0;15.62;8.59;11.72;13.28;10.94;5.47;18.75;4.69;3.91;2.34;2.73;1.95;1.56;1.95;15.62;0.7018;0.10940295869112014;17.97;60.0;71.88;28.12;21.09;17.97;21.88;19.53;13.67;34.38;10.16;8.2;5.86;3.91;2.34;1.56;3.12;42.19;0.62302;0.13824155266046523
5;9.38;60.0;28.12;17.19;9.38;13.28;14.06;11.72;6.25;21.88;5.08;4.3;2.73;2.73;2.34;1.56;1.95;17.19;0.746;0.1014871380507946;19.53;60.0;68.75;28.12;21.88;17.97;21.09;18.75;14.06;34.38;10.16;8.2;5.08;3.52;2.34;1.56;2.73;42.19;0.67358;0.12307275329232216
6;10.94;60.0;28.12;18.75;10.94;14.06;15.62;12.5;7.03;21.88;5.47;4.69;3.12;2.73;2.34;1.56;1.95;18.75;0.743;0.0982304867863655;21.09;70.0;65.62;29.69;22.66;18.75;21.88;17.97;14.06;34.38;9.77;8.2;5.08;3.52;2.34;1.56;2.34;42.19;0.70818;0.11151244527637959
7;11.72;60.0;31.25;20.31;11.72;14.84;16.41;13.28;7.42;25.0;5.86;5.08;3.12;3.12;2.34;1.56;1.56;20.31;0.7394;0.10131107511818409;22.66;70.0;65.62;29.69;23.44;19.53;22.66;17.19;14.45;34.38;9.77;7.81;5.08;3.52;2.34;1.56;1.95;43.75;0.73516;0.10301513405323029
8;13.28;60.0;31.25;21.88;13.28;15.62;17.97;14.06;8.2;25.0;6.25;5.47;3.52;3.12;2.34;1.56;1.56;21.88;0.7761;0.09361062094569206;23.44;70.0;65.62;29.69;24.22;19.53;22.66;17.19;14.45;34.38;9.38;7.42;4.69;3.52;2.34;1.56;1.56;43.75;0.75632;0.0963869485232234
9;14.06;60.0;34.38;21.88;14.06;16.41;18.75;14.06;8.59;25.0;6.64;5.47;3.52;3.12;2.34;1.56;1.17;23.44;0.7713;0.09316997292637826;24.22;70.0;62.5;31.25;25.0;20.31;22.66;16.41;14.84;31.25;9.38;7.42;4.69;3.52;2.34;1.56;1.56;45.31;0.77106;0.0905570585757494
10;15.62;60.0;34.38;23.44;14.84;17.19;19.53;14.84;8.98;25.0;7.03;5.47;3.91;3.12;2.34;1.56;1.17;25.0;0.7795;0.09055535763800145;25.0;70.0;62.5;31.25;25.78;20.31;23.44;16.41;15.23;31.25;9.38;7.03;4.69;3.52;2.34;1.56;1.17;45.31;0.78418;0.08566904051214456
