;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_features-7;training_accuracy;training_loss
0;51.56;2.0;6.25;17.19;10.94;21.88;27.34;25.78;20.31;12.5;38.28;41.8;43.36;62.11;65.62;66.02;67.58;10.94;0.0343;0.0351302490234375;77.34;50.0;9.38;26.56;17.97;32.03;35.94;32.03;25.0;25.0;44.92;48.05;50.0;67.58;71.48;71.88;74.22;17.19;0.02334;0.035489656238555906
1;49.22;3.0;9.38;20.31;13.28;25.0;30.47;28.91;21.48;18.75;39.06;42.97;43.75;62.89;66.02;66.02;67.19;15.62;0.045;0.034105085229873655;71.88;29.0;9.38;28.12;19.53;32.81;36.72;33.59;25.39;25.0;44.14;47.27;48.83;66.8;70.31;70.31;72.66;18.75;0.03662;0.03436583443641662
2;48.44;4.0;9.38;23.44;14.84;26.56;32.03;30.47;22.27;21.88;39.06;42.58;42.97;62.5;64.84;64.84;66.41;17.19;0.0615;0.03305665740966797;69.53;18.0;12.5;28.12;21.09;33.59;38.28;34.38;25.78;28.12;43.75;46.88;48.05;66.41;69.14;69.14;71.09;20.31;0.05078;0.03343197648048401
3;47.66;5.0;9.38;25.0;16.41;28.12;33.59;32.03;22.27;25.0;38.28;41.8;42.19;61.72;63.67;63.67;65.23;18.75;0.0891;0.032053926253318786;68.75;12.0;15.62;29.69;21.88;34.38;39.06;35.16;26.17;31.25;43.36;46.48;47.27;65.62;68.36;67.97;69.92;21.88;0.07008;0.032528538661003116
4;46.88;6.0;9.38;25.0;17.97;29.69;34.38;32.03;22.66;25.0;37.89;41.02;41.41;60.55;62.89;62.5;64.06;20.31;0.0984;0.031120628523826598;67.97;9.0;15.62;31.25;22.66;35.16;39.84;35.94;26.17;31.25;42.97;46.09;46.48;64.84;67.19;67.19;68.75;23.44;0.08758;0.03158814344882965
5;46.88;6.0;12.5;26.56;18.75;30.47;35.16;32.81;22.66;28.12;37.89;41.02;41.02;60.16;62.11;61.72;63.28;21.88;0.1204;0.03019172487258911;67.19;8.0;15.62;31.25;23.44;35.94;39.84;36.72;26.17;31.25;42.58;45.31;46.09;64.06;66.41;66.02;67.58;23.44;0.1037;0.0307540882396698
6;46.09;7.0;12.5;28.12;19.53;31.25;35.94;33.59;22.66;31.25;37.89;40.62;41.02;59.77;61.72;61.33;62.89;21.88;0.1309;0.029459239697456358;66.41;8.0;18.75;32.81;24.22;36.72;40.62;36.72;26.56;34.38;42.58;45.31;45.7;63.67;65.62;65.23;66.8;25.0;0.11448;0.029985813102722168
7;46.09;7.0;12.5;29.69;20.31;32.03;36.72;34.38;23.05;31.25;37.89;40.62;40.62;59.38;60.94;60.94;62.11;23.44;0.1417;0.028748208665847777;66.41;9.0;18.75;32.81;25.0;37.5;41.41;37.5;26.56;34.38;42.58;44.92;45.31;63.28;65.23;64.84;66.41;26.56;0.12742;0.02928095841884613
8;46.09;7.0;12.5;29.69;21.09;33.59;37.5;35.16;23.05;31.25;37.89;40.62;40.62;58.98;60.55;60.16;61.72;25.0;0.1513;0.028171251916885374;65.62;9.0;18.75;34.38;25.78;38.28;41.41;38.28;26.56;37.5;42.58;44.92;44.92;62.89;64.84;64.45;65.62;26.56;0.13904;0.02865830580711365
9;46.09;8.0;15.62;31.25;21.88;34.38;38.28;35.94;23.44;34.38;38.28;40.62;40.62;58.98;60.55;60.16;61.72;25.0;0.1677;0.02758401699066162;65.62;9.0;21.88;34.38;26.56;39.06;42.19;38.28;26.95;37.5;42.58;44.92;44.92;62.5;64.45;64.06;65.23;28.12;0.14832;0.028129578008651734
10;46.09;8.0;15.62;32.81;22.66;35.16;39.06;36.72;23.83;34.38;38.67;41.02;40.62;58.59;60.16;60.16;61.33;26.56;0.1824;0.026994986367225648;65.62;10.0;21.88;34.38;26.56;39.06;42.97;38.28;26.95;37.5;42.58;44.92;44.53;62.11;64.06;63.67;64.84;28.12;0.15896;0.0276262272977829
11;46.09;9.0;15.62;32.81;22.66;35.16;39.06;36.72;24.22;34.38;38.67;41.02;40.62;58.59;60.16;59.77;61.33;26.56;0.1901;0.026524410343170168;65.62;10.0;21.88;35.94;27.34;39.84;42.97;39.06;27.34;37.5;42.97;44.92;44.53;62.11;63.67;63.28;64.45;28.12;0.17022;0.027099138832092286
12;46.09;9.0;15.62;32.81;23.44;35.94;39.84;37.5;24.22;34.38;39.06;41.02;40.62;58.2;60.16;59.77;60.94;26.56;0.2018;0.02600373909473419;64.84;11.0;21.88;35.94;27.34;39.84;43.75;39.06;27.34;37.5;42.97;44.92;44.53;61.72;63.28;62.89;64.45;29.69;0.17914;0.026666461477279663
13;46.09;10.0;18.75;34.38;24.22;36.72;39.84;37.5;24.61;37.5;39.06;41.02;40.62;58.2;59.77;59.38;60.94;28.12;0.2105;0.025757007598876953;64.84;11.0;21.88;37.5;28.12;40.62;43.75;39.84;27.73;37.5;43.36;44.92;44.53;61.72;63.28;62.89;64.06;29.69;0.19058;0.026168965668678285
14;46.88;10.0;18.75;34.38;24.22;37.5;40.62;38.28;25.0;37.5;39.45;41.41;40.62;57.81;59.77;59.38;60.94;28.12;0.2248;0.02498977379798889;64.84;12.0;25.0;37.5;28.12;40.62;43.75;40.62;28.12;40.62;43.36;44.92;44.53;61.33;63.28;62.5;64.06;29.69;0.20396;0.025710256786346437
