;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.032114906826019286;0.0571;0.03153061394691467;0.0815;6.25;15.62;7.81;12.5;4.69;7.03;7.03;5.47;2.34;1.95;1.56;1.17;0.78;0.78;0.78;0.78;1.56;4.0;18.75;43.75;32.81;43.75;22.66;36.72;36.72;31.25;14.06;14.06;10.94;8.2;5.47;4.69;4.3;3.91;19.53;17.0
1;0.028803872752189635;0.10694;0.02897068145275116;0.1113;9.38;21.88;12.5;20.31;7.03;11.72;12.5;9.38;3.52;3.12;2.34;1.56;1.17;1.17;1.17;1.17;3.12;7.0;34.38;50.0;35.94;46.88;22.66;39.06;40.62;33.59;13.67;13.67;10.16;7.42;4.3;3.91;3.91;4.3;16.41;18.0
2;0.02725637095451355;0.13258;0.02681897931098938;0.1457;15.62;28.12;15.62;23.44;8.59;14.84;16.41;13.28;4.69;4.69;3.12;2.34;1.56;1.56;1.56;1.56;3.91;10.0;40.62;50.0;37.5;45.31;22.66;39.84;42.19;35.16;14.06;13.28;9.38;6.25;3.91;3.91;3.52;4.3;14.84;17.0
3;0.02606876555919647;0.1561;0.0260478417634964;0.1623;18.75;28.12;18.75;25.0;10.16;17.97;19.53;16.41;5.86;5.47;3.52;2.34;1.56;1.56;1.56;1.95;4.69;10.0;43.75;46.88;39.06;43.75;23.44;39.06;42.97;35.16;14.84;13.28;8.59;5.86;3.52;3.52;3.12;3.91;13.28;17.0
4;0.025083779683113098;0.17448;0.024366867661476135;0.2016;21.88;31.25;20.31;26.56;10.94;20.31;22.66;18.75;6.64;6.25;4.3;2.73;1.95;1.56;1.17;1.95;4.69;11.0;46.88;46.88;39.06;43.75;23.44;38.28;42.97;36.72;15.23;13.67;8.2;5.08;3.52;3.12;2.73;3.91;12.5;16.0
5;0.02422192903995514;0.19274;0.02448879208564758;0.2072;25.0;31.25;21.88;28.12;11.72;22.66;25.78;21.09;7.42;7.42;4.69;2.73;1.95;1.56;1.17;2.34;4.69;11.0;50.0;43.75;40.62;43.75;24.22;37.5;43.75;36.72;15.62;14.06;7.81;4.69;3.12;3.12;2.34;3.52;10.94;16.0
6;0.023455137128829955;0.21432;0.02378437395095825;0.2247;25.0;31.25;21.88;29.69;12.5;23.44;28.12;23.44;8.59;8.2;5.08;3.12;1.95;1.56;1.17;2.34;4.69;11.0;53.12;43.75;40.62;43.75;24.22;37.5;44.53;36.72;16.02;14.84;7.42;4.3;3.12;2.73;1.95;3.52;9.38;16.0
7;0.022764647340774536;0.23086;0.022915502309799194;0.2376;28.12;31.25;23.44;29.69;13.28;25.78;30.47;25.0;9.38;9.38;5.47;3.12;1.95;1.56;1.17;2.34;4.69;12.0;53.12;40.62;42.19;43.75;24.22;37.5;45.31;36.72;16.8;15.62;7.42;4.3;2.73;2.34;1.56;3.52;8.59;16.0
8;0.022182311344146728;0.2477;0.022357912611961364;0.2606;28.12;31.25;25.0;31.25;14.06;26.56;32.03;26.56;10.16;10.55;5.86;3.12;1.95;1.95;1.17;2.73;4.69;12.0;53.12;40.62;42.19;42.19;25.0;37.5;45.31;37.5;17.58;16.02;7.42;4.3;2.73;2.34;1.56;3.52;7.81;17.0
9;0.021611079988479616;0.26564;0.02236295464038849;0.2549;31.25;31.25;26.56;31.25;14.84;27.34;33.59;28.12;10.94;11.33;6.25;3.52;2.34;1.95;1.17;2.73;4.69;12.0;53.12;37.5;43.75;42.19;25.0;37.5;46.09;37.5;18.36;16.8;7.42;3.91;2.73;2.73;1.17;3.52;7.03;17.0
10;0.021036849613189697;0.2819;0.021462978792190553;0.2874;34.38;31.25;26.56;31.25;14.84;28.91;35.16;28.91;11.72;12.11;6.64;3.52;2.34;1.95;1.17;2.73;4.69;13.0;53.12;37.5;43.75;42.19;25.0;37.5;46.09;37.5;19.14;17.19;7.81;3.91;2.73;2.34;1.17;3.12;7.03;17.0
11;0.020618047819137574;0.29326;0.02083540484905243;0.3024;34.38;31.25;28.12;32.81;15.62;29.69;36.72;30.47;12.5;13.28;7.03;3.52;2.34;1.95;1.17;2.73;4.69;13.0;53.12;37.5;45.31;42.19;25.78;37.5;46.88;38.28;19.53;17.97;7.81;3.91;2.73;2.34;1.17;3.12;6.25;18.0
12;0.020081805047988892;0.3093;0.021193833565711976;0.2973;34.38;31.25;29.69;32.81;16.41;30.47;37.5;31.25;13.28;14.06;7.03;3.52;1.95;1.95;1.17;2.73;4.69;13.0;53.12;34.38;45.31;42.19;25.78;37.5;46.88;38.28;20.31;18.36;8.2;3.91;2.34;2.34;1.17;3.12;6.25;18.0
13;0.019691772317886352;0.3168;0.020868352723121642;0.3146;37.5;31.25;29.69;32.81;17.19;31.25;38.28;32.03;14.06;14.84;7.42;3.91;2.34;1.95;1.17;3.12;5.47;13.0;53.12;34.38;45.31;40.62;25.78;37.5;46.88;38.28;20.7;18.75;8.2;4.3;2.34;2.73;1.17;3.12;6.25;19.0
14;0.018999268722534178;0.34014;0.02018235011100769;0.3319;37.5;31.25;31.25;34.38;17.19;31.25;39.06;32.81;14.45;16.02;7.81;4.3;2.34;2.34;1.17;2.73;5.47;14.0;53.12;34.38;45.31;40.62;26.56;37.5;46.88;39.06;21.48;19.53;8.59;4.3;2.73;2.73;1.17;3.12;6.25;19.0
