;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.1298672131252289;0.0549;0.12112141757011413;0.0821;6.25;12.5;9.38;10.94;4.69;7.03;7.81;7.03;2.73;3.12;2.34;1.95;1.56;1.56;1.56;1.56;3.12;4.0;31.25;50.0;35.94;45.31;29.69;46.09;49.22;45.31;26.95;33.98;31.64;27.73;28.91;28.12;21.88;15.62;39.84;28.0
1;0.11583687611103058;0.10176;0.10890053706169128;0.1387;12.5;25.0;14.06;14.06;6.25;11.72;12.5;10.94;3.91;4.69;4.3;3.52;2.73;1.95;1.95;1.95;4.69;9.0;59.38;62.5;42.19;43.75;26.56;45.31;49.22;42.97;21.48;27.34;25.0;20.31;17.58;13.28;10.55;10.55;31.25;37.0
2;0.10566547107696533;0.14776;0.10543078036308288;0.1573;18.75;28.12;17.19;17.19;8.59;14.84;17.19;14.06;5.86;6.64;5.47;3.91;3.12;2.34;2.34;2.34;7.81;13.0;68.75;62.5;46.88;39.06;26.56;40.62;46.88;42.19;19.92;23.83;21.48;16.41;12.5;9.38;8.2;8.98;29.69;39.0
3;0.09798452365875245;0.1908;0.08848313472270966;0.2478;25.0;31.25;20.31;18.75;9.38;17.19;21.88;17.97;7.03;7.81;6.25;4.3;3.12;2.34;2.34;2.73;8.59;16.0;71.88;59.38;48.44;35.94;26.56;36.72;46.09;41.41;19.14;22.27;19.14;13.67;10.16;6.64;6.25;8.2;27.34;39.0
4;0.09223113518238067;0.22904;0.08390240129232407;0.2815;28.12;34.38;21.88;21.88;10.94;19.53;25.78;21.09;7.42;9.38;7.03;4.3;3.52;2.34;2.34;3.12;9.38;18.0;71.88;59.38;48.44;35.94;26.56;34.38;44.53;41.41;18.75;21.88;17.19;11.33;8.2;5.08;5.08;8.2;25.0;39.0
5;0.08812225378513336;0.2531;0.08156936076879501;0.2991;31.25;34.38;23.44;23.44;11.72;21.09;28.12;23.44;8.2;10.55;7.42;4.69;3.52;2.34;2.34;3.12;10.16;20.0;71.88;56.25;50.0;35.94;26.56;33.59;43.75;41.41;18.75;21.88;15.62;10.16;7.03;3.91;3.91;8.2;23.44;38.0
6;0.08438355718612671;0.28118;0.07949158245325089;0.316;34.38;34.38;23.44;25.0;13.28;22.66;30.47;25.78;8.98;11.72;7.81;4.69;3.52;1.95;1.95;3.52;10.16;21.0;68.75;56.25;50.0;35.94;26.56;32.81;43.75;41.41;19.53;21.09;14.45;8.59;5.86;2.73;3.12;8.2;21.88;37.0
7;0.0813265188908577;0.30206;0.07704600188732147;0.3328;37.5;37.5;25.0;26.56;14.06;24.22;32.03;28.12;10.16;12.5;8.2;4.69;3.52;1.95;1.95;3.52;10.16;21.0;68.75;53.12;50.0;35.94;27.34;32.81;43.75;41.41;19.92;21.09;14.06;7.81;5.47;2.34;2.34;7.81;20.31;37.0
8;0.07848471207857131;0.31946;0.07715060532093049;0.329;37.5;37.5;26.56;26.56;14.84;25.0;33.59;29.69;10.94;13.28;8.59;4.69;3.52;1.95;1.95;3.91;9.38;22.0;68.75;53.12;50.0;35.94;27.34;32.81;42.97;41.41;20.7;20.7;13.67;7.42;4.69;1.95;1.95;7.81;18.75;36.0
9;0.07632839601755143;0.33754;0.07353607391119003;0.3697;40.62;34.38;28.12;28.12;15.62;25.78;34.38;31.25;11.33;13.67;8.98;4.69;3.52;1.95;1.95;3.91;9.38;22.0;65.62;50.0;50.0;35.94;28.12;33.59;42.97;42.19;21.09;20.7;13.28;6.64;4.3;1.95;1.95;7.03;17.19;36.0
