;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5263553019142151;0.05348;0.47493074486255643;0.1026;6.25;15.62;9.38;15.62;7.03;16.41;17.97;19.53;9.77;21.09;21.09;19.14;34.77;28.12;15.62;14.06;4.69;5.0;34.38;50.0;35.94;46.88;33.59;48.44;46.09;43.75;28.91;45.7;46.48;45.31;60.94;61.33;56.25;59.77;60.16;28.0
1;0.48099716937065123;0.1004;0.43566435661315916;0.1547;9.38;25.0;15.62;21.88;10.94;23.44;24.22;25.78;12.89;27.34;26.17;23.83;37.5;30.47;17.58;14.84;8.59;10.0;50.0;56.25;40.62;46.88;34.38;52.34;49.22;46.09;31.25;48.05;46.88;44.53;58.59;56.64;50.0;53.91;52.34;30.0
2;0.45190801553726195;0.13522;0.4035340146183968;0.1964;12.5;31.25;20.31;25.0;13.28;28.91;28.12;28.91;14.84;30.47;29.3;26.56;39.45;31.25;17.58;15.23;12.5;14.0;59.38;59.38;42.19;43.75;34.38;54.69;50.78;47.66;33.2;49.61;47.27;44.53;56.64;53.52;45.31;49.22;47.66;32.0
3;0.4267894543671608;0.16834;0.37122734583616257;0.2456;18.75;37.5;21.88;26.56;14.84;32.03;31.25;32.81;16.8;33.2;31.64;28.12;40.23;30.86;16.8;15.23;15.62;16.0;65.62;59.38;43.75;40.62;34.38;55.47;51.56;49.22;34.77;51.17;48.05;44.53;55.47;50.39;41.8;45.7;46.09;33.0
4;0.403731059551239;0.1984;0.34478013142347336;0.2856;21.88;40.62;25.0;28.12;16.41;34.38;34.38;35.94;18.36;35.55;33.98;30.08;41.02;30.86;16.41;15.23;18.75;19.0;65.62;59.38;45.31;39.06;35.16;55.47;52.34;50.78;36.72;52.73;49.22;44.92;54.69;48.44;38.67;42.58;45.31;33.0
5;0.3841415398287773;0.22974;0.33097508670687675;0.3079;25.0;40.62;26.56;28.12;17.19;36.72;36.72;37.5;20.31;37.89;35.94;31.25;41.8;31.25;16.41;15.23;21.09;20.0;68.75;56.25;46.88;37.5;35.94;54.69;52.34;51.56;38.28;54.3;50.39;45.7;54.3;47.27;35.94;40.23;45.31;33.0
6;0.36597011011838915;0.25712;0.310013508439064;0.3414;25.0;40.62;28.12;28.12;17.97;38.28;38.28;39.84;21.48;39.84;37.5;32.81;42.58;31.25;16.02;15.62;23.44;21.0;68.75;56.25;46.88;35.94;35.16;54.69;53.12;52.34;39.84;55.47;51.56;46.48;53.91;46.09;33.59;38.28;45.31;34.0
7;0.35388439101219177;0.27902;0.3006797235429287;0.3598;28.12;40.62;28.12;28.12;18.75;39.06;39.84;41.41;22.66;41.41;39.06;33.98;42.58;31.25;15.62;15.62;25.0;22.0;68.75;53.12;46.88;35.94;35.94;53.91;53.12;53.91;41.41;57.03;52.73;47.27;53.52;44.92;31.64;36.33;45.31;34.0
8;0.34085772416114807;0.30294;0.2800056870698929;0.4009;31.25;43.75;29.69;28.12;18.75;39.84;41.41;42.97;23.83;42.97;40.62;35.16;42.19;30.86;15.23;15.62;26.56;23.0;68.75;53.12;48.44;34.38;35.16;53.12;53.12;54.69;42.58;58.2;53.52;48.44;52.73;43.36;29.3;34.77;45.31;34.0
9;0.33002194439291954;0.31782;0.2746719533383846;0.4056;31.25;43.75;31.25;28.12;19.53;39.84;42.19;44.53;25.0;44.53;41.8;36.33;42.19;30.47;14.84;15.23;27.34;23.0;68.75;53.12;48.44;34.38;35.16;52.34;52.34;54.69;43.75;58.98;54.3;49.22;51.95;42.19;27.34;33.2;45.31;34.0
10;0.3210231671357155;0.33442;0.26927318000793454;0.4159;34.38;43.75;32.81;29.69;19.53;39.84;42.19;45.31;25.78;45.7;42.97;37.5;41.8;30.47;14.45;15.62;28.91;23.0;68.75;53.12;48.44;32.81;35.16;50.78;52.34;55.47;44.92;59.77;55.08;50.0;51.17;41.02;25.78;31.64;44.53;34.0
11;0.3129962930762768;0.34784;0.268792275172472;0.4226;37.5;43.75;32.81;29.69;20.31;39.84;42.97;46.09;26.56;46.88;43.75;38.67;41.8;29.69;14.06;15.62;29.69;24.0;68.75;50.0;50.0;32.81;34.38;50.0;51.56;56.25;45.7;60.55;55.86;50.78;50.39;40.23;24.61;30.47;44.53;34.0
12;0.3045060185956955;0.3626;0.25239573442339897;0.449;37.5;43.75;34.38;29.69;21.09;40.62;42.97;46.88;27.34;47.66;44.53;39.45;41.41;29.3;13.67;15.62;30.47;24.0;68.75;50.0;50.0;32.81;34.38;49.22;51.56;56.25;46.48;60.94;56.25;51.56;50.0;39.06;23.05;29.69;44.53;34.0
13;0.2971815302503109;0.37686;0.25732534400820734;0.4453;40.62;43.75;34.38;29.69;21.09;40.62;43.75;47.66;28.12;48.44;45.7;40.23;41.02;29.3;13.67;15.62;30.47;24.0;68.75;50.0;50.0;32.81;34.38;48.44;51.56;56.25;47.27;61.33;57.03;52.34;49.22;38.28;21.48;28.52;44.53;34.0
14;0.2910826149559021;0.38776;0.2461061395049095;0.4663;40.62;40.62;34.38;29.69;21.88;40.62;43.75;47.66;28.91;49.22;46.48;41.02;41.02;28.91;13.28;15.62;31.25;24.0;68.75;46.88;50.0;32.81;34.38;47.66;50.78;56.25;48.05;61.72;57.42;52.73;48.83;37.11;20.31;27.73;45.31;34.0
15;0.2837562341630459;0.40018;0.2445256719112396;0.4662;40.62;40.62;35.94;31.25;22.66;40.62;43.75;48.44;29.3;50.0;47.27;41.8;40.62;28.52;12.89;15.62;32.03;24.0;68.75;46.88;50.0;32.81;34.38;46.88;50.0;56.25;48.83;62.11;57.81;53.52;48.05;36.33;19.53;26.95;45.31;34.0
16;0.27752269627094267;0.40764;0.242734965467453;0.473;40.62;40.62;35.94;31.25;22.66;40.62;43.75;49.22;30.08;50.78;47.66;42.58;40.23;28.52;12.89;15.62;32.03;24.0;68.75;43.75;50.0;32.81;34.38;46.09;50.0;56.25;49.22;62.5;58.2;53.91;47.27;35.94;18.36;26.17;45.31;34.0
17;0.2716291483080387;0.41934;0.23317710934877395;0.4868;40.62;40.62;35.94;31.25;23.44;39.84;43.75;50.0;30.47;51.17;48.44;43.36;40.23;28.52;12.89;15.62;32.03;24.0;68.75;43.75;50.0;32.81;34.38;45.31;50.0;56.25;49.61;62.89;58.2;54.69;46.88;35.16;17.58;25.39;45.31;34.0
18;0.266625857077837;0.43106;0.2292275587707758;0.5001;40.62;40.62;37.5;31.25;23.44;39.84;43.75;50.0;31.25;51.95;48.83;44.14;39.45;28.12;12.5;16.02;32.81;24.0;68.75;43.75;50.0;32.81;34.38;45.31;49.22;56.25;50.39;63.28;58.59;55.08;46.09;34.77;16.8;24.61;45.31;34.0
19;0.2621580236828327;0.44058;0.22702410901784897;0.5037;43.75;40.62;37.5;31.25;24.22;39.84;44.53;50.78;31.64;52.34;49.22;44.92;39.06;28.12;12.5;16.02;32.81;24.0;68.75;43.75;50.0;32.81;34.38;44.53;48.44;56.25;50.78;63.28;58.59;55.47;45.31;33.98;16.02;24.22;45.31;34.0
20;0.2566921862614155;0.4494;0.22483994871377944;0.5019;43.75;40.62;37.5;31.25;24.22;39.84;44.53;50.78;32.03;52.73;49.22;45.31;38.67;27.73;12.11;16.02;32.81;24.0;68.75;40.62;50.0;32.81;34.38;43.75;48.44;56.25;51.17;63.28;58.59;56.25;44.53;33.59;15.62;23.44;45.31;34.0
21;0.2532384592533112;0.45494;0.22382917072176933;0.5113;43.75;37.5;37.5;31.25;25.0;39.84;44.53;50.78;32.42;53.12;49.61;46.09;38.28;27.73;12.11;16.02;32.81;24.0;65.62;40.62;50.0;32.81;33.59;43.75;48.44;56.25;51.56;63.67;58.59;56.64;44.14;33.2;15.23;23.05;45.31;34.0
22;0.2478829543209076;0.4695;0.21744482298493387;0.5232;43.75;37.5;39.06;31.25;25.0;39.84;44.53;51.56;32.81;53.52;49.61;46.48;37.89;27.34;12.11;16.41;33.59;24.0;65.62;40.62;50.0;32.81;33.59;42.97;47.66;55.47;51.56;63.67;58.59;57.03;43.36;32.81;14.84;22.66;45.31;34.0
23;0.24398484689116479;0.47318;0.22024506211280823;0.5135;43.75;37.5;39.06;32.81;25.0;39.84;44.53;51.56;33.59;53.91;50.0;47.27;37.11;27.34;12.11;16.41;33.59;24.0;65.62;40.62;50.0;32.81;33.59;42.97;47.66;55.47;51.95;63.67;58.59;57.42;42.58;32.42;14.45;22.27;45.31;34.0
24;0.23924636489272116;0.48574;0.21865128829479216;0.5218;43.75;37.5;39.06;32.81;25.78;39.84;44.53;51.56;33.98;54.3;50.39;47.66;36.72;27.34;12.11;16.41;33.59;24.0;65.62;40.62;50.0;32.81;33.59;42.19;47.66;55.47;52.34;63.67;58.59;57.81;41.8;32.03;14.06;21.88;45.31;34.0
