;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.005453490597009659;0.5335;0.005441329449415207;0.5735;12.5;18.75;15.62;25.0;10.94;26.56;25.0;20.31;18.75;42.19;46.09;49.22;63.28;64.06;61.72;59.38;68.75;50.0;12.5;18.75;15.62;28.12;15.62;32.81;28.12;23.44;22.66;49.22;53.91;57.81;70.31;71.88;72.66;71.88;81.25;50.0
1;0.005267253118753433;0.5934;0.005179632902145386;0.6295;12.5;25.0;18.75;28.12;12.5;29.69;28.12;21.88;19.53;41.41;45.31;48.44;64.06;62.5;60.94;56.25;54.69;50.0;12.5;25.0;15.62;31.25;18.75;35.94;31.25;25.0;24.22;48.44;53.12;56.25;69.53;70.31;69.53;68.75;76.56;50.0
2;0.00512438223361969;0.6244;0.0049135337173938755;0.6625;12.5;25.0;18.75;31.25;15.62;32.81;31.25;25.0;20.31;41.41;44.53;46.88;62.5;59.38;55.47;49.22;42.19;0.0;12.5;25.0;18.75;34.38;20.31;39.06;34.38;28.12;25.78;48.44;52.34;54.69;67.97;67.97;67.19;64.06;71.88;50.0
3;0.004804185444116592;0.6664;0.004756689310073853;0.6815;12.5;31.25;21.88;34.38;17.19;35.94;32.81;26.56;20.31;41.41;42.97;43.75;58.59;53.91;47.66;37.5;23.44;0.0;18.75;25.0;21.88;37.5;21.88;40.62;35.94;29.69;26.56;48.44;51.56;53.12;65.62;64.84;64.06;59.38;64.06;50.0
4;0.004434530761837959;0.705;0.004464131087064743;0.701;12.5;31.25;21.88;37.5;18.75;37.5;34.38;28.12;21.09;41.41;42.19;41.41;56.25;50.0;42.97;31.25;17.19;0.0;18.75;31.25;21.88;37.5;23.44;43.75;37.5;31.25;27.34;48.44;50.78;51.56;64.06;61.72;60.94;54.69;57.81;0.0
5;0.004322899806499482;0.7163;0.00439517916738987;0.7345;18.75;31.25;25.0;37.5;18.75;39.06;34.38;29.69;21.09;40.62;39.84;38.28;53.12;46.09;39.06;25.0;14.06;0.0;18.75;31.25;21.88;40.62;25.0;45.31;39.06;32.81;28.12;48.44;50.0;50.0;62.5;59.38;57.03;49.22;53.12;0.0
6;0.004108649897575378;0.7375;0.004277634963393211;0.736;18.75;31.25;25.0;40.62;20.31;40.62;35.94;29.69;21.09;40.62;38.28;35.94;50.78;43.75;36.72;21.88;14.06;0.0;18.75;31.25;25.0;43.75;26.56;46.88;39.06;34.38;28.12;47.66;48.44;47.66;60.16;57.03;54.69;45.31;48.44;0.0
7;0.004031262204051018;0.7461;0.004464762076735496;0.7185;18.75;37.5;25.0;40.62;20.31;40.62;35.94;29.69;21.09;38.28;35.94;32.81;46.88;39.84;32.03;17.19;12.5;0.0;18.75;37.5;25.0;43.75;26.56;46.88;40.62;34.38;28.12;47.66;46.88;46.09;57.81;54.69;51.56;41.41;45.31;0.0
8;0.0038429012835025787;0.7594;0.0038025824278593062;0.7625;18.75;37.5;25.0;40.62;21.88;42.19;35.94;31.25;21.09;37.5;34.38;31.25;45.31;38.28;30.47;15.62;12.5;0.0;18.75;37.5;25.0;43.75;28.12;48.44;42.19;34.38;28.12;46.88;46.09;43.75;56.25;52.34;49.22;36.72;42.19;0.0
9;0.0036806781202554702;0.7739;0.0038700445145368576;0.7545;18.75;37.5;28.12;43.75;21.88;43.75;37.5;31.25;21.09;36.72;32.81;28.91;42.19;35.16;27.34;13.28;12.5;0.0;18.75;37.5;28.12;46.88;28.12;50.0;42.19;35.94;28.12;46.09;44.53;41.41;53.91;50.0;46.09;32.81;40.62;0.0
