;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.02047295008301735;0.6104;0.019954280138015746;0.635;12.5;18.75;12.5;21.88;10.94;17.19;18.75;15.62;7.81;7.03;4.69;3.12;4.69;1.56;1.56;0.78;1.56;0.0;25.0;37.5;31.25;46.88;32.81;42.19;45.31;42.19;28.12;33.59;32.03;25.78;32.81;17.97;14.84;11.72;40.62;50.0
1;0.018028298023343086;0.7008;0.016234580531716346;0.7355;18.75;25.0;18.75;31.25;14.06;18.75;17.19;15.62;5.47;4.69;3.91;3.91;4.69;2.34;2.34;1.56;3.12;0.0;43.75;43.75;37.5;53.12;37.5;45.31;45.31;43.75;22.66;25.0;21.88;20.31;26.56;16.41;14.06;11.72;28.12;0.0
2;0.016191635236144065;0.7424;0.015118090271949767;0.7635;25.0;31.25;25.0;34.38;15.62;21.88;18.75;17.19;5.47;4.69;4.69;4.69;5.47;3.12;3.12;2.34;4.69;0.0;56.25;43.75;43.75;56.25;39.06;46.88;45.31;43.75;18.75;18.75;16.41;18.75;24.22;16.41;15.62;12.5;23.44;0.0
3;0.015405286705493928;0.7535;0.01480764327943325;0.7785;37.5;31.25;25.0;34.38;17.19;23.44;20.31;18.75;5.47;4.69;4.69;5.47;6.25;3.91;3.91;3.12;4.69;0.0;62.5;43.75;46.88;56.25;39.06;48.44;43.75;43.75;15.62;15.62;14.84;18.75;24.22;17.19;17.19;13.28;18.75;0.0
4;0.014660041797161103;0.7688;0.013961023300886154;0.7965;37.5;31.25;31.25;34.38;18.75;25.0;21.88;18.75;5.47;5.47;5.47;6.25;7.03;4.69;4.69;3.91;4.69;0.0;68.75;43.75;46.88;53.12;40.62;46.88;43.75;42.19;14.06;13.28;13.28;19.53;23.44;15.62;16.41;12.5;17.19;0.0
5;0.014120891232788563;0.7844;0.012987065747380257;0.801;43.75;37.5;34.38;34.38;18.75;25.0;21.88;20.31;6.25;5.47;5.47;7.03;7.03;4.69;5.47;3.91;4.69;0.0;75.0;43.75;50.0;50.0;40.62;45.31;43.75;42.19;13.28;12.5;12.5;19.53;22.66;14.06;15.62;11.72;14.06;0.0
6;0.013724619652330875;0.7904;0.014503796830773354;0.7745;50.0;37.5;37.5;34.38;20.31;26.56;23.44;20.31;6.25;5.47;6.25;7.81;7.81;5.47;5.47;4.69;6.25;0.0;75.0;43.75;50.0;46.88;42.19;45.31;43.75;40.62;12.5;10.94;11.72;18.75;22.66;13.28;15.62;11.72;12.5;0.0
7;0.013305941967666149;0.8018;0.013837416023015976;0.795;56.25;37.5;37.5;34.38;21.88;28.12;23.44;21.88;6.25;6.25;6.25;8.59;8.59;5.47;6.25;4.69;6.25;0.0;75.0;43.75;50.0;46.88;42.19;45.31;42.19;40.62;11.72;10.16;10.94;18.75;21.88;12.5;15.62;11.72;12.5;0.0
8;0.012982412219047546;0.8078;0.01295759355276823;0.809;56.25;37.5;40.62;34.38;21.88;28.12;25.0;23.44;6.25;6.25;6.25;8.59;8.59;6.25;7.03;5.47;6.25;0.0;75.0;43.75;53.12;43.75;42.19;45.31;42.19;40.62;10.94;9.38;10.16;18.75;21.88;12.5;16.41;10.94;10.94;0.0
9;0.012521072021126747;0.8124;0.012107829242944717;0.826;56.25;37.5;40.62;34.38;23.44;29.69;26.56;23.44;7.03;6.25;7.03;9.38;9.38;6.25;7.03;5.47;4.69;0.0;75.0;43.75;56.25;43.75;42.19;43.75;40.62;40.62;10.94;9.38;10.16;18.75;20.31;11.72;16.41;10.94;10.94;0.0
10;0.012382589954137803;0.8183;0.011991443194448947;0.825;62.5;37.5;40.62;34.38;25.0;29.69;26.56;25.0;7.03;6.25;7.03;9.38;10.16;6.25;7.03;5.47;4.69;0.0;75.0;43.75;56.25;43.75;42.19;43.75;40.62;40.62;10.94;9.38;10.16;18.75;19.53;10.94;16.41;10.94;9.38;0.0
11;0.011809989787638187;0.8268;0.012691344439983368;0.8235;62.5;37.5;43.75;34.38;25.0;29.69;26.56;25.0;7.03;6.25;7.03;10.16;10.16;6.25;7.81;5.47;4.69;0.0;75.0;37.5;56.25;40.62;42.19;42.19;40.62;40.62;10.94;8.59;10.16;17.97;17.97;10.94;16.41;10.94;9.38;0.0
12;0.011568235477805137;0.8317;0.011520103581249714;0.842;62.5;37.5;43.75;34.38;26.56;29.69;28.12;25.0;7.81;6.25;7.03;10.16;10.16;6.25;7.81;6.25;4.69;0.0;75.0;37.5;56.25;40.62;42.19;42.19;40.62;39.06;10.94;9.38;10.16;17.97;17.19;10.16;15.62;10.16;7.81;0.0
13;0.011431162583827972;0.8351;0.011542783111333848;0.831;62.5;37.5;43.75;34.38;26.56;29.69;28.12;26.56;7.81;7.03;7.03;10.94;10.16;7.03;7.81;6.25;4.69;0.0;75.0;37.5;56.25;40.62;42.19;40.62;39.06;39.06;10.94;9.38;9.38;17.97;17.19;10.16;15.62;10.16;7.81;0.0
14;0.01113725951462984;0.8381;0.012406516375020146;0.827;62.5;37.5;46.88;34.38;28.12;31.25;28.12;26.56;7.81;6.25;7.03;10.94;10.16;7.03;8.59;6.25;4.69;0.0;75.0;37.5;59.38;40.62;43.75;40.62;39.06;39.06;10.94;8.59;9.38;17.97;16.41;10.16;15.62;10.16;7.81;0.0
15;0.0107158481746912;0.8475;0.013022976074367762;0.811;62.5;37.5;46.88;34.38;29.69;31.25;28.12;28.12;7.81;7.03;7.03;11.72;10.94;7.03;8.59;6.25;4.69;0.0;75.0;37.5;59.38;40.62;43.75;39.06;39.06;39.06;10.94;8.59;9.38;17.97;16.41;10.16;15.62;10.16;6.25;0.0
16;0.01078949321359396;0.8489;0.011771594464778901;0.8395;62.5;37.5;46.88;37.5;29.69;31.25;29.69;28.12;7.81;7.03;7.03;11.72;10.16;7.03;8.59;6.25;3.12;0.0;75.0;37.5;59.38;40.62;43.75;39.06;39.06;39.06;10.94;8.59;9.38;17.97;15.62;10.16;14.84;10.16;6.25;0.0
17;0.010414224426448345;0.8524;0.01116230645030737;0.8415;62.5;37.5;46.88;34.38;29.69;31.25;29.69;29.69;7.81;7.03;7.03;11.72;10.16;7.03;8.59;6.25;3.12;0.0;75.0;37.5;59.38;40.62;43.75;37.5;39.06;39.06;10.16;8.59;8.59;17.19;14.84;9.38;14.06;9.38;6.25;0.0
18;0.010341746410727501;0.8497;0.011169468320906163;0.8365;62.5;37.5;50.0;37.5;31.25;31.25;29.69;29.69;7.81;7.03;7.03;11.72;10.16;7.03;8.59;7.03;3.12;0.0;75.0;37.5;59.38;40.62;43.75;37.5;39.06;39.06;10.16;8.59;8.59;17.19;14.06;9.38;14.06;9.38;4.69;0.0
19;0.009844598450511693;0.8626;0.011988807141780853;0.8295;68.75;37.5;50.0;37.5;31.25;31.25;31.25;29.69;8.59;7.03;7.03;12.5;10.16;7.03;8.59;7.03;3.12;0.0;75.0;37.5;59.38;37.5;43.75;37.5;39.06;37.5;10.16;7.81;8.59;17.19;14.06;9.38;13.28;9.38;4.69;0.0
