;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_features-7;training_accuracy;training_loss
0;64.06;50.0;12.5;25.0;12.5;26.56;26.56;23.44;21.88;18.75;32.03;37.5;40.62;60.16;62.5;57.03;57.81;12.5;0.5385;0.0013861191868782044;82.81;50.0;12.5;31.25;15.62;34.38;35.94;28.12;24.22;25.0;50.78;50.0;53.91;70.31;78.12;75.78;76.56;15.62;0.5096;0.0013851489126682282
1;79.69;50.0;12.5;28.12;14.06;29.69;31.25;26.56;24.22;25.0;44.53;47.66;50.78;68.75;75.0;71.88;72.66;12.5;0.531;0.0013847858905792236;82.81;50.0;12.5;31.25;15.62;34.38;35.94;28.12;24.22;25.0;50.78;50.0;53.91;71.09;78.12;76.56;77.34;15.62;0.5153;0.0013836931049823762
2;81.25;50.0;12.5;28.12;14.06;31.25;31.25;26.56;24.22;25.0;46.09;48.44;52.34;68.75;75.78;73.44;74.22;12.5;0.538;0.0013817459642887116;84.38;50.0;12.5;31.25;15.62;34.38;35.94;28.12;25.0;25.0;51.56;50.0;53.91;71.09;78.12;76.56;77.34;15.62;0.5167;0.0013822774231433868
3;81.25;50.0;12.5;28.12;14.06;31.25;31.25;26.56;23.44;25.0;46.88;48.44;52.34;68.75;76.56;73.44;75.0;12.5;0.5495;0.0013781063854694366;84.38;50.0;12.5;31.25;15.62;34.38;35.94;28.12;25.0;25.0;51.56;50.0;54.69;71.09;78.12;76.56;77.34;15.62;0.5322;0.001380727881193161
4;81.25;50.0;12.5;28.12;14.06;31.25;31.25;26.56;23.44;25.0;46.88;48.44;52.34;69.53;76.56;74.22;75.0;12.5;0.555;0.001375347375869751;84.38;50.0;12.5;31.25;15.62;34.38;35.94;28.12;25.0;25.0;51.56;50.0;54.69;71.09;78.12;76.56;77.34;15.62;0.5393;0.001378619408607483
5;81.25;50.0;12.5;28.12;14.06;31.25;32.81;26.56;23.44;25.0;46.88;48.44;52.34;69.53;77.34;74.22;75.0;12.5;0.556;0.0013734070658683777;84.38;50.0;12.5;31.25;15.62;34.38;35.94;28.12;25.0;25.0;51.56;50.0;53.91;71.09;78.12;76.56;77.34;15.62;0.5435;0.0013766573607921601
6;81.25;50.0;12.5;28.12;14.06;31.25;32.81;26.56;23.44;25.0;47.66;49.22;52.34;69.53;77.34;74.22;75.78;12.5;0.5585;0.001370829939842224;84.38;50.0;12.5;31.25;15.62;34.38;35.94;28.12;25.0;25.0;51.56;50.0;53.91;71.09;78.12;76.56;77.34;15.62;0.5508;0.0013739346206188203
7;81.25;50.0;12.5;28.12;14.06;31.25;32.81;26.56;24.22;25.0;47.66;49.22;53.12;69.53;77.34;74.22;75.78;15.62;0.577;0.001367284119129181;84.38;50.0;12.5;31.25;15.62;34.38;35.94;28.12;25.0;25.0;51.56;50.0;53.91;71.09;78.12;76.56;77.34;15.62;0.5447;0.0013731958329677582
8;81.25;50.0;12.5;28.12;14.06;31.25;32.81;26.56;24.22;25.0;47.66;49.22;53.12;69.53;77.34;74.22;75.78;15.62;0.572;0.0013621694445610046;82.81;50.0;12.5;31.25;15.62;34.38;35.94;28.12;25.0;25.0;51.56;50.0;53.91;71.09;78.12;76.56;77.34;15.62;0.5528;0.0013686843693256378
9;81.25;50.0;12.5;28.12;14.06;31.25;32.81;26.56;24.22;25.0;47.66;49.22;53.12;69.53;77.34;75.0;75.78;15.62;0.5795;0.0013542166650295257;82.81;50.0;12.5;31.25;15.62;34.38;35.94;28.12;25.0;25.0;51.56;50.0;53.91;71.09;78.12;76.56;77.34;15.62;0.5593;0.001368676519393921
10;81.25;50.0;12.5;28.12;14.06;31.25;32.81;26.56;24.22;25.0;47.66;49.22;53.12;70.31;77.34;75.0;75.78;15.62;0.595;0.0013477853536605835;82.81;50.0;12.5;31.25;15.62;34.38;35.94;28.12;25.0;25.0;51.56;50.0;53.91;71.09;78.12;76.56;77.34;15.62;0.564;0.0013608385324478149
11;81.25;50.0;12.5;28.12;14.06;31.25;32.81;26.56;24.22;25.0;47.66;49.22;53.12;70.31;77.34;75.0;75.78;15.62;0.5975;0.0013419170677661896;82.81;50.0;12.5;31.25;15.62;34.38;35.94;28.12;25.0;25.0;50.78;50.0;53.91;71.09;78.12;76.56;77.34;15.62;0.5724;0.0013595999240875243
12;81.25;50.0;12.5;28.12;14.06;31.25;32.81;26.56;24.22;25.0;47.66;49.22;53.12;70.31;77.34;75.0;75.78;15.62;0.587;0.0013397206664085388;82.81;50.0;12.5;31.25;17.19;34.38;35.94;28.12;25.0;25.0;50.78;50.0;53.91;71.09;78.12;76.56;77.34;15.62;0.5693;0.00135438551902771
13;81.25;50.0;12.5;28.12;14.06;31.25;32.81;26.56;24.22;25.0;47.66;49.22;53.12;70.31;77.34;75.0;75.78;15.62;0.608;0.001331709384918213;82.81;50.0;12.5;31.25;17.19;34.38;35.94;28.12;25.0;25.0;50.78;50.0;53.91;71.09;78.12;75.78;76.56;15.62;0.5745;0.0013526278614997863
14;81.25;50.0;12.5;28.12;14.06;31.25;32.81;26.56;24.22;25.0;47.66;49.22;53.12;70.31;77.34;75.0;75.78;15.62;0.6075;0.0013277882039546965;82.81;50.0;12.5;31.25;17.19;35.94;35.94;28.12;25.0;25.0;50.78;50.0;53.91;71.09;78.12;75.78;76.56;15.62;0.5792;0.0013497721195220946
15;81.25;50.0;12.5;28.12;14.06;31.25;32.81;26.56;24.22;25.0;47.66;49.22;53.12;70.31;77.34;75.0;75.78;15.62;0.5965;0.001322294145822525;82.81;50.0;12.5;31.25;17.19;35.94;35.94;28.12;25.0;25.0;50.78;50.0;53.91;71.09;78.12;75.78;76.56;15.62;0.5847;0.0013429344415664673
16;81.25;50.0;12.5;28.12;14.06;31.25;32.81;26.56;24.22;25.0;48.44;49.22;53.12;70.31;77.34;75.0;75.78;15.62;0.5985;0.0013183727264404297;82.81;50.0;12.5;31.25;17.19;35.94;35.94;28.12;25.0;25.0;50.78;50.0;53.91;71.09;78.12;75.78;76.56;15.62;0.5879;0.0013383077263832092
17;81.25;50.0;12.5;28.12;14.06;32.81;32.81;28.12;24.22;25.0;48.44;49.22;53.12;70.31;77.34;75.0;75.78;15.62;0.6115;0.001307824581861496;82.81;50.0;12.5;31.25;17.19;35.94;35.94;28.12;25.0;25.0;50.78;50.0;53.91;71.09;78.12;75.78;76.56;15.62;0.5913;0.0013388933181762695
18;81.25;50.0;12.5;28.12;15.62;32.81;32.81;28.12;24.22;25.0;48.44;49.22;53.12;70.31;77.34;75.0;75.78;15.62;0.611;0.0013073439300060271;82.81;50.0;12.5;31.25;17.19;35.94;35.94;29.69;25.78;25.0;50.78;50.0;53.91;71.09;78.12;75.78;76.56;15.62;0.5977;0.0013291279137134552
19;81.25;50.0;12.5;28.12;15.62;32.81;32.81;28.12;25.0;25.0;48.44;49.22;53.12;70.31;77.34;75.0;75.78;15.62;0.621;0.0012992664277553558;82.81;50.0;12.5;31.25;17.19;35.94;35.94;29.69;25.78;25.0;50.78;50.0;53.91;71.09;78.12;75.78;76.56;15.62;0.5996;0.001327922934293747
