;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.001385800713300705;0.5013;0.0013859019875526429;0.5175;12.5;12.5;12.5;18.75;10.94;20.31;25.0;28.12;21.88;42.19;42.97;50.0;62.5;69.53;65.62;61.72;60.94;50.0;12.5;12.5;18.75;25.0;14.06;29.69;32.81;35.94;25.78;53.12;53.12;60.16;72.66;80.47;79.69;78.12;84.38;50.0
1;0.0013748025834560394;0.5398;0.0013680974543094635;0.587;12.5;12.5;15.62;18.75;12.5;21.88;26.56;31.25;23.44;46.88;47.66;55.47;68.75;77.34;75.78;74.22;78.12;50.0;18.75;12.5;18.75;25.0;17.19;29.69;32.81;35.94;26.56;53.12;53.12;60.16;72.66;81.25;79.69;78.91;84.38;50.0
2;0.0013544279515743255;0.5707;0.0013642880916595458;0.5615;18.75;18.75;18.75;21.88;15.62;26.56;29.69;34.38;25.0;49.22;49.22;56.25;70.31;78.91;77.34;75.78;79.69;50.0;25.0;18.75;21.88;28.12;18.75;32.81;34.38;37.5;27.34;53.91;53.91;60.16;72.66;80.47;79.69;78.91;84.38;50.0
3;0.0013436538100242614;0.5875;0.0013176490664482117;0.605;18.75;25.0;21.88;25.0;17.19;29.69;32.81;37.5;25.78;50.78;50.0;57.03;71.09;78.91;77.34;76.56;78.12;50.0;25.0;18.75;25.0;31.25;21.88;34.38;37.5;39.06;28.91;53.91;53.91;60.94;72.66;80.47;79.69;78.12;84.38;50.0
4;0.0013221685588359832;0.6051;0.0012981678545475007;0.6075;18.75;25.0;25.0;28.12;18.75;31.25;34.38;39.06;26.56;50.78;50.78;57.81;71.09;78.91;77.34;76.56;76.56;50.0;25.0;25.0;28.12;31.25;21.88;35.94;37.5;40.62;28.91;53.91;53.91;60.16;72.66;80.47;79.69;78.12;82.81;50.0
5;0.0013121612668037415;0.6128;0.0012940819561481475;0.6025;18.75;25.0;25.0;28.12;18.75;31.25;34.38;39.06;26.56;50.78;50.78;58.59;71.09;78.91;77.34;75.78;75.0;50.0;25.0;25.0;28.12;31.25;23.44;35.94;37.5;40.62;28.91;53.91;53.91;60.16;72.66;80.47;78.91;78.12;82.81;50.0
6;0.001306540858745575;0.6134;0.0012949047088623047;0.6105;18.75;25.0;25.0;28.12;18.75;31.25;34.38;39.06;25.78;50.78;50.78;58.59;71.09;78.91;76.56;75.78;73.44;50.0;25.0;25.0;28.12;31.25;21.88;35.94;37.5;40.62;28.91;53.12;53.91;60.16;72.66;79.69;78.91;77.34;81.25;50.0
7;0.0013050124883651733;0.6157;0.0012900381684303284;0.6195;18.75;25.0;25.0;28.12;18.75;31.25;34.38;37.5;25.78;50.78;50.78;57.81;70.31;78.91;76.56;75.78;73.44;50.0;25.0;25.0;28.12;31.25;21.88;35.94;37.5;40.62;28.12;53.12;53.91;60.16;71.88;79.69;78.12;77.34;81.25;50.0
8;0.0013047742426395416;0.6176;0.0012871023118495941;0.6155;18.75;25.0;25.0;28.12;18.75;29.69;34.38;37.5;25.78;50.0;50.78;57.81;70.31;78.12;76.56;75.0;71.88;50.0;18.75;25.0;28.12;31.25;21.88;34.38;37.5;40.62;28.12;53.12;53.12;60.16;71.88;79.69;78.12;77.34;79.69;50.0
9;0.0012954461753368377;0.6253;0.0012869823873043061;0.619;18.75;25.0;25.0;28.12;18.75;29.69;34.38;37.5;25.78;50.0;50.78;57.81;70.31;78.12;76.56;75.0;71.88;50.0;18.75;25.0;28.12;31.25;21.88;34.38;37.5;39.06;28.12;53.12;53.12;59.38;71.88;79.69;78.12;76.56;79.69;50.0
10;0.0012986970961093903;0.6223;0.0012862571775913239;0.617;18.75;25.0;25.0;28.12;18.75;29.69;34.38;37.5;25.78;50.0;50.78;57.81;70.31;78.12;75.78;75.0;71.88;50.0;18.75;25.0;28.12;31.25;21.88;34.38;37.5;39.06;28.12;52.34;53.12;59.38;71.88;79.69;78.12;76.56;78.12;50.0
11;0.0012955628097057342;0.6214;0.0012855096459388734;0.617;18.75;25.0;21.88;25.0;18.75;29.69;34.38;37.5;25.0;50.0;50.78;57.81;69.53;78.12;75.78;75.0;70.31;50.0;18.75;25.0;25.0;31.25;20.31;34.38;35.94;39.06;27.34;52.34;53.12;59.38;71.88;79.69;78.12;76.56;78.12;50.0
12;0.0012887277245521545;0.6251;0.0012865507602691651;0.614;18.75;25.0;21.88;25.0;18.75;29.69;34.38;35.94;25.0;50.0;50.0;57.81;69.53;78.12;75.78;75.0;70.31;50.0;18.75;25.0;25.0;28.12;20.31;34.38;35.94;39.06;27.34;52.34;53.12;59.38;71.88;78.91;77.34;76.56;78.12;50.0
13;0.0012909386694431304;0.6254;0.0012859121859073639;0.6175;18.75;18.75;21.88;25.0;18.75;29.69;32.81;35.94;25.0;49.22;50.0;57.81;69.53;77.34;75.78;74.22;70.31;50.0;18.75;25.0;25.0;28.12;20.31;34.38;35.94;39.06;27.34;52.34;53.12;59.38;71.09;78.91;77.34;76.56;78.12;50.0
14;0.001293248724937439;0.6264;0.0012857609987258912;0.6155;18.75;18.75;21.88;25.0;17.19;28.12;32.81;35.94;25.0;49.22;50.0;57.81;69.53;77.34;75.78;74.22;70.31;50.0;18.75;25.0;25.0;28.12;20.31;32.81;35.94;39.06;27.34;52.34;52.34;59.38;71.09;78.91;77.34;76.56;78.12;50.0
15;0.001295454865694046;0.6229;0.0012848165035247803;0.6195;18.75;18.75;21.88;25.0;17.19;28.12;32.81;35.94;25.0;49.22;50.0;57.03;69.53;77.34;75.78;74.22;70.31;50.0;18.75;18.75;25.0;28.12;20.31;32.81;35.94;39.06;27.34;51.56;52.34;59.38;71.09;78.91;77.34;75.78;78.12;50.0
16;0.0012969500601291656;0.6194;0.0012854080498218537;0.618;18.75;18.75;21.88;25.0;17.19;28.12;32.81;35.94;25.0;49.22;50.0;57.03;68.75;77.34;75.0;74.22;68.75;50.0;18.75;18.75;25.0;28.12;20.31;32.81;35.94;39.06;26.56;51.56;52.34;59.38;71.09;78.91;77.34;75.78;76.56;50.0
17;0.001291422390937805;0.623;0.0012851635217666626;0.6145;18.75;18.75;21.88;25.0;17.19;28.12;32.81;35.94;24.22;49.22;50.0;57.03;68.75;77.34;75.0;74.22;68.75;50.0;18.75;18.75;25.0;28.12;20.31;32.81;35.94;39.06;26.56;51.56;52.34;59.38;71.09;78.91;77.34;75.78;76.56;50.0
18;0.0012923776149749756;0.6215;0.001285970538854599;0.6165;18.75;18.75;21.88;25.0;17.19;28.12;32.81;35.94;24.22;49.22;50.0;57.03;68.75;77.34;75.0;73.44;68.75;50.0;18.75;18.75;25.0;28.12;20.31;32.81;35.94;39.06;26.56;51.56;52.34;59.38;71.09;78.91;77.34;75.78;76.56;50.0
19;0.0012904401063919067;0.6306;0.0012856124937534333;0.6175;18.75;18.75;21.88;25.0;17.19;28.12;32.81;35.94;24.22;49.22;49.22;57.03;68.75;77.34;75.0;73.44;68.75;50.0;18.75;18.75;25.0;28.12;20.31;32.81;35.94;39.06;26.56;51.56;52.34;58.59;71.09;78.91;77.34;75.78;76.56;50.0
