;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.35223242441117764;0.514;0.34322369226813315;0.557;0.0;6.25;6.25;3.12;3.12;7.81;7.81;7.81;9.38;10.94;8.59;4.69;2.34;0.78;0.0;0.78;1.56;0.0;18.75;43.75;31.25;40.62;31.25;50.0;51.56;50.0;36.72;50.0;46.88;42.19;28.91;25.0;14.84;15.62;26.56;50.0
1;0.35088803504109384;0.5103;0.3497288728058338;0.4625;6.25;18.75;6.25;9.38;7.81;17.19;18.75;18.75;19.53;21.09;15.62;10.16;3.91;2.34;0.78;1.56;1.56;50.0;25.0;50.0;34.38;43.75;35.94;56.25;57.81;57.81;50.0;60.16;53.91;47.66;29.69;27.34;13.28;13.28;23.44;50.0
2;0.35118239418268204;0.5036;0.3533060082346201;0.5;12.5;18.75;9.38;12.5;10.94;18.75;25.0;21.88;21.09;24.22;16.41;11.72;4.69;2.34;0.78;1.56;3.12;50.0;25.0;50.0;34.38;40.62;28.12;56.25;59.38;57.81;54.69;62.5;53.91;47.66;27.34;25.78;11.72;10.16;21.88;50.0
3;0.3509767663389444;0.4971;0.36504956109076736;0.5695;18.75;6.25;9.38;12.5;10.94;14.06;12.5;7.81;10.16;14.06;14.84;14.06;4.69;3.12;0.78;0.78;1.56;0.0;31.25;6.25;9.38;28.12;23.44;48.44;57.81;53.12;57.03;66.41;54.69;49.22;27.34;24.22;9.38;7.81;18.75;50.0
4;0.3497420801281929;0.5054;0.3543984064310789;0.4565;18.75;6.25;9.38;12.5;12.5;14.06;12.5;7.81;10.16;14.84;16.41;16.41;4.69;3.12;0.78;0.78;1.56;0.0;25.0;6.25;9.38;31.25;21.88;50.0;56.25;50.0;56.25;67.19;56.25;51.56;25.78;22.66;8.59;6.25;17.19;50.0
5;0.35007539005577565;0.4954;0.3484391277134419;0.5005;18.75;6.25;9.38;15.62;12.5;14.06;12.5;9.38;12.5;17.97;19.53;19.53;7.03;4.69;0.78;1.56;1.56;0.0;25.0;6.25;12.5;31.25;23.44;50.0;56.25;50.0;57.81;68.75;58.59;53.91;27.34;24.22;7.81;5.47;17.19;50.0
6;0.34931354150176047;0.5071;0.3460966934263706;0.5195;12.5;6.25;9.38;15.62;12.5;15.62;14.06;9.38;14.06;19.53;21.88;21.09;9.38;6.25;1.56;1.56;1.56;0.0;25.0;6.25;12.5;28.12;21.88;50.0;54.69;50.0;57.81;67.97;59.38;54.69;29.69;26.56;9.38;5.47;17.19;50.0
7;0.34852265853881836;0.506;0.34465753251314163;0.5475;12.5;6.25;9.38;15.62;14.06;17.19;15.62;10.94;14.84;21.09;22.66;21.88;9.38;6.25;1.56;1.56;1.56;0.0;25.0;6.25;12.5;28.12;21.88;51.56;54.69;48.44;55.47;65.62;58.59;52.34;29.69;25.78;8.59;4.69;17.19;50.0
8;0.348491478946805;0.5034;0.3471408878266811;0.5;12.5;6.25;12.5;15.62;14.06;15.62;15.62;10.94;14.84;17.97;20.31;20.31;10.16;6.25;1.56;1.56;1.56;0.0;25.0;6.25;12.5;28.12;23.44;50.0;54.69;48.44;52.34;62.5;56.25;50.0;28.91;25.0;8.59;4.69;15.62;50.0
9;0.34805696085989474;0.5095;0.3464287338852882;0.5;12.5;6.25;12.5;15.62;14.06;15.62;15.62;10.94;12.5;14.06;16.41;17.19;9.38;6.25;1.56;1.56;1.56;0.0;18.75;6.25;12.5;28.12;21.88;50.0;53.12;46.88;49.22;57.81;53.12;46.09;27.34;23.44;7.81;4.69;15.62;50.0
