;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.004024625687599182;0.20396;0.003594381523132324;0.2984;12.5;18.75;12.5;18.75;12.5;23.44;28.12;26.56;20.31;39.06;44.53;39.06;60.94;66.41;64.06;57.03;14.06;20.0;25.0;37.5;25.0;31.25;21.88;35.94;40.62;37.5;27.34;50.0;55.47;51.56;70.31;75.78;75.0;74.22;60.94;20.0
1;0.0034094620060920715;0.32978;0.0032868736863136292;0.369;18.75;31.25;18.75;25.0;15.62;26.56;29.69;29.69;20.31;35.94;40.62;35.94;57.81;62.5;60.16;53.91;17.19;20.0;31.25;37.5;28.12;34.38;23.44;39.06;42.19;40.62;28.12;47.66;53.12;48.44;67.97;73.44;71.88;69.53;57.81;20.0
2;0.003045849976539612;0.42096;0.002915429484844208;0.464;25.0;37.5;25.0;28.12;17.19;31.25;32.81;32.81;21.09;35.94;39.84;35.16;56.25;60.94;57.81;52.34;17.19;30.0;37.5;43.75;31.25;37.5;26.56;40.62;43.75;40.62;28.91;46.09;51.56;46.88;66.41;71.09;69.53;66.41;56.25;30.0
3;0.0027739399814605712;0.48762;0.002673482632637024;0.5154;25.0;43.75;28.12;31.25;20.31;34.38;35.94;34.38;21.88;36.72;40.62;35.94;56.25;60.94;57.03;52.34;20.31;40.0;37.5;43.75;34.38;37.5;26.56;42.19;43.75;42.19;29.69;45.31;50.0;46.09;64.84;68.75;67.19;64.06;56.25;40.0
4;0.0025489653539657593;0.5341;0.002515882933139801;0.5541;25.0;43.75;31.25;34.38;20.31;35.94;37.5;35.94;23.44;37.5;41.41;36.72;55.47;60.16;56.25;52.34;21.88;40.0;43.75;50.0;37.5;37.5;28.12;43.75;45.31;42.19;30.47;45.31;50.0;45.31;63.28;67.97;65.62;62.5;54.69;40.0
5;0.0023538492107391356;0.57322;0.0022040435314178465;0.6056;31.25;43.75;34.38;34.38;21.88;37.5;39.06;37.5;24.22;38.28;41.41;37.5;55.47;58.59;55.47;50.78;23.44;40.0;43.75;50.0;40.62;37.5;28.12;45.31;45.31;42.19;31.25;45.31;49.22;44.53;61.72;66.41;64.06;60.94;53.12;50.0
6;0.002198357343673706;0.60452;0.002136776179075241;0.6183;31.25;50.0;34.38;34.38;23.44;39.06;40.62;37.5;25.78;39.06;41.41;37.5;54.69;58.59;54.69;50.78;23.44;50.0;50.0;50.0;40.62;37.5;28.12;46.88;45.31;43.75;32.03;45.31;49.22;44.53;60.94;65.62;63.28;60.16;51.56;50.0
7;0.0020730572652816774;0.62632;0.0020120732963085173;0.6415;37.5;50.0;34.38;34.38;23.44;40.62;40.62;39.06;26.56;39.84;42.19;38.28;54.69;57.81;53.91;50.0;25.0;50.0;50.0;50.0;40.62;34.38;29.69;46.88;46.88;43.75;32.81;46.09;49.22;44.53;60.16;64.06;61.72;58.59;51.56;50.0
8;0.001960679762363434;0.64786;0.0018592709422111512;0.665;37.5;50.0;34.38;34.38;25.0;42.19;42.19;39.06;27.34;40.62;42.19;38.28;53.91;57.03;53.12;49.22;25.0;50.0;56.25;56.25;40.62;34.38;29.69;46.88;46.88;43.75;32.81;46.09;49.22;44.53;60.16;63.28;60.94;57.81;50.0;50.0
9;0.001872859947681427;0.66362;0.0020421249330043792;0.639;37.5;50.0;37.5;34.38;25.0;42.19;42.19;40.62;28.12;40.62;42.97;39.06;53.91;56.25;52.34;48.44;25.0;50.0;56.25;56.25;40.62;34.38;29.69;48.44;46.88;43.75;33.59;46.88;49.22;44.53;59.38;62.5;60.16;57.03;50.0;50.0
