;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_features-7;training_accuracy;training_loss
0;57.81;8.0;12.5;21.88;17.19;28.12;34.38;26.56;27.34;25.0;46.09;53.12;50.78;68.75;75.78;76.56;75.78;15.62;0.0266;0.0358552375793457;78.12;41.0;18.75;28.12;23.44;35.94;42.19;31.25;30.47;31.25;50.0;56.25;53.91;71.09;78.12;78.91;78.91;21.88;0.01844;0.03583296493530273
1;51.56;4.0;12.5;25.0;18.75;29.69;35.94;28.12;27.34;31.25;45.31;51.56;49.22;67.97;75.0;75.0;74.22;18.75;0.0386;0.03485979099273682;71.88;28.0;18.75;28.12;25.0;35.94;40.62;32.81;31.25;31.25;49.22;55.47;53.12;71.09;77.34;77.34;76.56;21.88;0.03266;0.035063809061050416
2;45.31;4.0;18.75;28.12;21.88;31.25;35.94;29.69;28.12;31.25;45.31;50.78;47.66;67.19;73.44;73.44;72.66;18.75;0.0437;0.033859042739868166;67.19;18.0;18.75;31.25;25.0;37.5;40.62;32.81;31.25;37.5;49.22;54.69;51.56;70.31;75.78;76.56;75.0;21.88;0.03784;0.03413572836875915
3;42.19;4.0;18.75;28.12;23.44;32.81;35.94;29.69;28.12;37.5;44.53;50.0;46.88;66.41;72.66;71.88;71.09;21.88;0.0549;0.03310524797439575;64.06;11.0;18.75;31.25;26.56;37.5;40.62;32.81;31.25;37.5;48.44;53.12;50.78;69.53;75.0;75.0;74.22;25.0;0.04728;0.03334738538742065
4;40.62;4.0;18.75;31.25;23.44;34.38;37.5;31.25;28.12;37.5;44.53;49.22;46.09;65.62;71.09;71.09;69.53;21.88;0.0625;0.03251593005657196;62.5;7.0;18.75;31.25;26.56;37.5;40.62;32.81;31.25;37.5;47.66;52.34;49.22;68.75;74.22;74.22;72.66;25.0;0.05672;0.03270963164329529
5;39.06;5.0;18.75;31.25;25.0;34.38;37.5;31.25;28.12;43.75;43.75;48.44;45.31;65.62;70.31;70.31;68.75;25.0;0.0711;0.03193176712989807;60.94;6.0;18.75;34.38;28.12;39.06;42.19;32.81;31.25;37.5;47.66;52.34;48.44;67.97;73.44;73.44;71.88;25.0;0.06418;0.03219022082805634
6;39.06;5.0;18.75;31.25;25.0;35.94;39.06;31.25;28.12;43.75;43.75;48.44;44.53;64.84;70.31;69.53;67.97;25.0;0.0816;0.03135889801979065;60.94;6.0;18.75;34.38;28.12;39.06;42.19;34.38;31.25;37.5;46.88;51.56;47.66;67.19;72.66;72.66;71.09;28.12;0.07268;0.03166955690860748
7;39.06;5.0;18.75;34.38;26.56;35.94;39.06;32.81;28.91;43.75;43.75;48.44;44.53;64.84;69.53;68.75;67.19;25.0;0.0994;0.03079385447502136;60.94;6.0;25.0;34.38;29.69;40.62;42.19;34.38;31.25;43.75;46.88;51.56;47.66;67.19;71.88;71.88;70.31;28.12;0.08416;0.031135236339569092
8;39.06;5.0;18.75;34.38;26.56;37.5;40.62;34.38;28.91;43.75;43.75;47.66;43.75;64.06;68.75;67.97;67.19;28.12;0.1082;0.03021508457660675;60.94;6.0;25.0;34.38;29.69;40.62;42.19;35.94;31.25;43.75;46.88;50.78;46.88;66.41;71.09;71.09;69.53;28.12;0.0951;0.030626475853919984
9;39.06;6.0;18.75;34.38;28.12;37.5;40.62;34.38;28.91;43.75;43.75;47.66;43.75;64.06;68.75;67.97;66.41;28.12;0.121;0.029702002191543578;60.94;7.0;25.0;34.38;29.69;40.62;43.75;35.94;32.03;43.75;46.88;50.78;46.88;66.41;71.09;70.31;68.75;28.12;0.10436;0.030136216201782227
