;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.03340192330360413;0.04424;0.03162894995212555;0.0666;12.5;25.0;15.62;21.88;12.5;21.88;25.0;23.44;13.28;26.56;26.56;25.78;42.19;46.09;36.72;34.38;7.81;4.0;31.25;43.75;31.25;43.75;34.38;46.88;48.44;45.31;28.91;46.88;46.88;45.31;62.5;67.19;64.84;63.28;54.69;9.0
1;0.030556675243377684;0.08656;0.029463049721717833;0.1104;18.75;31.25;25.0;31.25;18.75;31.25;34.38;32.81;17.19;33.59;31.25;29.69;43.75;46.88;35.94;32.81;14.06;7.0;37.5;43.75;40.62;50.0;39.06;53.12;53.12;50.0;31.25;48.44;47.66;45.31;60.16;64.06;59.38;59.38;50.0;10.0
2;0.028875492010116577;0.11814;0.028098534440994263;0.1406;25.0;43.75;28.12;37.5;21.88;37.5;39.06;35.94;19.53;35.94;32.81;32.03;43.75;46.88;35.94;32.81;18.75;9.0;43.75;56.25;40.62;53.12;40.62;56.25;56.25;51.56;33.59;50.78;48.44;46.09;58.59;62.5;56.25;56.25;46.88;12.0
3;0.027490319385528563;0.14328;0.027016536927223205;0.1612;31.25;50.0;31.25;40.62;25.0;40.62;42.19;40.62;22.66;39.06;35.94;34.38;44.53;47.66;36.72;33.59;23.44;10.0;56.25;56.25;43.75;53.12;40.62;57.81;57.81;53.12;35.94;52.34;50.0;46.88;57.81;61.72;54.69;53.91;46.88;14.0
4;0.026102297730445864;0.17564;0.025308430433273316;0.2024;37.5;56.25;34.38;43.75;26.56;43.75;45.31;43.75;24.22;42.19;38.28;36.72;45.31;49.22;38.28;34.38;26.56;11.0;56.25;62.5;43.75;53.12;42.19;59.38;59.38;56.25;37.5;54.69;51.56;48.44;57.03;61.72;53.91;52.34;46.88;16.0
5;0.024305118470191955;0.22056;0.023169567251205444;0.2581;37.5;50.0;34.38;43.75;26.56;45.31;45.31;45.31;24.22;42.19;38.28;36.72;45.31;50.0;38.28;34.38;25.0;11.0;56.25;62.5;43.75;53.12;39.06;59.38;57.81;54.69;36.72;53.91;50.78;47.66;55.47;60.94;52.34;50.0;42.19;16.0
6;0.02382551679134369;0.2354;0.02296457417011261;0.2649;37.5;50.0;34.38;43.75;25.0;43.75;45.31;45.31;24.22;42.19;38.28;36.72;44.53;50.0;38.28;33.59;25.0;11.0;56.25;56.25;40.62;50.0;37.5;57.81;56.25;54.69;35.16;52.34;49.22;46.88;54.69;59.38;50.78;48.44;39.06;15.0
7;0.02358357346534729;0.24116;0.022586671233177185;0.2692;37.5;50.0;31.25;43.75;25.0;43.75;43.75;45.31;24.22;42.19;38.28;36.72;44.53;50.0;38.28;32.81;23.44;11.0;56.25;56.25;40.62;50.0;34.38;56.25;54.69;53.12;34.38;51.56;48.44;46.09;53.12;58.59;49.22;46.09;37.5;15.0
8;0.023372378873825074;0.24514;0.022488919162750243;0.2724;37.5;50.0;31.25;40.62;25.0;43.75;43.75;45.31;23.44;42.19;38.28;36.72;44.53;50.0;38.28;32.81;23.44;11.0;56.25;56.25;37.5;46.88;32.81;54.69;53.12;51.56;33.59;50.78;47.66;45.31;52.34;57.81;48.44;44.53;35.94;14.0
9;0.02316289165496826;0.25292;0.022258031606674195;0.2802;37.5;50.0;31.25;40.62;25.0;43.75;43.75;43.75;23.44;41.41;38.28;36.72;44.53;50.0;38.28;32.03;23.44;11.0;50.0;56.25;37.5;46.88;32.81;54.69;51.56;51.56;32.81;50.78;47.66;44.53;51.56;57.81;47.66;43.75;34.38;14.0
10;0.02281271793842316;0.25992;0.022032766437530518;0.282;31.25;50.0;31.25;40.62;23.44;43.75;42.19;43.75;23.44;41.41;38.28;36.72;43.75;50.0;38.28;32.03;21.88;10.0;50.0;56.25;34.38;46.88;31.25;53.12;51.56;51.56;32.03;50.0;46.88;43.75;50.78;57.03;46.88;42.19;32.81;14.0
11;0.02283322760105133;0.26126;0.02200811927318573;0.2854;31.25;50.0;31.25;40.62;23.44;43.75;42.19;43.75;22.66;41.41;38.28;36.72;43.75;50.0;38.28;32.03;21.88;10.0;50.0;56.25;34.38;43.75;29.69;53.12;50.0;50.0;31.25;49.22;46.09;43.75;50.78;57.03;46.09;41.41;32.81;13.0
12;0.022746998925209046;0.26024;0.022011899828910827;0.2861;31.25;50.0;28.12;40.62;23.44;43.75;42.19;43.75;22.66;40.62;38.28;36.72;43.75;50.0;37.5;31.25;21.88;10.0;50.0;50.0;34.38;43.75;29.69;51.56;50.0;50.0;30.47;48.44;45.31;42.97;50.0;56.25;45.31;40.62;31.25;13.0
13;0.02270441719055176;0.2629;0.021976973700523376;0.2864;31.25;50.0;28.12;37.5;21.88;42.19;42.19;43.75;22.66;40.62;37.5;36.72;42.97;50.0;37.5;31.25;20.31;10.0;50.0;50.0;31.25;43.75;28.12;51.56;48.44;48.44;29.69;48.44;45.31;42.19;49.22;56.25;45.31;39.84;31.25;13.0
14;0.022727794585227966;0.26298;0.02193506259918213;0.2874;31.25;50.0;28.12;37.5;21.88;42.19;40.62;42.19;21.88;40.62;37.5;35.94;42.97;50.0;37.5;31.25;20.31;10.0;50.0;50.0;31.25;43.75;28.12;50.0;48.44;48.44;28.91;47.66;44.53;42.19;49.22;55.47;44.53;39.06;29.69;13.0
15;0.022701203789710998;0.26214;0.021965317273139953;0.2869;31.25;43.75;28.12;37.5;21.88;42.19;40.62;42.19;21.88;39.84;37.5;35.94;42.97;50.0;37.5;30.47;20.31;10.0;43.75;50.0;31.25;43.75;26.56;50.0;46.88;48.44;28.91;47.66;43.75;41.41;48.44;55.47;43.75;38.28;29.69;12.0
16;0.022663218126296996;0.26286;0.021923082232475282;0.2881;31.25;43.75;28.12;37.5;21.88;42.19;40.62;42.19;21.88;39.84;37.5;35.94;42.97;49.22;37.5;30.47;20.31;10.0;43.75;50.0;31.25;40.62;26.56;48.44;46.88;46.88;28.12;46.88;43.75;41.41;48.44;54.69;43.75;37.5;28.12;12.0
17;0.022674280652999878;0.26294;0.02193033142089844;0.2882;31.25;43.75;28.12;37.5;20.31;42.19;40.62;42.19;21.09;39.84;36.72;35.94;42.19;49.22;36.72;30.47;18.75;10.0;43.75;50.0;31.25;40.62;25.0;48.44;46.88;46.88;28.12;46.09;42.97;40.62;47.66;54.69;42.97;36.72;28.12;12.0
18;0.022625597825050355;0.26578;0.021944788098335267;0.2871;31.25;43.75;28.12;37.5;20.31;40.62;39.06;42.19;21.09;39.84;36.72;35.94;42.19;49.22;36.72;29.69;18.75;10.0;43.75;50.0;31.25;40.62;25.0;48.44;45.31;46.88;27.34;46.09;42.97;40.62;47.66;54.69;42.19;36.72;28.12;12.0
19;0.022678752903938292;0.26322;0.02188766028881073;0.2877;31.25;43.75;25.0;37.5;20.31;40.62;39.06;42.19;21.09;39.06;36.72;35.16;42.19;49.22;36.72;29.69;18.75;9.0;43.75;50.0;28.12;40.62;25.0;46.88;45.31;46.88;27.34;46.09;42.19;40.62;46.88;53.91;42.19;35.94;26.56;12.0
20;0.0226416605091095;0.26602;0.021923774576187133;0.2878;31.25;43.75;25.0;37.5;20.31;40.62;39.06;40.62;21.09;39.06;36.72;35.16;42.19;49.22;36.72;29.69;18.75;9.0;43.75;50.0;28.12;40.62;23.44;46.88;45.31;45.31;26.56;45.31;42.19;39.84;46.88;53.91;41.41;35.16;26.56;12.0
21;0.02268116593360901;0.26434;0.021887706923484802;0.2886;31.25;43.75;25.0;34.38;18.75;40.62;39.06;40.62;20.31;39.06;36.72;35.16;42.19;49.22;36.72;28.91;17.19;9.0;43.75;50.0;28.12;40.62;23.44;46.88;43.75;45.31;26.56;45.31;42.19;39.84;46.88;53.91;41.41;35.16;26.56;12.0
22;0.022697862129211425;0.26402;0.02194188241958618;0.2859;31.25;43.75;25.0;34.38;18.75;40.62;39.06;40.62;20.31;39.06;35.94;35.16;41.41;49.22;35.94;28.91;17.19;9.0;43.75;50.0;28.12;37.5;23.44;46.88;43.75;45.31;25.78;44.53;41.41;39.84;46.09;53.12;41.41;34.38;26.56;11.0
23;0.022639585189819338;0.26534;0.02192313184738159;0.2873;31.25;43.75;25.0;34.38;18.75;39.06;37.5;40.62;20.31;38.28;35.94;35.16;41.41;48.44;35.94;28.91;17.19;9.0;37.5;43.75;28.12;37.5;21.88;45.31;43.75;45.31;25.78;44.53;41.41;39.06;46.09;53.12;40.62;34.38;25.0;11.0
24;0.022640204997062683;0.26532;0.021908827114105224;0.2879;31.25;43.75;25.0;34.38;18.75;39.06;37.5;40.62;20.31;38.28;35.94;35.16;41.41;48.44;35.94;28.91;17.19;9.0;37.5;43.75;28.12;37.5;21.88;45.31;43.75;45.31;25.0;44.53;41.41;39.06;46.09;53.12;40.62;33.59;25.0;11.0
25;0.022666699380874632;0.2638;0.02192071611881256;0.2876;31.25;43.75;25.0;34.38;18.75;39.06;37.5;40.62;20.31;38.28;35.94;34.38;41.41;48.44;35.94;28.12;17.19;9.0;37.5;43.75;28.12;37.5;21.88;45.31;42.19;43.75;25.0;43.75;40.62;39.06;45.31;53.12;39.84;33.59;25.0;11.0
26;0.022666655735969543;0.26596;0.021918140888214113;0.2886;25.0;43.75;25.0;34.38;18.75;39.06;37.5;40.62;19.53;38.28;35.94;34.38;41.41;48.44;35.94;28.12;17.19;9.0;37.5;43.75;28.12;37.5;21.88;45.31;42.19;43.75;25.0;43.75;40.62;38.28;45.31;52.34;39.84;32.81;25.0;11.0
27;0.022672751359939576;0.26348;0.021917959904670714;0.2869;25.0;43.75;25.0;34.38;18.75;39.06;37.5;39.06;19.53;38.28;35.16;34.38;41.41;48.44;35.94;28.12;17.19;9.0;37.5;43.75;25.0;37.5;21.88;43.75;42.19;43.75;24.22;43.75;40.62;38.28;45.31;52.34;39.84;32.81;25.0;11.0
28;0.022624662280082704;0.26564;0.021950417971611024;0.2882;25.0;43.75;25.0;34.38;17.19;39.06;37.5;39.06;19.53;38.28;35.16;34.38;41.41;48.44;35.16;28.12;17.19;9.0;37.5;43.75;25.0;37.5;20.31;43.75;42.19;43.75;24.22;42.97;39.84;38.28;45.31;52.34;39.84;32.03;23.44;11.0
29;0.02263841227531433;0.26492;0.021917123317718504;0.2873;25.0;43.75;25.0;34.38;17.19;39.06;37.5;39.06;19.53;37.5;35.16;34.38;40.62;48.44;35.16;28.12;17.19;9.0;37.5;43.75;25.0;37.5;20.31;43.75;42.19;43.75;24.22;42.97;39.84;38.28;45.31;52.34;39.06;32.03;23.44;11.0
30;0.02267503448486328;0.26566;0.021939242172241212;0.2869;25.0;43.75;25.0;34.38;17.19;39.06;35.94;39.06;19.53;37.5;35.16;34.38;40.62;48.44;35.16;27.34;15.62;9.0;37.5;43.75;25.0;37.5;20.31;43.75;40.62;42.19;24.22;42.97;39.84;37.5;44.53;51.56;39.06;31.25;23.44;11.0
31;0.022686767086982727;0.2644;0.02195155680179596;0.2864;25.0;37.5;25.0;34.38;17.19;37.5;35.94;39.06;19.53;37.5;35.16;34.38;40.62;48.44;35.16;27.34;15.62;9.0;37.5;43.75;25.0;37.5;20.31;43.75;40.62;42.19;23.44;42.97;39.84;37.5;44.53;51.56;39.06;31.25;23.44;11.0
32;0.0226610404586792;0.2669;0.02190469446182251;0.2891;25.0;37.5;21.88;31.25;17.19;37.5;35.94;39.06;18.75;37.5;35.16;33.59;40.62;47.66;35.16;27.34;15.62;9.0;37.5;43.75;25.0;34.38;20.31;43.75;40.62;42.19;23.44;42.19;39.84;37.5;44.53;51.56;38.28;31.25;23.44;11.0
33;0.022680357551574708;0.2616;0.02191968197822571;0.2869;25.0;37.5;21.88;31.25;17.19;37.5;35.94;39.06;18.75;37.5;35.16;33.59;40.62;47.66;35.16;27.34;15.62;9.0;37.5;43.75;25.0;34.38;20.31;42.19;40.62;42.19;23.44;42.19;39.06;37.5;44.53;51.56;38.28;30.47;23.44;11.0
34;0.022678444328308105;0.26596;0.021946158695220947;0.2873;25.0;37.5;21.88;31.25;17.19;37.5;35.94;39.06;18.75;37.5;35.16;33.59;40.62;47.66;35.16;27.34;15.62;9.0;37.5;43.75;25.0;34.38;20.31;42.19;40.62;42.19;22.66;42.19;39.06;37.5;44.53;51.56;38.28;30.47;23.44;11.0
35;0.022643210716247558;0.26528;0.021930679082870483;0.2882;25.0;37.5;21.88;31.25;17.19;37.5;35.94;39.06;18.75;36.72;34.38;33.59;40.62;47.66;34.38;27.34;15.62;9.0;37.5;43.75;25.0;34.38;20.31;42.19;40.62;42.19;22.66;42.19;39.06;36.72;43.75;51.56;38.28;30.47;21.88;11.0
36;0.02268869176864624;0.26594;0.021893999075889587;0.2879;25.0;37.5;21.88;31.25;17.19;37.5;35.94;39.06;18.75;36.72;34.38;33.59;40.62;47.66;34.38;27.34;15.62;9.0;37.5;43.75;25.0;34.38;18.75;42.19;39.06;42.19;22.66;41.41;39.06;36.72;43.75;50.78;38.28;30.47;21.88;11.0
37;0.022627724618911743;0.26642;0.02190858221054077;0.288;25.0;37.5;21.88;31.25;17.19;37.5;35.94;39.06;18.75;36.72;34.38;33.59;40.62;47.66;34.38;26.56;15.62;9.0;37.5;43.75;25.0;34.38;18.75;42.19;39.06;42.19;22.66;41.41;39.06;36.72;43.75;50.78;37.5;29.69;21.88;11.0
