;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_features-7;training_accuracy;training_loss
0;6.25;3.0;12.5;31.25;14.06;25.0;25.0;23.44;14.06;31.25;25.78;21.88;22.66;29.69;21.88;10.16;5.47;18.75;0.0568;0.032536631059646604;59.38;12.0;12.5;43.75;23.44;40.62;39.06;39.06;29.69;31.25;49.22;48.44;51.56;63.28;66.41;63.28;60.94;21.88;0.03362;0.03445493647575378
1;9.38;5.0;12.5;40.62;20.31;34.38;32.81;32.81;16.41;43.75;25.78;21.09;17.97;17.97;13.28;8.59;7.03;25.0;0.0998;0.02985601053237915;50.0;8.0;18.75;53.12;32.81;51.56;48.44;48.44;35.16;43.75;50.78;49.22;49.22;53.12;56.25;50.78;46.09;31.25;0.07752;0.031006468682289123
2;12.5;7.0;18.75;43.75;23.44;39.06;37.5;35.94;19.53;43.75;28.12;22.66;17.97;15.62;11.72;8.59;7.03;31.25;0.1362;0.028435388684272766;42.19;9.0;18.75;59.38;37.5;57.81;54.69;53.12;39.84;50.0;53.91;51.56;47.66;46.88;46.88;41.41;32.03;34.38;0.1154;0.0288721959066391
3;15.62;8.0;18.75;46.88;26.56;43.75;40.62;39.06;21.09;50.0;29.69;25.78;19.53;15.62;11.72;9.38;7.03;31.25;0.1588;0.027115325951576234;39.06;10.0;25.0;56.25;40.62;60.94;57.81;54.69;42.19;56.25;55.47;53.91;47.66;42.19;39.06;32.03;21.88;37.5;0.14076;0.02762319709777832
4;15.62;9.0;18.75;46.88;29.69;46.88;45.31;42.19;23.44;56.25;32.81;28.91;21.88;16.41;11.72;8.59;7.03;34.38;0.1868;0.0257933819770813;34.38;12.0;25.0;56.25;43.75;62.5;59.38;56.25;43.75;62.5;57.03;54.69;47.66;39.06;33.59;25.78;17.19;40.62;0.16472;0.026391528668403625
5;17.19;10.0;25.0;43.75;29.69;48.44;46.88;43.75;24.22;56.25;35.16;32.03;24.22;17.19;11.72;8.59;7.03;34.38;0.1994;0.02528061172962189;32.81;13.0;25.0;53.12;45.31;62.5;59.38;56.25;43.75;62.5;57.81;56.25;48.44;35.94;28.12;21.09;15.62;43.75;0.18814;0.025365451517105102
6;17.19;11.0;25.0;43.75;29.69;50.0;48.44;45.31;25.0;62.5;38.28;34.38;27.34;17.97;11.72;8.59;7.81;37.5;0.2261;0.023946889209747316;31.25;14.0;31.25;50.0;46.88;62.5;60.94;56.25;45.31;68.75;59.38;57.03;50.0;33.59;25.0;17.97;13.28;43.75;0.20922;0.024438733463287354
7;18.75;12.0;25.0;43.75;31.25;50.0;50.0;46.88;26.56;62.5;40.62;37.5;29.69;17.97;11.72;8.59;7.81;37.5;0.247;0.023163867044448852;31.25;16.0;31.25;50.0;46.88;60.94;60.94;57.81;45.31;68.75;60.16;58.59;50.78;31.25;21.88;15.62;11.72;43.75;0.23534;0.023424947428703307
8;18.75;13.0;31.25;43.75;32.81;50.0;51.56;48.44;27.34;62.5;42.19;40.62;32.03;17.97;11.72;8.59;7.81;37.5;0.2844;0.021528099608421326;31.25;17.0;37.5;46.88;46.88;60.94;60.94;57.81;46.09;68.75;60.16;60.16;51.56;29.69;19.53;13.28;11.72;43.75;0.25938;0.022475447216033936
9;20.31;13.0;31.25;43.75;32.81;50.0;51.56;50.0;28.91;62.5;44.53;42.97;34.38;17.97;11.72;8.59;7.81;40.62;0.2985;0.021202881169319152;29.69;17.0;37.5;46.88;46.88;59.38;60.94;57.81;46.09;68.75;60.94;60.94;52.34;27.34;17.97;12.5;11.72;43.75;0.28064;0.021649141244888304
