;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.13034588996887206;0.04436;0.12398643507957459;0.0637;12.5;25.0;15.62;21.88;4.69;9.38;9.38;7.81;3.12;3.12;2.34;2.34;2.34;1.56;1.56;1.56;3.12;4.0;56.25;56.25;46.88;62.5;28.12;40.62;42.19;37.5;21.09;24.22;22.66;21.88;17.97;13.28;10.16;10.16;31.25;25.0
1;0.12087823389053345;0.07764;0.11515463492870331;0.0976;25.0;37.5;25.0;28.12;7.81;15.62;15.62;14.06;5.47;5.47;5.47;4.69;3.91;2.34;2.34;2.34;6.25;7.0;68.75;62.5;53.12;59.38;25.0;42.19;42.19;37.5;18.75;24.22;21.88;21.09;13.28;9.38;7.81;7.81;26.56;29.0
2;0.11464403260707855;0.10252;0.10756713299751282;0.1318;31.25;43.75;28.12;31.25;10.94;20.31;20.31;17.19;7.03;8.59;6.25;5.47;3.91;3.12;2.34;3.12;7.81;10.0;68.75;62.5;56.25;56.25;26.56;39.06;42.19;35.94;17.19;24.22;19.53;18.75;10.16;7.03;6.25;7.81;23.44;29.0
3;0.11092227699279786;0.11722;0.10453660221099853;0.139;37.5;43.75;31.25;34.38;12.5;23.44;25.0;20.31;7.81;10.16;7.03;6.25;4.69;3.12;3.12;3.91;7.81;11.0;68.75;62.5;56.25;53.12;26.56;37.5;42.19;34.38;17.19;24.22;17.97;16.41;8.59;4.69;5.47;7.03;20.31;27.0
4;0.10786277307987213;0.12738;0.10339632570743561;0.1495;37.5;50.0;34.38;37.5;15.62;26.56;28.12;23.44;9.38;11.72;7.81;6.25;4.69;3.12;3.12;3.91;7.81;11.0;68.75;62.5;56.25;50.0;28.12;37.5;40.62;35.94;17.19;23.44;17.97;14.84;7.81;3.91;4.69;7.03;17.19;26.0
5;0.10557406613349915;0.1406;0.09882700603008271;0.1756;43.75;50.0;37.5;37.5;17.19;28.12;31.25;25.0;10.16;13.28;8.59;6.25;4.69;3.12;3.12;3.91;7.81;12.0;68.75;62.5;56.25;50.0;28.12;37.5;40.62;35.94;17.97;24.22;17.19;13.28;7.81;3.12;3.91;7.03;15.62;25.0
6;0.10339500296592713;0.15094;0.09798391785621643;0.1846;43.75;50.0;40.62;40.62;18.75;29.69;32.81;26.56;11.72;14.06;9.38;7.03;4.69;2.34;3.12;4.69;7.81;12.0;68.75;62.5;56.25;50.0;28.12;37.5;42.19;35.94;18.75;24.22;16.41;12.5;7.03;3.12;3.12;7.03;14.06;24.0
7;0.10157584159374237;0.16394;0.09700147304534912;0.1861;43.75;50.0;40.62;43.75;20.31;31.25;35.94;29.69;12.5;14.84;10.16;7.03;4.69;2.34;2.34;4.69;7.81;12.0;68.75;62.5;56.25;53.12;28.12;37.5;42.19;35.94;19.53;24.22;16.41;11.72;6.25;2.34;3.12;7.03;12.5;23.0
8;0.10010698472499847;0.16922;0.09412614982128144;0.2075;50.0;50.0;40.62;43.75;20.31;32.81;37.5;31.25;13.28;15.62;10.94;7.03;3.91;2.34;2.34;4.69;7.81;12.0;68.75;62.5;56.25;53.12;28.12;37.5;43.75;35.94;20.31;24.22;16.41;10.94;5.47;2.34;3.12;7.03;12.5;23.0
9;0.0984688398361206;0.1791;0.09400819962024688;0.2142;50.0;50.0;43.75;43.75;21.88;32.81;39.06;31.25;14.06;17.19;11.72;7.03;3.91;2.34;2.34;5.47;7.81;12.0;68.75;62.5;56.25;53.12;28.12;37.5;45.31;35.94;21.09;24.22;16.41;10.16;4.69;2.34;3.12;7.03;12.5;23.0
10;0.09705632719516755;0.18542;0.09196639935970306;0.2258;50.0;50.0;43.75;43.75;21.88;34.38;40.62;32.81;15.62;17.97;11.72;7.03;3.91;2.34;2.34;5.47;7.81;12.0;68.75;62.5;56.25;53.12;29.69;37.5;45.31;37.5;21.88;24.22;15.62;9.38;4.69;2.34;3.12;7.03;12.5;23.0
11;0.0960720337486267;0.19582;0.08970938422679901;0.2314;50.0;50.0;43.75;46.88;23.44;34.38;42.19;34.38;16.41;18.75;12.5;7.03;3.91;2.34;2.34;6.25;7.81;12.0;68.75;62.5;56.25;53.12;29.69;37.5;46.88;37.5;22.66;24.22;15.62;9.38;4.69;2.34;3.12;7.03;12.5;23.0
12;0.09494695799827575;0.20362;0.08970273859500885;0.2333;56.25;56.25;43.75;46.88;23.44;34.38;43.75;34.38;17.19;19.53;12.5;7.03;3.91;2.34;2.34;6.25;7.81;12.0;68.75;62.5;56.25;53.12;29.69;39.06;46.88;37.5;23.44;25.0;15.62;8.59;4.69;2.34;2.34;7.81;12.5;23.0
13;0.09394680943012237;0.20906;0.08834623863697053;0.2403;56.25;56.25;43.75;46.88;23.44;35.94;43.75;35.94;17.97;20.31;12.5;7.03;3.91;2.34;2.34;6.25;7.81;13.0;68.75;62.5;56.25;53.12;29.69;39.06;48.44;37.5;24.22;25.0;15.62;8.59;3.91;2.34;2.34;7.81;10.94;23.0
14;0.09284604176521301;0.21782;0.08752292845249177;0.2562;56.25;56.25;43.75;46.88;23.44;35.94;45.31;35.94;18.75;21.09;13.28;7.03;3.91;2.34;2.34;6.25;7.81;13.0;68.75;62.5;56.25;53.12;29.69;39.06;48.44;39.06;24.22;25.78;14.84;8.59;3.91;2.34;2.34;7.81;10.94;23.0
15;0.09195675699710847;0.2245;0.08813607867956162;0.2411;56.25;56.25;43.75;46.88;25.0;35.94;45.31;37.5;19.53;21.88;13.28;7.81;3.91;2.34;2.34;6.25;7.81;13.0;68.75;62.5;56.25;53.12;29.69;39.06;48.44;39.06;25.0;25.78;14.84;7.81;3.91;2.34;2.34;7.81;10.94;23.0
16;0.09113711522579193;0.22948;0.08740912659168243;0.2454;56.25;56.25;43.75;46.88;25.0;37.5;46.88;37.5;20.31;22.66;13.28;7.81;3.91;2.34;2.34;6.25;7.81;13.0;68.75;56.25;56.25;50.0;29.69;39.06;48.44;39.06;25.78;26.56;14.84;7.81;3.91;2.34;2.34;7.81;12.5;23.0
17;0.09011484910964966;0.24006;0.0881631582736969;0.2566;56.25;56.25;43.75;46.88;25.0;37.5;46.88;37.5;21.09;23.44;14.06;7.81;3.91;2.34;2.34;6.25;7.81;14.0;68.75;62.5;53.12;50.0;29.69;39.06;50.0;39.06;26.56;27.34;15.62;7.81;3.91;2.34;2.34;7.03;12.5;23.0
18;0.08909436690807343;0.24546;0.08529494943618775;0.2743;56.25;56.25;43.75;46.88;25.0;37.5;48.44;39.06;21.88;24.22;14.06;7.81;3.91;2.34;2.34;6.25;7.81;14.0;62.5;62.5;53.12;50.0;29.69;39.06;50.0;39.06;27.34;27.34;15.62;7.81;3.91;2.34;2.34;7.03;12.5;23.0
19;0.0883178562784195;0.25262;0.08247196304798127;0.2897;56.25;56.25;43.75;46.88;25.0;39.06;48.44;39.06;22.66;25.0;14.84;7.81;4.69;3.12;2.34;6.25;9.38;14.0;62.5;62.5;53.12;50.0;29.69;40.62;50.0;40.62;27.34;28.12;15.62;7.81;3.91;3.12;2.34;6.25;12.5;24.0
20;0.08645702017784118;0.2651;0.08061098835468292;0.3088;56.25;56.25;46.88;46.88;26.56;39.06;48.44;39.06;22.66;25.78;14.84;8.59;4.69;3.12;2.34;5.47;9.38;14.0;62.5;62.5;53.12;50.0;29.69;40.62;50.0;40.62;28.12;28.91;15.62;8.59;4.69;3.12;2.34;6.25;12.5;24.0
21;0.08479099420785904;0.28314;0.0778928384900093;0.3265;56.25;56.25;46.88;46.88;26.56;39.06;50.0;40.62;23.44;26.56;15.62;8.59;4.69;3.12;3.12;6.25;10.94;15.0;62.5;62.5;53.12;50.0;29.69;40.62;50.0;40.62;28.91;28.91;16.41;8.59;4.69;3.12;2.34;6.25;14.06;25.0
22;0.08311909470558167;0.2921;0.0777275330543518;0.3269;56.25;56.25;43.75;46.88;26.56;39.06;50.0;40.62;24.22;27.34;16.41;8.59;4.69;3.12;3.12;5.47;12.5;16.0;62.5;62.5;53.12;50.0;29.69;40.62;51.56;40.62;29.69;29.69;17.19;8.59;4.69;3.12;3.12;6.25;15.62;26.0
23;0.08175491518735886;0.30298;0.0775893367767334;0.3448;56.25;56.25;43.75;46.88;26.56;39.06;50.0;42.19;25.0;28.12;16.41;9.38;4.69;3.12;3.12;5.47;12.5;16.0;62.5;62.5;50.0;50.0;29.69;40.62;51.56;42.19;29.69;30.47;17.19;9.38;4.69;3.12;3.12;5.47;15.62;26.0
24;0.08030811898231506;0.31478;0.07642930556535721;0.3504;56.25;56.25;43.75;46.88;26.56;39.06;51.56;42.19;25.78;28.91;17.19;9.38;4.69;3.12;3.12;5.47;12.5;17.0;62.5;62.5;50.0;50.0;31.25;40.62;51.56;42.19;30.47;31.25;17.97;9.38;4.69;3.12;3.12;5.47;15.62;27.0
25;0.07913438808202744;0.32492;0.07335536012649536;0.3757;56.25;56.25;43.75;46.88;26.56;40.62;51.56;42.19;26.56;29.69;17.97;9.38;5.47;3.12;3.12;5.47;12.5;17.0;62.5;62.5;50.0;50.0;31.25;40.62;51.56;42.19;31.25;32.03;17.97;9.38;4.69;3.12;3.12;5.47;17.19;27.0
26;0.07818096719026565;0.33366;0.07464599523544312;0.3681;56.25;56.25;43.75;46.88;28.12;40.62;51.56;42.19;26.56;30.47;17.97;10.16;5.47;3.91;3.12;5.47;12.5;17.0;62.5;62.5;50.0;50.0;31.25;40.62;53.12;42.19;32.03;32.03;18.75;10.16;5.47;3.12;3.12;5.47;17.19;27.0
27;0.07707072331666946;0.34212;0.07170327018499374;0.3859;56.25;56.25;43.75;46.88;28.12;40.62;51.56;43.75;27.34;31.25;18.75;10.16;5.47;3.91;3.12;4.69;14.06;17.0;62.5;62.5;50.0;50.0;31.25;40.62;53.12;42.19;32.81;32.81;18.75;10.16;5.47;3.91;3.12;4.69;17.19;28.0
28;0.07621342526912689;0.34914;0.0716116418838501;0.3934;56.25;56.25;43.75;46.88;28.12;40.62;53.12;43.75;28.12;32.03;18.75;10.16;5.47;3.91;3.12;4.69;14.06;18.0;62.5;62.5;50.0;50.0;31.25;42.19;53.12;42.19;33.59;33.59;18.75;10.16;5.47;3.91;3.12;4.69;17.19;28.0
29;0.07553348478317261;0.35798;0.07304066977500916;0.3752;56.25;56.25;43.75;46.88;28.12;40.62;53.12;43.75;28.91;32.03;18.75;10.16;5.47;3.91;3.12;4.69;14.06;18.0;62.5;62.5;50.0;50.0;31.25;42.19;53.12;43.75;33.59;33.59;19.53;10.16;5.47;3.91;3.12;4.69;17.19;28.0
30;0.07462386137008667;0.36418;0.0716337480187416;0.392;56.25;56.25;43.75;46.88;28.12;42.19;53.12;45.31;29.69;32.81;19.53;10.16;5.47;3.91;3.12;3.91;14.06;18.0;62.5;62.5;46.88;50.0;31.25;42.19;53.12;43.75;34.38;34.38;19.53;10.16;5.47;3.91;3.12;3.91;18.75;28.0
31;0.07400737309932709;0.36704;0.07036605085134506;0.4071;56.25;56.25;43.75;46.88;28.12;42.19;53.12;45.31;30.47;33.59;19.53;10.16;5.47;3.91;3.12;3.91;14.06;18.0;62.5;56.25;46.88;50.0;31.25;42.19;53.12;43.75;35.16;35.16;20.31;10.16;5.47;3.91;3.12;3.91;18.75;29.0
32;0.07300596062898636;0.37512;0.0703930138707161;0.4052;56.25;56.25;43.75;46.88;28.12;42.19;53.12;45.31;30.47;33.59;20.31;10.94;5.47;3.91;3.12;3.91;14.06;18.0;62.5;62.5;46.88;50.0;31.25;42.19;53.12;43.75;35.16;35.16;20.31;10.94;5.47;3.91;3.12;3.91;18.75;29.0
33;0.0725264786887169;0.37852;0.0692466304063797;0.4153;56.25;56.25;43.75;46.88;28.12;42.19;53.12;45.31;31.25;34.38;20.31;10.94;5.47;3.91;3.12;3.91;14.06;18.0;62.5;62.5;46.88;50.0;31.25;42.19;53.12;43.75;35.94;35.94;20.31;10.94;5.47;3.91;3.12;3.91;18.75;29.0
34;0.0718643234372139;0.38364;0.06703558615446091;0.4312;56.25;56.25;43.75;46.88;28.12;42.19;53.12;45.31;32.03;35.16;20.31;10.94;5.47;3.91;3.12;3.12;14.06;18.0;62.5;56.25;46.88;50.0;31.25;42.19;53.12;43.75;35.94;35.94;21.09;10.94;5.47;3.91;3.12;3.12;18.75;29.0
35;0.07148095197677612;0.39072;0.06761269156932831;0.4272;56.25;56.25;43.75;46.88;28.12;42.19;53.12;46.88;32.03;35.16;21.09;10.94;6.25;3.91;3.12;3.12;14.06;18.0;62.5;56.25;46.88;50.0;31.25;42.19;53.12;43.75;36.72;36.72;21.09;10.94;5.47;3.91;3.12;3.12;18.75;29.0
36;0.07060010536670684;0.39388;0.0669027767419815;0.4326;56.25;56.25;43.75;46.88;28.12;42.19;53.12;46.88;32.81;35.94;21.09;10.94;6.25;3.91;3.12;3.12;14.06;19.0;62.5;56.25;46.88;50.0;31.25;42.19;53.12;43.75;36.72;36.72;21.88;10.94;5.47;3.91;3.12;3.12;18.75;30.0
37;0.07032341849327087;0.3988;0.07749056931734086;0.3544;56.25;56.25;43.75;46.88;28.12;42.19;53.12;46.88;32.81;35.94;21.88;11.72;6.25;3.91;3.12;2.34;15.62;19.0;62.5;56.25;46.88;50.0;31.25;42.19;53.12;45.31;37.5;37.5;21.88;10.94;5.47;3.91;3.12;2.34;20.31;30.0
38;0.06969710101604462;0.40342;0.06705547252893448;0.4318;56.25;56.25;43.75;46.88;28.12;42.19;53.12;46.88;33.59;36.72;21.88;11.72;6.25;3.91;3.12;2.34;15.62;19.0;56.25;56.25;46.88;46.88;31.25;42.19;53.12;45.31;37.5;37.5;21.88;11.72;6.25;3.91;3.12;2.34;20.31;30.0
39;0.06881641265153884;0.41066;0.06717804690599441;0.4379;56.25;56.25;43.75;46.88;28.12;42.19;53.12;46.88;34.38;36.72;22.66;11.72;6.25;3.91;3.12;2.34;15.62;19.0;56.25;56.25;46.88;46.88;31.25;42.19;53.12;45.31;38.28;38.28;22.66;11.72;6.25;3.91;3.12;2.34;20.31;30.0
40;0.06855057804584504;0.41612;0.06650460580587388;0.4348;56.25;56.25;43.75;46.88;28.12;42.19;53.12;46.88;34.38;37.5;22.66;11.72;6.25;3.91;3.12;2.34;15.62;19.0;62.5;56.25;46.88;46.88;31.25;42.19;53.12;45.31;38.28;38.28;22.66;11.72;6.25;3.91;3.12;2.34;20.31;30.0
41;0.0679334930896759;0.41924;0.06895841963291169;0.4209;56.25;56.25;43.75;46.88;28.12;42.19;54.69;46.88;35.16;37.5;23.44;12.5;6.25;3.91;3.12;2.34;15.62;19.0;62.5;56.25;46.88;46.88;31.25;42.19;53.12;45.31;39.06;38.28;23.44;11.72;6.25;3.91;3.12;1.56;20.31;30.0
42;0.06754140629291534;0.42228;0.06420336894989014;0.4549;56.25;56.25;43.75;46.88;28.12;42.19;54.69;46.88;35.16;38.28;23.44;12.5;6.25;3.91;3.12;1.56;15.62;19.0;62.5;56.25;46.88;46.88;31.25;42.19;53.12;45.31;39.06;39.06;23.44;11.72;6.25;3.91;3.12;1.56;20.31;30.0
43;0.06691542685508728;0.4281;0.06535996934175492;0.4482;56.25;56.25;43.75;46.88;28.12;42.19;54.69;46.88;35.94;38.28;23.44;12.5;6.25;3.91;3.12;1.56;17.19;19.0;62.5;56.25;43.75;46.88;31.25;42.19;53.12;45.31;39.84;39.06;23.44;12.5;6.25;3.91;3.12;1.56;21.88;30.0
44;0.06623493719339371;0.43232;0.06722465232610703;0.4343;56.25;56.25;43.75;46.88;28.12;42.19;54.69;46.88;35.94;39.06;24.22;12.5;6.25;3.91;3.12;1.56;17.19;19.0;62.5;56.25;43.75;46.88;31.25;42.19;53.12;45.31;39.84;39.84;24.22;12.5;6.25;3.91;3.12;1.56;21.88;30.0
45;0.06531810987234116;0.4374;0.06627390284538269;0.437;56.25;56.25;43.75;46.88;29.69;42.19;54.69;46.88;35.94;39.06;24.22;13.28;6.25;3.91;3.12;1.56;17.19;19.0;56.25;56.25;43.75;46.88;31.25;42.19;53.12;45.31;39.84;39.84;24.22;12.5;6.25;3.91;3.12;1.56;21.88;31.0
46;0.06495639302492141;0.44438;0.06417744312286378;0.4487;56.25;56.25;43.75;46.88;29.69;42.19;54.69;48.44;36.72;39.84;25.0;13.28;6.25;3.91;3.12;1.56;17.19;19.0;56.25;56.25;43.75;46.88;31.25;42.19;53.12;45.31;40.62;39.84;24.22;12.5;6.25;3.91;3.12;1.56;23.44;31.0
47;0.06449945412874222;0.44878;0.06458190271854401;0.4539;56.25;56.25;43.75;46.88;29.69;42.19;54.69;48.44;36.72;39.84;25.0;13.28;7.03;3.91;3.12;1.56;18.75;19.0;56.25;56.25;43.75;46.88;31.25;42.19;54.69;45.31;40.62;40.62;25.0;13.28;6.25;3.91;3.12;1.56;23.44;31.0
48;0.06387281970262527;0.45028;0.06395760118961334;0.456;56.25;56.25;43.75;46.88;29.69;42.19;54.69;48.44;37.5;39.84;25.0;14.06;7.03;3.91;3.12;1.56;18.75;19.0;56.25;56.25;43.75;46.88;31.25;42.19;54.69;45.31;41.41;40.62;25.0;13.28;6.25;3.91;3.12;1.56;23.44;31.0
49;0.06350785725355149;0.4552;0.07000685676336288;0.416;56.25;56.25;40.62;46.88;29.69;42.19;54.69;48.44;37.5;40.62;25.78;14.06;7.03;3.91;3.12;1.56;18.75;20.0;56.25;56.25;43.75;46.88;31.25;42.19;54.69;45.31;41.41;41.41;25.0;13.28;6.25;3.91;3.12;1.56;23.44;31.0
