;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.1333260883140564;0.0411;0.1239642867565155;0.0772;12.5;25.0;15.62;25.0;9.38;12.5;12.5;12.5;4.69;5.47;4.69;3.91;3.12;2.34;2.34;2.34;4.69;4.0;25.0;50.0;43.75;59.38;39.06;54.69;57.81;54.69;35.16;44.53;44.53;38.28;39.84;39.06;36.72;32.03;37.5;14.0
1;0.12204821650981904;0.07488;0.11810818164348602;0.0962;18.75;37.5;25.0;31.25;14.06;20.31;21.88;18.75;7.03;8.59;7.81;5.47;4.69;3.12;3.12;3.12;7.81;7.0;37.5;62.5;56.25;62.5;39.06;54.69;60.94;54.69;32.03;38.28;38.28;31.25;25.0;17.97;18.75;17.97;31.25;21.0
2;0.11434624262809753;0.10872;0.10662706441879273;0.146;25.0;50.0;31.25;37.5;15.62;25.0;28.12;23.44;9.38;10.94;9.38;7.03;4.69;3.91;3.91;3.91;10.94;10.0;50.0;68.75;56.25;59.38;37.5;51.56;60.94;51.56;28.91;35.16;33.59;25.78;20.31;12.5;13.28;16.41;31.25;25.0
3;0.10860369017601013;0.13318;0.10395057322978973;0.1633;31.25;50.0;34.38;40.62;17.19;28.12;34.38;26.56;10.94;12.5;10.16;7.81;5.47;3.91;3.91;4.69;12.5;11.0;56.25;68.75;56.25;59.38;37.5;48.44;60.94;50.0;28.12;32.81;29.69;22.66;16.41;9.38;10.16;13.28;29.69;26.0
4;0.1044215261220932;0.15772;0.10092937989234925;0.1803;37.5;56.25;34.38;40.62;18.75;31.25;39.06;31.25;11.72;14.06;10.94;7.81;6.25;3.91;3.91;5.47;12.5;13.0;56.25;68.75;56.25;56.25;35.94;46.88;60.94;48.44;27.34;30.47;25.78;18.75;14.06;7.81;7.81;12.5;28.12;26.0
5;0.10141746927261353;0.17632;0.09538735444545746;0.2116;37.5;56.25;37.5;43.75;20.31;32.81;42.19;32.81;13.28;15.62;11.72;8.59;6.25;3.91;3.91;5.47;14.06;14.0;56.25;68.75;56.25;53.12;35.94;45.31;60.94;48.44;28.12;29.69;23.44;17.19;12.5;7.03;5.47;10.94;26.56;26.0
6;0.09886075657367706;0.19216;0.09381596524715424;0.2283;43.75;56.25;37.5;43.75;21.88;32.81;45.31;35.94;14.84;16.41;11.72;8.59;6.25;4.69;3.12;6.25;15.62;14.0;62.5;68.75;56.25;53.12;35.94;43.75;60.94;48.44;28.91;28.12;21.88;15.62;10.94;6.25;3.91;10.16;25.0;25.0
7;0.09677634737491608;0.20496;0.09060605335235596;0.2486;43.75;56.25;40.62;43.75;23.44;34.38;46.88;37.5;15.62;17.97;12.5;8.59;7.03;3.91;3.12;6.25;15.62;15.0;62.5;68.75;56.25;53.12;35.94;42.19;60.94;48.44;28.91;28.12;20.31;14.84;10.16;5.47;3.91;10.16;23.44;25.0
8;0.09486050841331482;0.21716;0.09015427508354187;0.2399;43.75;56.25;40.62;43.75;23.44;34.38;48.44;39.06;17.19;18.75;13.28;8.59;7.03;3.91;3.12;6.25;14.06;15.0;62.5;62.5;56.25;53.12;34.38;40.62;59.38;48.44;30.47;28.12;19.53;13.28;9.38;4.69;3.12;10.94;21.88;25.0
9;0.09301429540634155;0.22864;0.08800433278083801;0.2642;43.75;56.25;40.62;43.75;23.44;35.94;50.0;40.62;18.75;19.53;13.28;8.59;7.03;3.91;3.12;7.03;14.06;16.0;56.25;62.5;56.25;50.0;34.38;40.62;60.94;48.44;31.25;27.34;18.75;12.5;8.59;4.69;3.12;10.16;21.88;25.0
