;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_features-7;training_accuracy;training_loss
0;75.0;50.0;25.0;31.25;12.5;31.25;31.25;34.38;28.12;25.0;51.56;59.38;50.0;70.31;76.56;81.25;75.0;12.5;0.511;0.005535793632268905;78.12;50.0;25.0;37.5;15.62;37.5;34.38;37.5;29.69;37.5;53.12;59.38;51.56;71.88;76.56;81.25;73.44;12.5;0.5095;0.005469930970668792
1;75.0;50.0;25.0;31.25;12.5;31.25;31.25;37.5;28.12;25.0;53.12;59.38;51.56;70.31;76.56;81.25;75.0;12.5;0.517;0.005534897476434707;78.12;50.0;25.0;37.5;15.62;37.5;34.38;40.62;29.69;37.5;53.12;59.38;51.56;71.88;76.56;81.25;73.44;12.5;0.5162;0.005461749112606049
2;75.0;50.0;25.0;37.5;12.5;34.38;31.25;37.5;28.12;37.5;53.12;60.94;51.56;71.88;76.56;82.81;76.56;12.5;0.5085;0.00553183850646019;78.12;50.0;25.0;37.5;15.62;37.5;34.38;40.62;29.69;37.5;53.12;59.38;51.56;71.88;76.56;81.25;73.44;12.5;0.5192;0.005456803131103516
3;75.0;50.0;25.0;37.5;12.5;34.38;31.25;37.5;29.69;37.5;53.12;60.94;51.56;71.88;76.56;82.81;76.56;12.5;0.519;0.005530736744403839;78.12;50.0;25.0;37.5;15.62;37.5;34.38;40.62;29.69;37.5;53.12;59.38;51.56;71.88;76.56;81.25;73.44;12.5;0.5327;0.005445784831047058
4;75.0;50.0;25.0;37.5;12.5;34.38;31.25;37.5;29.69;37.5;53.12;60.94;51.56;71.88;76.56;82.81;76.56;18.75;0.5265;0.005518220186233521;78.12;50.0;25.0;37.5;15.62;37.5;34.38;40.62;29.69;37.5;53.12;59.38;51.56;71.88;76.56;81.25;73.44;12.5;0.5278;0.005454273873567581
5;78.12;50.0;25.0;37.5;12.5;34.38;31.25;37.5;29.69;37.5;53.12;60.94;51.56;71.88;76.56;82.81;76.56;18.75;0.547;0.0054893759191036225;78.12;50.0;25.0;43.75;15.62;37.5;34.38;40.62;29.69;37.5;53.12;59.38;51.56;71.88;76.56;81.25;73.44;12.5;0.5414;0.005437493139505386
6;78.12;50.0;25.0;37.5;15.62;34.38;31.25;37.5;29.69;37.5;53.12;60.94;51.56;71.88;78.12;82.81;76.56;18.75;0.569;0.005458718299865723;78.12;50.0;25.0;43.75;15.62;37.5;37.5;40.62;29.69;37.5;53.12;59.38;51.56;71.88;76.56;81.25;73.44;18.75;0.5429;0.005429576694965362
7;78.12;50.0;37.5;37.5;15.62;34.38;31.25;37.5;29.69;37.5;53.12;60.94;51.56;71.88;78.12;82.81;76.56;18.75;0.578;0.005419579029083252;78.12;50.0;25.0;43.75;15.62;37.5;37.5;40.62;29.69;37.5;53.12;59.38;51.56;71.88;76.56;81.25;73.44;18.75;0.5659;0.005390063923597335
8;75.0;50.0;25.0;37.5;15.62;34.38;31.25;37.5;29.69;37.5;53.12;60.94;51.56;71.88;76.56;82.81;76.56;18.75;0.5865;0.005395821630954743;78.12;50.0;25.0;43.75;15.62;37.5;37.5;40.62;29.69;37.5;53.12;59.38;51.56;71.88;76.56;81.25;73.44;18.75;0.5629;0.005383910351991653
9;75.0;50.0;25.0;37.5;15.62;34.38;31.25;37.5;29.69;37.5;53.12;60.94;51.56;71.88;76.56;82.81;76.56;18.75;0.595;0.005369606047868729;78.12;50.0;25.0;43.75;18.75;37.5;37.5;40.62;31.25;37.5;53.12;59.38;51.56;71.88;76.56;81.25;73.44;18.75;0.5656;0.0053719052016735075
