;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.0214692826628685;0.5498;0.020846754640340807;0.612;25.0;37.5;18.75;31.25;18.75;25.0;34.38;40.62;25.0;39.06;40.62;40.62;60.94;62.5;54.69;45.31;21.88;0.0;25.0;37.5;25.0;43.75;25.0;34.38;43.75;50.0;35.94;54.69;54.69;56.25;71.88;79.69;76.56;73.44;78.12;50.0
1;0.020689955711364748;0.6053;0.020237668186426163;0.63;25.0;37.5;25.0;43.75;21.88;34.38;43.75;46.88;28.12;40.62;39.06;39.06;53.12;45.31;37.5;25.0;9.38;0.0;25.0;37.5;31.25;50.0;34.38;43.75;53.12;56.25;40.62;56.25;56.25;56.25;70.31;73.44;71.88;67.19;62.5;50.0
2;0.019928770706057548;0.6387;0.0195173532217741;0.6575;25.0;37.5;31.25;50.0;28.12;40.62;46.88;46.88;29.69;42.19;39.06;35.94;46.88;39.06;29.69;18.75;15.62;0.0;25.0;50.0;31.25;56.25;40.62;46.88;56.25;56.25;42.19;56.25;54.69;54.69;67.19;67.19;64.06;57.81;56.25;0.0
3;0.019240976825356484;0.6674;0.018569987148046495;0.7015;25.0;50.0;37.5;56.25;31.25;43.75;50.0;50.0;31.25;43.75;40.62;35.94;45.31;35.94;26.56;15.62;15.62;0.0;25.0;50.0;37.5;56.25;43.75;50.0;56.25;56.25;43.75;56.25;54.69;53.12;62.5;62.5;59.38;53.12;50.0;0.0
4;0.01839109756350517;0.6839;0.018053011029958724;0.7155;37.5;50.0;43.75;56.25;34.38;46.88;53.12;53.12;31.25;43.75;35.94;32.81;39.06;31.25;21.88;15.62;15.62;0.0;37.5;50.0;43.75;62.5;46.88;53.12;59.38;59.38;45.31;56.25;53.12;51.56;59.38;57.81;54.69;48.44;43.75;0.0
5;0.017662575855851174;0.7067;0.017661279678344726;0.694;37.5;50.0;43.75;62.5;37.5;46.88;53.12;53.12;31.25;39.06;31.25;26.56;32.81;25.0;18.75;15.62;15.62;0.0;37.5;50.0;50.0;62.5;50.0;56.25;59.38;59.38;45.31;56.25;50.0;48.44;54.69;54.69;51.56;43.75;37.5;0.0
6;0.017188457962870596;0.7176;0.01714971798658371;0.7125;37.5;50.0;43.75;62.5;40.62;50.0;56.25;53.12;31.25;40.62;31.25;26.56;31.25;25.0;18.75;15.62;15.62;0.0;37.5;50.0;50.0;62.5;50.0;56.25;62.5;62.5;45.31;53.12;46.88;45.31;50.0;50.0;48.44;40.62;34.38;0.0
7;0.01634658145904541;0.7407;0.016113721042871475;0.754;37.5;50.0;43.75;62.5;40.62;53.12;56.25;56.25;31.25;39.06;31.25;26.56;31.25;25.0;20.31;17.19;15.62;0.0;37.5;50.0;50.0;62.5;53.12;59.38;62.5;62.5;43.75;51.56;43.75;42.19;46.88;46.88;45.31;37.5;31.25;0.0
8;0.016065057787299157;0.7487;0.015049071192741395;0.766;37.5;62.5;50.0;62.5;40.62;53.12;59.38;56.25;29.69;35.94;26.56;25.0;28.12;23.44;20.31;17.19;15.62;0.0;37.5;62.5;50.0;62.5;53.12;59.38;62.5;62.5;42.19;48.44;40.62;40.62;45.31;45.31;45.31;35.94;28.12;0.0
9;0.015415432742238045;0.7533;0.01641924787312746;0.743;37.5;62.5;50.0;62.5;43.75;53.12;59.38;56.25;29.69;35.94;26.56;25.0;28.12;23.44;20.31;17.19;12.5;0.0;37.5;62.5;56.25;62.5;56.25;59.38;65.62;62.5;40.62;46.88;39.06;39.06;43.75;42.19;42.19;34.38;25.0;0.0
