;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.0013770958840847016;0.5368;0.0013806769251823426;0.5845;25.0;37.5;18.75;18.75;15.62;25.0;25.0;31.25;15.62;34.38;37.5;42.19;54.69;56.25;46.88;48.44;37.5;0.0;25.0;25.0;18.75;25.0;25.0;37.5;34.38;37.5;21.88;45.31;53.12;56.25;65.62;73.44;67.19;71.88;78.12;50.0
1;0.0013367526054382324;0.5907;0.0013155832290649414;0.6145;25.0;37.5;18.75;25.0;18.75;31.25;28.12;34.38;17.19;34.38;39.06;39.06;53.12;56.25;40.62;43.75;18.75;0.0;37.5;37.5;25.0;31.25;25.0;37.5;37.5;40.62;23.44;46.88;51.56;54.69;65.62;70.31;62.5;65.62;62.5;50.0
2;0.0012932652652263641;0.6222;0.0013840007334947587;0.607;25.0;37.5;25.0;25.0;21.88;34.38;34.38;37.5;20.31;37.5;40.62;40.62;53.12;53.12;37.5;28.12;9.38;0.0;37.5;37.5;25.0;31.25;28.12;40.62;37.5;43.75;25.0;46.88;51.56;53.12;64.06;67.19;59.38;60.94;53.12;0.0
3;0.001251823729276657;0.6449;0.0018791691958904267;0.566;25.0;37.5;25.0;31.25;25.0;37.5;34.38;40.62;21.88;37.5;35.94;34.38;45.31;43.75;28.12;15.62;6.25;0.0;37.5;37.5;31.25;31.25;28.12;43.75;40.62;43.75;26.56;46.88;50.0;51.56;62.5;65.62;54.69;54.69;46.88;0.0
4;0.0012070473670959473;0.6675;0.001210323765873909;0.664;37.5;37.5;25.0;31.25;28.12;37.5;37.5;40.62;23.44;39.06;37.5;35.94;45.31;43.75;28.12;15.62;6.25;0.0;37.5;37.5;31.25;31.25;31.25;43.75;40.62;46.88;26.56;46.88;50.0;50.0;60.94;62.5;51.56;50.0;43.75;0.0
5;0.00115958748459816;0.6873;0.0013829613327980043;0.646;37.5;37.5;25.0;31.25;28.12;40.62;37.5;43.75;25.0;40.62;37.5;34.38;43.75;40.62;26.56;15.62;6.25;0.0;37.5;37.5;31.25;37.5;31.25;43.75;40.62;46.88;28.12;48.44;50.0;50.0;59.38;60.94;48.44;46.88;37.5;0.0
6;0.0011403506457805634;0.6987;0.0011431532502174377;0.7185;37.5;37.5;31.25;31.25;28.12;40.62;40.62;43.75;25.0;40.62;37.5;34.38;43.75;40.62;25.0;15.62;6.25;0.0;37.5;37.5;31.25;37.5;34.38;46.88;43.75;50.0;28.12;48.44;50.0;48.44;57.81;59.38;46.88;45.31;37.5;0.0
7;0.0011085120201110839;0.7137;0.0012275700569152831;0.673;37.5;37.5;31.25;37.5;31.25;40.62;40.62;46.88;26.56;42.19;37.5;34.38;43.75;39.06;25.0;15.62;6.25;0.0;37.5;37.5;31.25;37.5;34.38;46.88;43.75;50.0;29.69;48.44;48.44;46.88;57.81;57.81;45.31;42.19;34.38;0.0
8;0.0010839036822319031;0.7179;0.0010882492661476136;0.7215;37.5;37.5;31.25;37.5;31.25;40.62;40.62;46.88;26.56;42.19;39.06;35.94;43.75;39.06;25.0;15.62;9.38;0.0;37.5;37.5;31.25;37.5;34.38;46.88;43.75;50.0;29.69;48.44;48.44;46.88;56.25;54.69;42.19;40.62;34.38;0.0
9;0.0010572810858488083;0.7294;0.0012484238296747207;0.69;37.5;37.5;31.25;37.5;31.25;43.75;43.75;50.0;28.12;42.19;39.06;34.38;43.75;37.5;23.44;15.62;9.38;0.0;37.5;37.5;37.5;37.5;34.38;46.88;43.75;50.0;31.25;48.44;48.44;45.31;56.25;54.69;40.62;37.5;31.25;0.0
10;0.0010393476605415344;0.7352;0.0014834120944142342;0.65;37.5;37.5;37.5;37.5;31.25;43.75;43.75;50.0;28.12;43.75;39.06;34.38;42.19;37.5;23.44;15.62;9.38;0.0;37.5;37.5;37.5;37.5;37.5;50.0;46.88;53.12;31.25;48.44;48.44;45.31;54.69;53.12;39.06;35.94;31.25;0.0
11;0.001018108093738556;0.7455;0.00106196828186512;0.7475;37.5;37.5;37.5;37.5;34.38;43.75;43.75;50.0;29.69;43.75;39.06;34.38;40.62;35.94;23.44;15.62;9.38;0.0;50.0;37.5;37.5;37.5;37.5;50.0;46.88;53.12;32.81;48.44;48.44;43.75;53.12;51.56;39.06;34.38;28.12;0.0
12;0.000999720126390457;0.7493;0.00102575321495533;0.7415;37.5;37.5;37.5;37.5;34.38;43.75;43.75;50.0;29.69;43.75;39.06;34.38;40.62;35.94;23.44;15.62;9.38;0.0;50.0;37.5;37.5;37.5;37.5;50.0;46.88;53.12;32.81;48.44;46.88;43.75;53.12;50.0;37.5;32.81;28.12;0.0
13;0.0009723747938871383;0.7614;0.0011302096396684648;0.7065;37.5;37.5;37.5;37.5;34.38;46.88;43.75;50.0;31.25;43.75;39.06;34.38;40.62;35.94;21.88;15.62;9.38;0.0;50.0;37.5;37.5;43.75;40.62;50.0;46.88;53.12;32.81;48.44;46.88;43.75;51.56;48.44;35.94;31.25;25.0;0.0
14;0.0009704155564308167;0.759;0.001104592427611351;0.729;37.5;37.5;37.5;37.5;34.38;46.88;46.88;53.12;31.25;43.75;37.5;34.38;40.62;34.38;21.88;15.62;9.38;0.0;50.0;37.5;37.5;43.75;40.62;50.0;46.88;53.12;32.81;48.44;46.88;42.19;51.56;48.44;34.38;29.69;25.0;0.0
15;0.0009705254316329956;0.7597;0.0010353814959526062;0.753;37.5;37.5;37.5;37.5;34.38;46.88;46.88;53.12;31.25;43.75;39.06;34.38;39.06;34.38;21.88;15.62;9.38;0.0;50.0;50.0;37.5;43.75;40.62;50.0;46.88;56.25;34.38;48.44;46.88;42.19;50.0;46.88;32.81;28.12;25.0;0.0
16;0.0009471108436584473;0.768;0.0009525000751018524;0.769;37.5;37.5;37.5;37.5;37.5;46.88;46.88;53.12;31.25;42.19;39.06;34.38;39.06;34.38;21.88;17.19;9.38;0.0;50.0;50.0;43.75;43.75;40.62;50.0;46.88;56.25;34.38;48.44;46.88;42.19;50.0;45.31;32.81;28.12;21.88;0.0
17;0.0009288674771785736;0.7792;0.0010109951943159104;0.751;37.5;50.0;37.5;37.5;37.5;46.88;46.88;53.12;32.81;43.75;39.06;34.38;39.06;32.81;21.88;17.19;9.38;0.0;50.0;50.0;43.75;43.75;40.62;50.0;46.88;56.25;34.38;48.44;46.88;40.62;48.44;45.31;31.25;26.56;21.88;0.0
18;0.0009220802336931228;0.7798;0.0009411598294973374;0.769;37.5;50.0;43.75;37.5;37.5;46.88;46.88;53.12;32.81;43.75;39.06;34.38;39.06;32.81;21.88;17.19;9.38;0.0;50.0;50.0;43.75;43.75;40.62;50.0;46.88;56.25;35.94;48.44;46.88;40.62;48.44;43.75;31.25;25.0;21.88;0.0
19;0.0009049074977636337;0.7806;0.0009605164527893066;0.769;37.5;50.0;43.75;37.5;37.5;46.88;46.88;53.12;32.81;43.75;39.06;34.38;39.06;32.81;21.88;17.19;9.38;0.0;50.0;50.0;43.75;43.75;43.75;50.0;46.88;56.25;35.94;48.44;45.31;40.62;48.44;43.75;29.69;25.0;21.88;0.0
