;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.3505085994899273;0.5089;0.34569999486207964;0.5;12.5;12.5;12.5;12.5;9.38;9.38;9.38;9.38;7.81;9.38;9.38;6.25;4.69;3.12;0.0;0.0;0.0;0.0;37.5;50.0;37.5;56.25;37.5;37.5;46.88;46.88;39.06;53.12;56.25;56.25;34.38;26.56;10.94;3.12;31.25;50.0
1;0.35000787155628205;0.5042;0.34639149272441866;0.5085;25.0;37.5;25.0;25.0;12.5;15.62;18.75;18.75;15.62;17.19;14.06;12.5;6.25;4.69;0.0;0.0;3.12;50.0;37.5;50.0;37.5;50.0;31.25;40.62;46.88;53.12;42.19;57.81;56.25;57.81;29.69;23.44;7.81;1.56;25.0;50.0
2;0.3493749645859003;0.5032;0.35265200402587654;0.517;25.0;37.5;25.0;25.0;12.5;18.75;18.75;21.88;14.06;14.06;12.5;9.38;4.69;3.12;0.0;0.0;3.12;0.0;37.5;50.0;31.25;43.75;25.0;40.62;46.88;56.25;45.31;57.81;54.69;54.69;26.56;21.88;6.25;1.56;25.0;50.0
3;0.3493920082479715;0.4997;0.3455095190256834;0.522;25.0;37.5;25.0;25.0;12.5;18.75;21.88;25.0;17.19;15.62;14.06;10.94;6.25;4.69;0.0;0.0;3.12;0.0;37.5;50.0;31.25;31.25;25.0;40.62;50.0;56.25;46.88;57.81;54.69;54.69;25.0;21.88;6.25;1.56;21.88;50.0
4;0.3491154474169016;0.4992;0.3511299137473106;0.5305;25.0;50.0;25.0;18.75;12.5;18.75;25.0;25.0;17.19;17.19;14.06;12.5;6.25;4.69;0.0;0.0;3.12;0.0;37.5;50.0;25.0;25.0;21.88;37.5;50.0;56.25;46.88;57.81;54.69;53.12;23.44;20.31;6.25;0.0;21.88;50.0
5;0.3484725515604019;0.5011;0.3454024209529161;0.5205;25.0;37.5;25.0;18.75;12.5;21.88;25.0;25.0;18.75;17.19;14.06;12.5;6.25;4.69;0.0;0.0;3.12;0.0;37.5;50.0;25.0;25.0;18.75;37.5;50.0;56.25;45.31;56.25;53.12;51.56;21.88;18.75;4.69;0.0;21.88;50.0
6;0.3485874681323767;0.4992;0.3456453025043011;0.517;25.0;37.5;25.0;18.75;12.5;21.88;25.0;28.12;20.31;18.75;15.62;14.06;6.25;4.69;0.0;0.0;3.12;0.0;37.5;50.0;25.0;25.0;18.75;37.5;50.0;56.25;45.31;54.69;51.56;50.0;21.88;18.75;4.69;0.0;21.88;50.0
7;0.3483954539388418;0.4885;0.34699804651737215;0.501;25.0;37.5;25.0;18.75;9.38;21.88;25.0;28.12;20.31;20.31;17.19;14.06;7.81;6.25;0.0;0.0;3.12;0.0;25.0;50.0;25.0;25.0;15.62;37.5;50.0;56.25;45.31;53.12;50.0;48.44;21.88;18.75;4.69;0.0;21.88;50.0
8;0.3482941195845604;0.4963;0.34665023048222066;0.518;25.0;37.5;25.0;18.75;12.5;25.0;28.12;31.25;23.44;21.88;18.75;17.19;9.38;6.25;1.56;0.0;3.12;0.0;25.0;50.0;25.0;25.0;18.75;37.5;50.0;56.25;45.31;54.69;50.0;50.0;21.88;20.31;4.69;0.0;25.0;50.0
9;0.34798064875602724;0.4959;0.348969554156065;0.485;25.0;37.5;25.0;18.75;12.5;25.0;28.12;31.25;23.44;23.44;18.75;17.19;9.38;6.25;1.56;0.0;6.25;0.0;25.0;50.0;25.0;25.0;18.75;37.5;53.12;59.38;46.88;54.69;50.0;50.0;21.88;20.31;4.69;0.0;25.0;50.0
