;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.0885370932340622;0.5045;0.08674973756074905;0.5035;12.5;25.0;12.5;18.75;12.5;18.75;15.62;15.62;9.38;9.38;7.81;6.25;7.81;7.81;4.69;3.12;3.12;50.0;25.0;50.0;18.75;31.25;31.25;40.62;34.38;34.38;21.88;26.56;26.56;21.88;31.25;35.94;31.25;21.88;18.75;0.0
1;0.08719997580647469;0.5109;0.086363853007555;0.521;25.0;25.0;18.75;31.25;18.75;25.0;21.88;25.0;14.06;15.62;14.06;12.5;14.06;14.06;10.94;7.81;6.25;50.0;25.0;50.0;25.0;37.5;37.5;43.75;40.62;37.5;23.44;26.56;26.56;23.44;31.25;34.38;31.25;23.44;25.0;0.0
2;0.08597804043889046;0.5479;0.08237903660535813;0.6335;25.0;50.0;31.25;37.5;25.0;31.25;31.25;31.25;17.19;20.31;20.31;17.19;20.31;18.75;14.06;9.38;9.38;0.0;25.0;50.0;31.25;43.75;43.75;50.0;43.75;43.75;28.12;31.25;29.69;26.56;34.38;35.94;32.81;25.0;28.12;0.0
3;0.08229487028419971;0.6112;0.0753823047876358;0.676;37.5;50.0;31.25;37.5;31.25;37.5;37.5;37.5;20.31;23.44;21.88;18.75;20.31;20.31;15.62;10.94;9.38;0.0;37.5;62.5;37.5;50.0;46.88;53.12;46.88;46.88;29.69;32.81;32.81;29.69;35.94;37.5;32.81;25.0;25.0;0.0
4;0.07848003741502761;0.6548;0.07295583087205887;0.689;37.5;62.5;37.5;43.75;34.38;40.62;40.62;40.62;20.31;25.0;21.88;20.31;21.88;21.88;15.62;10.94;6.25;0.0;50.0;62.5;43.75;50.0;50.0;53.12;50.0;46.88;31.25;34.38;32.81;31.25;35.94;39.06;32.81;25.0;21.88;0.0
5;0.0732470220953226;0.6919;0.06819684766232967;0.7255;37.5;62.5;37.5;43.75;34.38;43.75;40.62;40.62;20.31;25.0;20.31;18.75;21.88;20.31;15.62;10.94;6.25;0.0;50.0;62.5;43.75;50.0;50.0;53.12;50.0;50.0;29.69;34.38;31.25;29.69;35.94;37.5;31.25;23.44;21.88;0.0
6;0.07139971268475055;0.7037;0.06626011668145657;0.7355;37.5;62.5;37.5;43.75;34.38;43.75;40.62;40.62;18.75;25.0;20.31;18.75;21.88;20.31;15.62;10.94;6.25;0.0;50.0;62.5;43.75;43.75;46.88;53.12;50.0;46.88;28.12;32.81;29.69;29.69;34.38;35.94;29.69;21.88;18.75;0.0
7;0.07080780261456966;0.7064;0.06571956132352352;0.7475;50.0;62.5;37.5;43.75;34.38;43.75;40.62;40.62;18.75;23.44;20.31;18.75;21.88;20.31;15.62;9.38;6.25;0.0;50.0;62.5;43.75;43.75;46.88;50.0;50.0;46.88;26.56;32.81;29.69;28.12;34.38;34.38;29.69;20.31;18.75;0.0
8;0.06958809193223715;0.7169;0.06556086349487304;0.748;50.0;62.5;37.5;43.75;34.38;43.75;40.62;40.62;18.75;23.44;20.31;18.75;21.88;20.31;14.06;9.38;6.25;0.0;50.0;62.5;43.75;43.75;43.75;50.0;46.88;46.88;26.56;31.25;28.12;28.12;32.81;34.38;28.12;20.31;18.75;0.0
9;0.06831269222646952;0.7218;0.06513722341507673;0.7595;50.0;62.5;37.5;37.5;37.5;43.75;40.62;40.62;18.75;23.44;18.75;18.75;20.31;20.31;14.06;9.38;6.25;0.0;50.0;50.0;43.75;43.75;43.75;46.88;46.88;46.88;25.0;31.25;26.56;28.12;32.81;32.81;26.56;18.75;18.75;0.0
10;0.0675220653399825;0.727;0.06298989783227443;0.7555;50.0;62.5;37.5;37.5;37.5;43.75;40.62;40.62;18.75;23.44;18.75;18.75;20.31;20.31;14.06;9.38;6.25;0.0;50.0;50.0;43.75;43.75;43.75;46.88;46.88;43.75;25.0;31.25;26.56;26.56;31.25;32.81;26.56;18.75;15.62;0.0
