;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_features-7;training_accuracy;training_loss
0;28.12;0.0;25.0;25.0;15.62;28.12;25.0;34.38;25.0;37.5;43.75;53.12;48.44;65.62;73.44;68.75;70.31;18.75;0.1947;0.01593678033351898;68.75;10.0;25.0;31.25;25.0;34.38;31.25;40.62;29.69;50.0;53.12;59.38;54.69;70.31;78.12;75.0;76.56;18.75;0.16482;0.017003386883735656
1;28.12;10.0;25.0;31.25;21.88;31.25;28.12;37.5;26.56;50.0;43.75;53.12;48.44;64.06;71.88;65.62;67.19;25.0;0.253;0.015050881886482239;62.5;10.0;25.0;31.25;28.12;37.5;31.25;40.62;29.69;50.0;50.0;57.81;53.12;68.75;76.56;71.88;73.44;25.0;0.21798;0.015515514214038848
2;28.12;20.0;25.0;31.25;25.0;34.38;28.12;37.5;28.12;50.0;45.31;53.12;48.44;62.5;71.88;65.62;65.62;25.0;0.2945;0.014376181507110595;59.38;20.0;37.5;31.25;31.25;40.62;31.25;40.62;31.25;62.5;50.0;56.25;51.56;67.19;75.0;70.31;71.88;25.0;0.26342;0.014819079258441925
3;31.25;20.0;37.5;37.5;25.0;37.5;31.25;37.5;28.12;62.5;43.75;51.56;48.44;62.5;70.31;64.06;64.06;25.0;0.3333;0.013655372989177704;59.38;20.0;37.5;37.5;31.25;40.62;34.38;40.62;31.25;62.5;48.44;56.25;51.56;65.62;73.44;68.75;68.75;25.0;0.29462;0.014236437525749206
4;31.25;20.0;37.5;37.5;25.0;37.5;31.25;37.5;28.12;62.5;43.75;51.56;46.88;60.94;68.75;62.5;64.06;25.0;0.3499;0.013268688714504241;59.38;20.0;37.5;37.5;31.25;43.75;34.38;40.62;31.25;62.5;48.44;56.25;51.56;64.06;73.44;67.19;68.75;25.0;0.31634;0.01378691079378128
5;34.38;20.0;37.5;37.5;28.12;37.5;31.25;37.5;28.12;62.5;43.75;51.56;46.88;59.38;68.75;60.94;62.5;25.0;0.3809;0.012847548282146454;59.38;20.0;50.0;37.5;31.25;43.75;34.38;40.62;31.25;62.5;48.44;54.69;50.0;64.06;71.88;65.62;67.19;31.25;0.344;0.013355622622966766
6;34.38;20.0;50.0;37.5;28.12;40.62;31.25;40.62;29.69;62.5;43.75;51.56;46.88;59.38;67.19;60.94;62.5;31.25;0.418;0.012238215470314026;59.38;20.0;50.0;37.5;31.25;43.75;34.38;40.62;32.81;62.5;48.44;54.69;50.0;62.5;71.88;65.62;67.19;31.25;0.37072;0.01295070732831955
7;37.5;20.0;50.0;37.5;28.12;40.62;31.25;40.62;29.69;62.5;43.75;51.56;46.88;59.38;67.19;59.38;62.5;31.25;0.4426;0.011768959021568298;59.38;20.0;50.0;37.5;31.25;43.75;34.38;40.62;32.81;62.5;48.44;54.69;50.0;62.5;70.31;64.06;65.62;31.25;0.39754;0.012531667025089264
8;37.5;30.0;50.0;43.75;28.12;40.62;31.25;40.62;29.69;62.5;43.75;51.56;46.88;57.81;65.62;59.38;60.94;31.25;0.4665;0.011286884796619415;59.38;30.0;50.0;43.75;31.25;43.75;37.5;40.62;32.81;62.5;48.44;54.69;50.0;60.94;70.31;62.5;65.62;31.25;0.42318;0.012122074570655823
9;37.5;30.0;50.0;43.75;28.12;43.75;31.25;40.62;29.69;62.5;45.31;51.56;46.88;57.81;65.62;57.81;60.94;31.25;0.4929;0.010957372772693635;59.38;30.0;50.0;43.75;31.25;46.88;37.5;40.62;32.81;62.5;48.44;54.69;50.0;60.94;68.75;62.5;65.62;31.25;0.44948;0.011762978219985962
10;37.5;30.0;50.0;43.75;28.12;43.75;34.38;40.62;29.69;62.5;45.31;51.56;46.88;57.81;65.62;57.81;60.94;31.25;0.5051;0.010631390821933746;59.38;30.0;50.0;43.75;31.25;46.88;37.5;40.62;32.81;62.5;48.44;54.69;50.0;60.94;68.75;62.5;64.06;31.25;0.46736;0.011397656679153443
11;37.5;30.0;50.0;43.75;28.12;43.75;34.38;40.62;31.25;62.5;43.75;50.0;45.31;56.25;65.62;57.81;60.94;31.25;0.5199;0.010339918160438537;56.25;30.0;50.0;43.75;31.25;46.88;37.5;40.62;32.81;62.5;48.44;54.69;48.44;59.38;68.75;60.94;64.06;31.25;0.4872;0.011072730185985565
12;37.5;30.0;50.0;50.0;28.12;43.75;34.38;40.62;31.25;62.5;43.75;50.0;45.31;56.25;64.06;56.25;59.38;31.25;0.5339;0.010073969686031341;56.25;30.0;50.0;43.75;31.25;46.88;37.5;40.62;32.81;62.5;46.88;53.12;48.44;59.38;67.19;60.94;64.06;31.25;0.4982;0.010850591106414795
13;34.38;30.0;50.0;50.0;28.12;43.75;34.38;40.62;31.25;62.5;43.75;50.0;45.31;56.25;64.06;56.25;59.38;31.25;0.5435;0.009924920344352722;56.25;40.0;50.0;50.0;31.25;46.88;37.5;43.75;32.81;62.5;46.88;53.12;48.44;59.38;67.19;59.38;62.5;31.25;0.51078;0.010615745410919189
14;34.38;30.0;50.0;50.0;28.12;43.75;34.38;40.62;31.25;62.5;43.75;50.0;45.31;56.25;64.06;56.25;59.38;37.5;0.5574;0.009648986041545867;56.25;40.0;50.0;50.0;31.25;46.88;37.5;43.75;32.81;62.5;46.88;53.12;48.44;59.38;67.19;59.38;62.5;31.25;0.52006;0.010365492622852326
15;34.38;40.0;50.0;50.0;28.12;43.75;34.38;40.62;31.25;62.5;43.75;50.0;45.31;54.69;64.06;56.25;59.38;37.5;0.5677;0.009410944366455077;53.12;40.0;50.0;50.0;31.25;46.88;37.5;43.75;32.81;62.5;46.88;53.12;48.44;57.81;67.19;59.38;62.5;37.5;0.53124;0.01016573315858841
