;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.0143315452003479;0.2888;0.012510006630420685;0.3902;25.0;37.5;25.0;37.5;9.38;21.88;21.88;21.88;9.38;14.06;9.38;10.94;6.25;4.69;4.69;3.12;9.38;20.0;37.5;37.5;50.0;56.25;31.25;46.88;46.88;46.88;32.81;46.88;45.31;43.75;43.75;34.38;35.94;23.44;37.5;20.0
1;0.011964213681221008;0.41928;0.010805567967891692;0.4801;25.0;37.5;31.25;43.75;12.5;28.12;31.25;31.25;14.06;20.31;15.62;15.62;9.38;7.81;6.25;4.69;12.5;20.0;37.5;37.5;50.0;62.5;31.25;46.88;50.0;50.0;37.5;50.0;46.88;46.88;37.5;28.12;31.25;18.75;34.38;20.0
2;0.010949928901195526;0.48588;0.010424124646186828;0.5151;37.5;37.5;37.5;50.0;18.75;34.38;37.5;34.38;17.19;26.56;21.88;18.75;14.06;9.38;7.81;6.25;15.62;30.0;50.0;50.0;56.25;62.5;34.38;50.0;53.12;53.12;39.06;53.12;48.44;46.88;37.5;25.0;28.12;15.62;31.25;30.0
3;0.010083984878063203;0.53482;0.009711635529994964;0.557;37.5;50.0;37.5;50.0;21.88;37.5;40.62;37.5;20.31;31.25;25.0;21.88;15.62;10.94;9.38;6.25;18.75;40.0;50.0;50.0;56.25;62.5;34.38;53.12;53.12;53.12;40.62;54.69;50.0;46.88;35.94;21.88;25.0;14.06;28.12;40.0
4;0.009369893307685851;0.56954;0.00892305418252945;0.5952;50.0;50.0;37.5;50.0;25.0;43.75;43.75;43.75;25.0;34.38;28.12;25.0;18.75;10.94;10.94;6.25;18.75;40.0;62.5;50.0;56.25;62.5;34.38;53.12;56.25;53.12;42.19;54.69;50.0;46.88;35.94;20.31;23.44;12.5;28.12;40.0
5;0.00882382872223854;0.60334;0.008164754909276963;0.6378;50.0;50.0;43.75;50.0;25.0;43.75;46.88;43.75;26.56;37.5;31.25;28.12;20.31;12.5;10.94;7.81;21.88;40.0;62.5;50.0;50.0;62.5;37.5;53.12;56.25;53.12;43.75;56.25;50.0;46.88;35.94;20.31;20.31;10.94;25.0;50.0
6;0.008288207395076751;0.63112;0.007696312326192856;0.6579;50.0;50.0;43.75;50.0;28.12;46.88;46.88;46.88;29.69;40.62;34.38;29.69;21.88;12.5;12.5;7.81;21.88;40.0;62.5;50.0;50.0;62.5;37.5;53.12;56.25;56.25;45.31;57.81;50.0;46.88;35.94;18.75;20.31;10.94;28.12;50.0
7;0.007916260106563568;0.64802;0.007325704962015152;0.6741;62.5;62.5;43.75;50.0;31.25;46.88;50.0;50.0;31.25;42.19;35.94;32.81;21.88;12.5;12.5;7.81;21.88;40.0;62.5;50.0;50.0;62.5;37.5;53.12;56.25;56.25;46.88;57.81;51.56;46.88;34.38;18.75;18.75;9.38;28.12;50.0
8;0.007515118485689163;0.66372;0.007626018089056015;0.6625;62.5;62.5;43.75;50.0;31.25;46.88;50.0;50.0;34.38;45.31;37.5;34.38;23.44;14.06;12.5;7.81;21.88;40.0;62.5;62.5;50.0;62.5;37.5;53.12;56.25;56.25;48.44;57.81;51.56;46.88;34.38;17.19;17.19;9.38;28.12;50.0
9;0.007315242922306061;0.67796;0.006882018160820008;0.6973;62.5;62.5;43.75;50.0;31.25;50.0;50.0;53.12;35.94;46.88;40.62;35.94;23.44;12.5;12.5;7.81;21.88;40.0;62.5;62.5;50.0;56.25;40.62;53.12;56.25;56.25;50.0;59.38;53.12;46.88;32.81;17.19;17.19;9.38;28.12;50.0
