;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.004338921570777893;0.15146;0.004000363743305206;0.2035;25.0;37.5;18.75;31.25;12.5;25.0;25.0;25.0;26.56;40.62;46.88;42.19;62.5;64.06;64.06;62.5;25.0;0.0;62.5;50.0;18.75;43.75;18.75;34.38;34.38;28.12;31.25;50.0;54.69;51.56;68.75;73.44;73.44;73.44;71.88;20.0
1;0.0037467118883132934;0.24494;0.0036734461069107055;0.2773;37.5;37.5;25.0;37.5;15.62;31.25;31.25;31.25;26.56;39.06;43.75;39.06;59.38;59.38;57.81;56.25;18.75;10.0;62.5;50.0;25.0;50.0;25.0;40.62;37.5;34.38;34.38;50.0;53.12;50.0;67.19;70.31;70.31;68.75;65.62;20.0
2;0.003480184109210968;0.30646;0.003358308148384094;0.3515;50.0;37.5;31.25;37.5;18.75;31.25;34.38;34.38;28.12;40.62;43.75;40.62;59.38;59.38;59.38;56.25;21.88;20.0;62.5;50.0;31.25;50.0;28.12;40.62;40.62;37.5;35.94;50.0;53.12;48.44;65.62;68.75;68.75;65.62;62.5;20.0
3;0.003306457064151764;0.35564;0.003148246502876282;0.3986;50.0;50.0;31.25;43.75;21.88;34.38;37.5;34.38;28.12;42.19;43.75;39.06;57.81;57.81;57.81;54.69;28.12;20.0;62.5;50.0;31.25;56.25;28.12;43.75;40.62;37.5;35.94;50.0;53.12;48.44;64.06;67.19;67.19;64.06;59.38;20.0
4;0.0031377683877944944;0.3968;0.0029659438014030455;0.4462;50.0;50.0;37.5;50.0;25.0;37.5;40.62;37.5;29.69;42.19;45.31;39.06;56.25;56.25;57.81;54.69;28.12;20.0;62.5;50.0;37.5;56.25;31.25;43.75;43.75;37.5;35.94;50.0;51.56;46.88;62.5;65.62;65.62;62.5;59.38;20.0
5;0.0029927848505973817;0.43552;0.0029388485550880432;0.4433;50.0;50.0;37.5;50.0;28.12;40.62;40.62;37.5;29.69;43.75;45.31;40.62;56.25;56.25;57.81;53.12;31.25;30.0;62.5;50.0;37.5;56.25;31.25;43.75;43.75;40.62;35.94;50.0;51.56;46.88;60.94;64.06;65.62;60.94;56.25;30.0
6;0.0028587502241134645;0.46768;0.002728059637546539;0.4996;62.5;50.0;37.5;50.0;28.12;40.62;40.62;40.62;31.25;45.31;45.31;40.62;54.69;54.69;56.25;53.12;31.25;30.0;62.5;50.0;37.5;56.25;34.38;46.88;46.88;40.62;35.94;50.0;51.56;45.31;60.94;62.5;64.06;60.94;53.12;30.0
7;0.002710467414855957;0.49888;0.002580553185939789;0.5326;62.5;50.0;37.5;50.0;31.25;43.75;40.62;40.62;31.25;45.31;45.31;40.62;54.69;54.69;56.25;53.12;31.25;30.0;62.5;50.0;37.5;62.5;34.38;46.88;46.88;40.62;37.5;50.0;51.56;45.31;59.38;60.94;62.5;59.38;53.12;30.0
8;0.0025906777834892275;0.52622;0.002417807698249817;0.5618;62.5;50.0;37.5;50.0;31.25;43.75;40.62;40.62;32.81;45.31;46.88;40.62;54.69;54.69;56.25;51.56;31.25;30.0;75.0;50.0;37.5;62.5;34.38;46.88;46.88;43.75;37.5;50.0;51.56;45.31;59.38;60.94;62.5;59.38;50.0;30.0
9;0.0024707418060302736;0.55094;0.0023052879214286804;0.5865;62.5;50.0;37.5;50.0;31.25;43.75;43.75;40.62;32.81;46.88;46.88;40.62;53.12;53.12;56.25;51.56;31.25;30.0;75.0;50.0;43.75;62.5;34.38;46.88;46.88;43.75;37.5;50.0;51.56;45.31;57.81;59.38;62.5;57.81;46.88;40.0
10;0.002391122841835022;0.57008;0.002342539167404175;0.5812;62.5;50.0;43.75;50.0;31.25;43.75;43.75;40.62;32.81;46.88;46.88;42.19;53.12;53.12;56.25;51.56;34.38;40.0;75.0;50.0;43.75;56.25;34.38;46.88;46.88;43.75;37.5;51.56;51.56;45.31;57.81;59.38;60.94;57.81;46.88;40.0
11;0.002320876257419586;0.58114;0.002266243612766266;0.5895;62.5;50.0;43.75;50.0;31.25;43.75;43.75;40.62;34.38;46.88;46.88;42.19;53.12;53.12;54.69;50.0;34.38;40.0;75.0;50.0;43.75;56.25;34.38;46.88;46.88;43.75;37.5;51.56;51.56;45.31;56.25;57.81;60.94;56.25;46.88;40.0
12;0.0022605568981170655;0.59116;0.0022527077317237854;0.6014;62.5;50.0;43.75;50.0;31.25;46.88;43.75;43.75;34.38;48.44;48.44;42.19;51.56;53.12;54.69;50.0;34.38;40.0;75.0;50.0;43.75;56.25;34.38;46.88;46.88;43.75;37.5;51.56;51.56;45.31;56.25;57.81;59.38;56.25;43.75;40.0
13;0.002192910737991333;0.60728;0.002107595878839493;0.623;62.5;50.0;43.75;56.25;34.38;46.88;43.75;43.75;34.38;48.44;48.44;42.19;51.56;51.56;54.69;50.0;34.38;40.0;75.0;62.5;43.75;56.25;37.5;46.88;46.88;43.75;37.5;51.56;51.56;45.31;56.25;57.81;59.38;54.69;43.75;50.0
14;0.0021459433269500733;0.61638;0.002141355812549591;0.6211;62.5;50.0;43.75;56.25;34.38;46.88;43.75;43.75;34.38;48.44;48.44;42.19;51.56;51.56;54.69;48.44;31.25;50.0;75.0;62.5;43.75;56.25;37.5;46.88;46.88;43.75;37.5;51.56;51.56;45.31;56.25;56.25;59.38;54.69;40.62;50.0
15;0.0020936827981472015;0.62684;0.0021601669669151307;0.6159;62.5;50.0;43.75;50.0;34.38;46.88;43.75;43.75;34.38;48.44;48.44;42.19;51.56;51.56;53.12;48.44;31.25;50.0;75.0;62.5;43.75;56.25;37.5;46.88;46.88;43.75;39.06;51.56;51.56;45.31;54.69;56.25;57.81;54.69;40.62;50.0
16;0.0020616164660453794;0.62908;0.0020233842611312868;0.6397;62.5;50.0;43.75;50.0;34.38;46.88;43.75;43.75;34.38;48.44;48.44;42.19;51.56;51.56;53.12;48.44;31.25;50.0;75.0;62.5;43.75;56.25;37.5;46.88;46.88;43.75;39.06;51.56;51.56;45.31;54.69;56.25;57.81;53.12;40.62;50.0
17;0.0020208582890033724;0.6388;0.0019392187714576722;0.6521;75.0;50.0;43.75;50.0;34.38;46.88;43.75;43.75;35.94;48.44;48.44;42.19;51.56;51.56;53.12;46.88;31.25;50.0;75.0;62.5;43.75;56.25;37.5;46.88;46.88;43.75;39.06;51.56;51.56;45.31;54.69;56.25;57.81;53.12;40.62;50.0
