;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_features-7;training_accuracy;training_loss
0;40.62;10.0;25.0;37.5;18.75;25.0;28.12;31.25;21.88;25.0;48.44;51.56;51.56;65.62;73.44;65.62;56.25;18.75;0.2225;0.00439925229549408;78.12;80.0;25.0;37.5;21.88;31.25;34.38;37.5;25.0;25.0;54.69;56.25;54.69;68.75;79.69;75.0;71.88;18.75;0.15578;0.004465328998565674
1;21.88;10.0;25.0;43.75;21.88;28.12;34.38;34.38;21.88;37.5;48.44;50.0;48.44;62.5;67.19;57.81;48.44;18.75;0.2738;0.003935984838008881;65.62;30.0;25.0;43.75;25.0;34.38;37.5;37.5;25.0;25.0;54.69;54.69;54.69;67.19;76.56;70.31;64.06;18.75;0.23212;0.004117673931121826
2;18.75;10.0;25.0;43.75;25.0;34.38;37.5;34.38;23.44;37.5;46.88;48.44;46.88;59.38;64.06;53.12;42.19;25.0;0.3336;0.003544894802570343;59.38;10.0;25.0;43.75;31.25;37.5;40.62;40.62;26.56;37.5;54.69;56.25;53.12;64.06;73.44;65.62;60.94;25.0;0.28138;0.0036961529994010926
3;21.88;20.0;25.0;50.0;28.12;34.38;37.5;37.5;25.0;50.0;46.88;46.88;45.31;56.25;60.94;50.0;40.62;25.0;0.3694;0.0032974549293518065;56.25;20.0;37.5;50.0;31.25;37.5;40.62;40.62;28.12;50.0;54.69;54.69;53.12;62.5;70.31;62.5;57.81;25.0;0.3402;0.003427848246097565
4;25.0;20.0;25.0;50.0;31.25;37.5;40.62;37.5;26.56;50.0;46.88;46.88;43.75;53.12;59.38;46.88;37.5;31.25;0.4066;0.003108520412445068;56.25;20.0;37.5;50.0;34.38;40.62;43.75;43.75;31.25;50.0;54.69;54.69;53.12;60.94;68.75;59.38;54.69;31.25;0.38988;0.003189193785190582
5;25.0;30.0;37.5;50.0;31.25;37.5;40.62;40.62;28.12;50.0;48.44;48.44;45.31;53.12;57.81;45.31;35.94;31.25;0.4724;0.0028514381408691405;53.12;30.0;37.5;50.0;37.5;40.62;43.75;43.75;32.81;50.0;56.25;56.25;53.12;60.94;67.19;57.81;53.12;31.25;0.4409;0.0029667768239974974
6;28.12;30.0;37.5;50.0;34.38;40.62;43.75;40.62;29.69;50.0;50.0;50.0;45.31;51.56;57.81;45.31;34.38;31.25;0.5137;0.002651188170909882;50.0;30.0;37.5;50.0;37.5;43.75;46.88;43.75;35.94;50.0;57.81;56.25;53.12;59.38;67.19;56.25;50.0;31.25;0.48032;0.002798226568698883
7;28.12;30.0;37.5;50.0;34.38;40.62;43.75;43.75;32.81;50.0;50.0;50.0;46.88;51.56;56.25;43.75;32.81;31.25;0.5491;0.00248150737285614;46.88;40.0;37.5;50.0;40.62;43.75;46.88;46.88;37.5;50.0;57.81;57.81;53.12;57.81;65.62;54.69;46.88;31.25;0.51472;0.0026409429240226746
8;28.12;40.0;37.5;56.25;37.5;40.62;46.88;43.75;34.38;62.5;51.56;51.56;46.88;50.0;56.25;43.75;31.25;31.25;0.5547;0.0024473649144172668;43.75;40.0;50.0;56.25;40.62;43.75;46.88;46.88;39.06;62.5;59.38;57.81;54.69;57.81;64.06;53.12;45.31;31.25;0.53952;0.0025153311562538146
9;28.12;40.0;37.5;50.0;37.5;43.75;46.88;46.88;35.94;62.5;53.12;53.12;48.44;50.0;56.25;42.19;29.69;31.25;0.5887;0.0023347575902938843;43.75;40.0;50.0;56.25;40.62;43.75;50.0;50.0;40.62;62.5;59.38;57.81;54.69;56.25;64.06;51.56;43.75;31.25;0.55862;0.0024254247999191286
