3;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_features-7;training_accuracy;training_loss
0;3.12;10.0;25.0;25.0;9.38;12.5;9.38;9.38;4.69;25.0;3.12;3.12;3.12;1.56;3.12;1.56;1.56;18.75;0.2457;0.23783382250070573;28.12;20.0;62.5;62.5;46.88;59.38;50.0;50.0;39.06;50.0;37.5;34.38;32.81;26.56;32.81;25.0;21.88;50.0;0.20252;0.2519932184505463
1;9.38;20.0;37.5;37.5;15.62;21.88;18.75;15.62;9.38;50.0;7.81;6.25;6.25;4.69;4.69;3.12;3.12;25.0;0.3666;0.20571462494134904;28.12;30.0;75.0;62.5;50.0;50.0;46.88;46.88;35.94;62.5;34.38;26.56;26.56;9.38;18.75;15.62;20.31;50.0;0.30646;0.22477985362768174
2;9.38;30.0;50.0;37.5;18.75;28.12;25.0;21.88;12.5;50.0;10.94;7.81;6.25;4.69;6.25;4.69;4.69;31.25;0.433;0.18646283500790595;25.0;30.0;75.0;56.25;46.88;46.88;43.75;43.75;34.38;62.5;31.25;18.75;18.75;6.25;10.94;9.38;15.62;50.0;0.35894;0.2099767271077633
3;12.5;30.0;62.5;37.5;25.0;31.25;31.25;28.12;15.62;62.5;14.06;9.38;7.81;4.69;6.25;4.69;6.25;37.5;0.4633;0.1810069824576378;21.88;30.0;75.0;50.0;46.88;46.88;43.75;40.62;31.25;75.0;31.25;15.62;15.62;4.69;9.38;7.81;14.06;50.0;0.39018;0.20197600316047667
4;18.75;30.0;62.5;37.5;25.0;34.38;34.38;28.12;17.19;62.5;17.19;10.94;9.38;6.25;7.81;6.25;6.25;37.5;0.5235;0.16711510447859765;28.12;30.0;75.0;50.0;46.88;46.88;43.75;37.5;31.25;75.0;31.25;14.06;15.62;6.25;9.38;7.81;10.94;56.25;0.42686;0.1925451774442196
5;18.75;40.0;75.0;43.75;28.12;37.5;37.5;31.25;18.75;62.5;18.75;12.5;10.94;6.25;7.81;6.25;4.69;43.75;0.5156;0.1684693390727043;31.25;40.0;75.0;50.0;46.88;46.88;46.88;37.5;31.25;75.0;29.69;14.06;15.62;6.25;9.38;7.81;7.81;56.25;0.48512;0.17795541801929474
6;21.88;40.0;75.0;43.75;31.25;40.62;43.75;34.38;21.88;62.5;21.88;12.5;10.94;6.25;7.81;7.81;4.69;43.75;0.5378;0.16436940855383872;34.38;40.0;75.0;50.0;46.88;46.88;46.88;37.5;31.25;75.0;31.25;14.06;14.06;6.25;7.81;7.81;6.25;56.25;0.5214;0.16839010711789132
7;21.88;40.0;75.0;43.75;34.38;40.62;43.75;37.5;23.44;62.5;23.44;14.06;10.94;6.25;7.81;7.81;4.69;50.0;0.5864;0.14103764562010765;34.38;50.0;75.0;50.0;46.88;50.0;50.0;37.5;31.25;75.0;31.25;15.62;14.06;6.25;7.81;7.81;4.69;62.5;0.54608;0.16113712700128555
8;25.0;40.0;75.0;43.75;34.38;43.75;46.88;37.5;25.0;62.5;25.0;14.06;12.5;6.25;7.81;7.81;3.12;50.0;0.5842;0.14952186746299267;37.5;50.0;75.0;50.0;46.88;50.0;50.0;37.5;31.25;75.0;31.25;15.62;14.06;6.25;7.81;7.81;3.12;62.5;0.56054;0.15620386374771594
9;28.12;50.0;75.0;43.75;34.38;43.75;46.88;37.5;25.0;62.5;26.56;15.62;12.5;6.25;9.38;7.81;3.12;50.0;0.6312;0.13211356191039086;37.5;50.0;75.0;50.0;46.88;50.0;50.0;37.5;31.25;75.0;32.81;15.62;14.06;6.25;9.38;7.81;3.12;56.25;0.57786;0.15172205023288726
10;28.12;50.0;75.0;50.0;34.38;43.75;50.0;40.62;26.56;75.0;28.12;15.62;12.5;7.81;9.38;6.25;3.12;50.0;0.6063;0.14680598666667938;40.62;50.0;75.0;50.0;46.88;50.0;50.0;37.5;32.81;75.0;32.81;17.19;14.06;6.25;9.38;7.81;3.12;56.25;0.60188;0.14557771633327007
11;31.25;50.0;75.0;50.0;34.38;46.88;50.0;40.62;26.56;62.5;29.69;17.19;12.5;7.81;9.38;6.25;3.12;50.0;0.5996;0.14828101063370705;40.62;50.0;75.0;50.0;46.88;50.0;53.12;40.62;32.81;75.0;34.38;17.19;14.06;6.25;9.38;6.25;3.12;62.5;0.62366;0.13993256189405917
