;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.54245092212677;0.03338;0.5097986684322358;0.061;25.0;25.0;18.75;25.0;9.38;12.5;12.5;18.75;9.38;10.94;10.94;7.81;10.94;7.81;4.69;4.69;9.38;4.0;62.5;62.5;43.75;56.25;34.38;43.75;46.88;50.0;40.62;50.0;46.88;45.31;53.12;45.31;28.12;34.38;40.62;51.0
1;0.5221453296852112;0.04866;0.4937907404899597;0.079;37.5;37.5;31.25;43.75;15.62;25.0;21.88;28.12;12.5;17.19;17.19;12.5;15.62;10.94;6.25;6.25;15.62;7.0;62.5;62.5;50.0;62.5;40.62;50.0;53.12;53.12;40.62;50.0;50.0;40.62;46.88;37.5;20.31;28.12;43.75;50.0
2;0.514103461728096;0.0559;0.48409421179294587;0.0817;50.0;50.0;37.5;50.0;21.88;34.38;34.38;34.38;17.19;23.44;21.88;15.62;17.19;12.5;6.25;7.81;18.75;10.0;62.5;62.5;50.0;68.75;40.62;56.25;56.25;56.25;40.62;51.56;51.56;35.94;40.62;32.81;14.06;25.0;43.75;49.0
3;0.507485907459259;0.0607;0.47794164378643034;0.0887;50.0;50.0;37.5;50.0;28.12;40.62;37.5;40.62;20.31;28.12;26.56;17.19;17.19;12.5;6.25;9.38;21.88;12.0;62.5;50.0;50.0;68.75;40.62;59.38;59.38;56.25;39.06;51.56;51.56;34.38;37.5;29.69;10.94;25.0;43.75;48.0
4;0.49992864863872527;0.0695;0.4642659085988998;0.1026;50.0;50.0;43.75;56.25;28.12;46.88;43.75;46.88;23.44;31.25;29.69;18.75;18.75;14.06;7.81;12.5;25.0;13.0;75.0;62.5;50.0;62.5;40.62;59.38;59.38;59.38;39.06;53.12;53.12;32.81;34.38;26.56;10.94;25.0;46.88;47.0
5;0.48105228095054625;0.0922;0.45113067734241485;0.1259;50.0;50.0;37.5;50.0;28.12;46.88;43.75;46.88;23.44;32.81;29.69;18.75;17.19;12.5;6.25;12.5;25.0;12.0;62.5;50.0;50.0;62.5;34.38;59.38;56.25;56.25;37.5;51.56;50.0;29.69;29.69;23.44;9.38;21.88;43.75;41.0
6;0.47682769911289213;0.09568;0.4461490124940872;0.1345;50.0;50.0;37.5;50.0;25.0;46.88;43.75;43.75;23.44;32.81;29.69;18.75;15.62;12.5;6.25;10.94;25.0;11.0;62.5;50.0;43.75;56.25;31.25;56.25;56.25;53.12;34.38;50.0;46.88;28.12;25.0;20.31;7.81;18.75;43.75;34.0
7;0.4742238883304596;0.09684;0.4429349930047989;0.1394;50.0;50.0;37.5;50.0;25.0;46.88;43.75;43.75;23.44;32.81;29.69;17.19;15.62;10.94;6.25;10.94;21.88;11.0;62.5;50.0;43.75;56.25;28.12;56.25;53.12;53.12;32.81;46.88;45.31;25.0;21.88;18.75;7.81;17.19;40.62;29.0
8;0.47255621292591093;0.09852;0.4418670841932297;0.1373;50.0;37.5;37.5;50.0;25.0;46.88;43.75;43.75;23.44;32.81;29.69;17.19;14.06;10.94;6.25;10.94;21.88;10.0;62.5;50.0;37.5;56.25;28.12;53.12;53.12;53.12;31.25;46.88;43.75;25.0;20.31;15.62;7.81;15.62;40.62;25.0
9;0.47083183295249936;0.1004;0.43763613250255584;0.1456;50.0;37.5;37.5;50.0;25.0;43.75;43.75;43.75;23.44;32.81;29.69;17.19;14.06;9.38;6.25;10.94;21.88;10.0;62.5;37.5;37.5;50.0;28.12;53.12;50.0;50.0;29.69;45.31;42.19;23.44;18.75;14.06;7.81;14.06;37.5;22.0
10;0.4668144647550583;0.10504;0.4380248989105225;0.142;50.0;37.5;37.5;50.0;25.0;43.75;43.75;43.75;23.44;31.25;29.69;17.19;12.5;9.38;6.25;10.94;21.88;9.0;50.0;37.5;37.5;50.0;25.0;53.12;50.0;50.0;28.12;43.75;42.19;21.88;17.19;14.06;6.25;14.06;37.5;19.0
11;0.46611795333862305;0.10566;0.43716361742019655;0.1456;50.0;37.5;37.5;50.0;25.0;43.75;43.75;43.75;21.88;31.25;29.69;17.19;12.5;9.38;6.25;9.38;21.88;9.0;50.0;37.5;37.5;50.0;25.0;53.12;50.0;50.0;26.56;42.19;40.62;21.88;15.62;12.5;6.25;12.5;37.5;17.0
12;0.4655921461105347;0.1084;0.4395485181093216;0.1376;50.0;37.5;37.5;43.75;21.88;43.75;43.75;43.75;21.88;31.25;29.69;17.19;10.94;9.38;6.25;9.38;21.88;8.0;50.0;37.5;37.5;50.0;25.0;50.0;46.88;46.88;26.56;42.19;39.06;20.31;14.06;10.94;6.25;12.5;37.5;16.0
13;0.4654794781446457;0.10606;0.4386689571619034;0.1449;37.5;37.5;37.5;43.75;21.88;43.75;43.75;43.75;21.88;31.25;29.69;15.62;10.94;9.38;4.69;9.38;21.88;8.0;50.0;37.5;37.5;50.0;21.88;50.0;46.88;46.88;25.0;40.62;39.06;18.75;14.06;10.94;6.25;12.5;34.38;15.0
14;0.46487209363937376;0.10886;0.4367104468822479;0.1488;37.5;37.5;37.5;43.75;21.88;43.75;40.62;40.62;21.88;31.25;28.12;15.62;10.94;9.38;4.69;9.38;21.88;8.0;50.0;37.5;31.25;50.0;21.88;50.0;46.88;46.88;25.0;40.62;37.5;18.75;12.5;10.94;6.25;10.94;34.38;14.0
