;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5458912063217163;0.0307;0.5117098047494888;0.0474;25.0;37.5;25.0;25.0;9.38;9.38;9.38;9.38;4.69;3.12;3.12;3.12;3.12;3.12;3.12;3.12;9.38;4.0;62.5;50.0;56.25;68.75;43.75;53.12;53.12;53.12;34.38;37.5;37.5;39.06;42.19;32.81;34.38;31.25;50.0;36.0
1;0.5199804159545899;0.046;0.4909569357395172;0.0693;37.5;37.5;31.25;37.5;12.5;21.88;21.88;18.75;7.81;9.38;7.81;6.25;6.25;4.69;4.69;4.69;15.62;6.0;75.0;62.5;62.5;62.5;40.62;56.25;53.12;50.0;25.0;31.25;31.25;26.56;25.0;14.06;18.75;23.44;46.88;42.0
2;0.5038614486217499;0.06324;0.48173650059700013;0.0838;50.0;50.0;37.5;43.75;18.75;28.12;28.12;25.0;10.94;12.5;10.94;9.38;9.38;6.25;6.25;6.25;15.62;8.0;75.0;62.5;68.75;62.5;37.5;56.25;50.0;43.75;21.88;28.12;26.56;18.75;18.75;9.38;12.5;21.88;43.75;42.0
3;0.4926649020767212;0.07254;0.465742831158638;0.0963;62.5;50.0;43.75;43.75;25.0;34.38;34.38;28.12;12.5;14.06;12.5;9.38;9.38;6.25;6.25;7.81;21.88;11.0;75.0;62.5;68.75;62.5;37.5;56.25;50.0;43.75;21.88;28.12;23.44;15.62;15.62;7.81;7.81;21.88;43.75;42.0
4;0.4844546246576309;0.07992;0.4648042567253113;0.0936;62.5;50.0;50.0;50.0;25.0;37.5;37.5;31.25;12.5;15.62;14.06;9.38;9.38;6.25;6.25;7.81;21.88;13.0;75.0;62.5;68.75;62.5;37.5;56.25;50.0;43.75;20.31;28.12;21.88;12.5;12.5;6.25;7.81;17.19;40.62;41.0
5;0.4790441528558731;0.08518;0.4611064020633697;0.0982;62.5;50.0;50.0;50.0;28.12;40.62;40.62;34.38;14.06;17.19;14.06;9.38;9.38;6.25;6.25;7.81;25.0;13.0;75.0;62.5;62.5;62.5;37.5;56.25;50.0;40.62;20.31;28.12;18.75;12.5;10.94;6.25;6.25;10.94;40.62;39.0
6;0.4749957525920868;0.08924;0.4485705706119537;0.1131;62.5;50.0;50.0;50.0;28.12;43.75;40.62;34.38;15.62;17.19;14.06;9.38;9.38;6.25;6.25;7.81;25.0;13.0;75.0;62.5;62.5;56.25;34.38;56.25;50.0;40.62;20.31;26.56;17.19;10.94;9.38;6.25;6.25;9.38;40.62;38.0
7;0.4710867101764679;0.0933;0.4527993322610855;0.1071;62.5;62.5;56.25;50.0;28.12;46.88;43.75;34.38;17.19;18.75;14.06;9.38;9.38;6.25;6.25;7.81;28.12;13.0;75.0;62.5;62.5;56.25;34.38;56.25;50.0;40.62;20.31;26.56;15.62;10.94;9.38;6.25;6.25;7.81;40.62;36.0
8;0.46650405921936033;0.09696;0.4462344493865967;0.1216;62.5;62.5;56.25;50.0;28.12;46.88;43.75;37.5;17.19;20.31;14.06;9.38;9.38;7.81;6.25;7.81;28.12;14.0;75.0;62.5;62.5;56.25;34.38;53.12;50.0;40.62;21.88;26.56;15.62;9.38;9.38;6.25;6.25;7.81;43.75;35.0
9;0.46227882430553435;0.10358;0.4608886556148529;0.098;62.5;62.5;50.0;50.0;28.12;46.88;46.88;37.5;18.75;21.88;14.06;9.38;10.94;7.81;6.25;6.25;31.25;14.0;75.0;62.5;56.25;56.25;34.38;53.12;50.0;37.5;21.88;26.56;15.62;9.38;9.38;7.81;6.25;6.25;43.75;34.0
