;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_features-7;training_accuracy;training_loss
0;75.0;50.0;25.0;37.5;12.5;18.75;25.0;37.5;31.25;25.0;53.12;59.38;53.12;71.88;68.75;75.0;75.0;25.0;0.5595;0.02170394891500473;81.25;50.0;25.0;37.5;25.0;25.0;31.25;37.5;34.38;25.0;56.25;59.38;56.25;71.88;71.88;75.0;78.12;25.0;0.5117;0.021681204438209534
1;75.0;50.0;25.0;37.5;18.75;25.0;31.25;37.5;34.38;25.0;53.12;59.38;53.12;71.88;68.75;71.88;75.0;25.0;0.567;0.021428130954504014;81.25;50.0;25.0;37.5;25.0;25.0;31.25;37.5;34.38;25.0;56.25;62.5;56.25;71.88;71.88;75.0;78.12;25.0;0.5271;0.021605232220888136
2;75.0;50.0;50.0;37.5;25.0;25.0;31.25;43.75;34.38;50.0;53.12;59.38;53.12;71.88;68.75;71.88;75.0;25.0;0.584;0.02134492674469948;81.25;50.0;50.0;37.5;31.25;31.25;37.5;43.75;37.5;50.0;56.25;62.5;56.25;71.88;68.75;75.0;75.0;25.0;0.5443;0.02151501213312149
3;75.0;50.0;50.0;50.0;31.25;25.0;31.25;43.75;37.5;25.0;56.25;59.38;53.12;71.88;68.75;71.88;75.0;25.0;0.581;0.021328387022018433;81.25;50.0;50.0;37.5;31.25;31.25;37.5;43.75;37.5;50.0;56.25;62.5;56.25;71.88;68.75;75.0;75.0;25.0;0.5572;0.021410005342960357
4;68.75;0.0;50.0;50.0;31.25;25.0;37.5;43.75;37.5;50.0;56.25;59.38;56.25;71.88;68.75;71.88;75.0;25.0;0.5845;0.02110294798016548;81.25;50.0;50.0;50.0;31.25;31.25;37.5;43.75;40.62;50.0;56.25;62.5;56.25;71.88;68.75;75.0;75.0;25.0;0.5652;0.021272932225465776
5;68.75;0.0;50.0;50.0;31.25;31.25;37.5;43.75;37.5;50.0;56.25;59.38;56.25;71.88;68.75;71.88;75.0;25.0;0.6115;0.020883316725492478;75.0;50.0;50.0;50.0;37.5;31.25;37.5;43.75;40.62;50.0;56.25;62.5;56.25;71.88;68.75;75.0;75.0;25.0;0.5828;0.021137518280744554
6;68.75;0.0;50.0;50.0;31.25;31.25;37.5;43.75;40.62;50.0;56.25;59.38;56.25;71.88;68.75;71.88;75.0;25.0;0.6145;0.02083222845196724;75.0;50.0;50.0;50.0;37.5;31.25;37.5;43.75;40.62;50.0;56.25;62.5;56.25;71.88;68.75;75.0;75.0;25.0;0.5859;0.020925120961666106
7;62.5;0.0;50.0;50.0;37.5;31.25;37.5;43.75;40.62;50.0;56.25;59.38;56.25;71.88;68.75;71.88;75.0;25.0;0.6155;0.020648996263742447;75.0;0.0;50.0;50.0;37.5;31.25;37.5;43.75;40.62;50.0;56.25;62.5;56.25;71.88;68.75;71.88;75.0;37.5;0.5912;0.020918718469142915
8;62.5;0.0;50.0;50.0;37.5;31.25;43.75;43.75;40.62;50.0;56.25;59.38;56.25;71.88;68.75;71.88;75.0;25.0;0.6235;0.02056551146507263;68.75;0.0;50.0;50.0;37.5;31.25;43.75;43.75;40.62;50.0;56.25;62.5;56.25;71.88;68.75;71.88;75.0;37.5;0.604;0.020701749885082246
9;56.25;0.0;50.0;50.0;37.5;31.25;43.75;43.75;40.62;50.0;56.25;62.5;56.25;71.88;68.75;71.88;71.88;37.5;0.6095;0.02048005998134613;68.75;0.0;50.0;50.0;37.5;31.25;43.75;43.75;40.62;50.0;56.25;62.5;56.25;71.88;68.75;71.88;75.0;37.5;0.6061;0.020638675892353058
