;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.08726637362241745;0.5193;0.0851717539280653;0.5555;0.0;25.0;25.0;12.5;12.5;25.0;25.0;25.0;15.62;21.88;25.0;28.12;34.38;28.12;21.88;15.62;18.75;0.0;25.0;25.0;50.0;37.5;43.75;50.0;43.75;50.0;40.62;53.12;56.25;56.25;62.5;65.62;59.38;53.12;50.0;0.0
1;0.0853457295268774;0.5706;0.08118260921537876;0.628;25.0;50.0;25.0;25.0;18.75;31.25;31.25;31.25;21.88;31.25;31.25;31.25;37.5;31.25;25.0;21.88;25.0;0.0;25.0;50.0;50.0;50.0;43.75;50.0;50.0;56.25;43.75;53.12;53.12;53.12;62.5;59.38;50.0;50.0;50.0;0.0
2;0.08273913540840148;0.6084;0.08083757507801057;0.6255;25.0;50.0;37.5;37.5;31.25;43.75;43.75;37.5;25.0;37.5;31.25;34.38;40.62;34.38;25.0;21.88;25.0;0.0;25.0;75.0;50.0;62.5;50.0;56.25;50.0;62.5;46.88;53.12;53.12;53.12;59.38;56.25;46.88;46.88;43.75;0.0
3;0.07994465494155883;0.6428;0.07766987512260676;0.648;50.0;50.0;50.0;50.0;31.25;43.75;43.75;43.75;28.12;37.5;31.25;34.38;40.62;34.38;21.88;21.88;25.0;0.0;25.0;75.0;62.5;62.5;50.0;56.25;56.25;62.5;46.88;56.25;50.0;53.12;56.25;53.12;43.75;43.75;43.75;0.0
4;0.07866605000197888;0.6535;0.07464056885242462;0.669;50.0;50.0;50.0;62.5;37.5;50.0;50.0;50.0;28.12;40.62;31.25;34.38;40.62;31.25;21.88;21.88;31.25;0.0;50.0;75.0;62.5;62.5;50.0;62.5;56.25;62.5;46.88;56.25;50.0;53.12;56.25;53.12;40.62;40.62;50.0;0.0
5;0.07551071710586547;0.6815;0.07352634903043509;0.6735;50.0;50.0;50.0;62.5;37.5;50.0;50.0;43.75;28.12;40.62;31.25;31.25;40.62;28.12;21.88;21.88;25.0;0.0;50.0;75.0;62.5;62.5;50.0;56.25;56.25;56.25;43.75;53.12;46.88;53.12;56.25;50.0;40.62;40.62;43.75;0.0
6;0.07433437457084656;0.6913;0.071307212844491;0.702;50.0;50.0;50.0;62.5;37.5;50.0;50.0;43.75;28.12;37.5;28.12;31.25;40.62;28.12;18.75;18.75;25.0;0.0;50.0;75.0;50.0;62.5;50.0;56.25;56.25;56.25;43.75;53.12;43.75;50.0;53.12;50.0;37.5;37.5;43.75;0.0
7;0.0736681817740202;0.6887;0.07078320744633675;0.709;50.0;75.0;37.5;62.5;31.25;43.75;50.0;43.75;28.12;37.5;28.12;31.25;37.5;28.12;18.75;18.75;25.0;0.0;50.0;75.0;50.0;62.5;43.75;56.25;56.25;56.25;40.62;53.12;43.75;46.88;53.12;46.88;34.38;34.38;43.75;0.0
8;0.07371065500378608;0.6887;0.06998376086354256;0.7275;50.0;75.0;37.5;62.5;31.25;43.75;50.0;43.75;28.12;37.5;28.12;31.25;37.5;28.12;18.75;18.75;25.0;0.0;50.0;75.0;50.0;62.5;43.75;56.25;56.25;56.25;40.62;50.0;40.62;46.88;53.12;46.88;34.38;31.25;43.75;0.0
9;0.07283020029366016;0.6941;0.068396952688694;0.734;75.0;75.0;37.5;62.5;31.25;43.75;50.0;43.75;28.12;37.5;28.12;31.25;37.5;25.0;18.75;18.75;25.0;0.0;50.0;75.0;50.0;62.5;43.75;56.25;56.25;50.0;37.5;50.0;40.62;46.88;50.0;43.75;31.25;31.25;43.75;0.0
