;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_features-7;training_accuracy;training_loss
0;12.5;10.0;50.0;25.0;12.5;18.75;18.75;25.0;18.75;25.0;28.12;18.75;18.75;21.88;9.38;9.38;6.25;12.5;0.3072;0.054384017431735994;43.75;10.0;75.0;37.5;31.25;50.0;43.75;43.75;50.0;25.0;62.5;56.25;59.38;65.62;59.38;62.5;53.12;25.0;0.2191;0.06315466533184051
1;18.75;10.0;50.0;37.5;18.75;25.0;31.25;37.5;25.0;25.0;31.25;25.0;25.0;21.88;9.38;12.5;9.38;25.0;0.338;0.05190661998987198;31.25;10.0;75.0;37.5;31.25;50.0;43.75;50.0;53.12;50.0;65.62;62.5;59.38;59.38;50.0;56.25;34.38;37.5;0.29702;0.05537717911958694
2;18.75;10.0;50.0;37.5;18.75;31.25;37.5;43.75;31.25;25.0;37.5;31.25;28.12;21.88;12.5;15.62;12.5;25.0;0.3819;0.04926063423156738;31.25;10.0;75.0;50.0;37.5;50.0;50.0;56.25;56.25;50.0;65.62;62.5;62.5;53.12;43.75;50.0;21.88;37.5;0.33562;0.053324789531230925
3;25.0;20.0;75.0;37.5;18.75;43.75;43.75;50.0;37.5;25.0;40.62;37.5;31.25;21.88;18.75;21.88;12.5;37.5;0.4084;0.04792562371492386;31.25;20.0;75.0;50.0;37.5;50.0;56.25;56.25;59.38;50.0;65.62;65.62;62.5;50.0;37.5;46.88;21.88;50.0;0.38554;0.050433359429836275
4;25.0;20.0;75.0;37.5;25.0;43.75;50.0;50.0;40.62;25.0;46.88;40.62;34.38;25.0;21.88;21.88;15.62;37.5;0.4855;0.04310313697457314;31.25;20.0;75.0;50.0;37.5;56.25;56.25;62.5;59.38;50.0;68.75;65.62;62.5;43.75;34.38;40.62;21.88;50.0;0.42924;0.04791030300378799
5;25.0;20.0;75.0;37.5;25.0;50.0;56.25;56.25;43.75;50.0;53.12;46.88;37.5;25.0;21.88;21.88;15.62;37.5;0.5277;0.04028135871887207;31.25;30.0;75.0;50.0;37.5;56.25;62.5;62.5;59.38;50.0;68.75;65.62;62.5;40.62;31.25;37.5;21.88;50.0;0.47048;0.04573217106580734
6;31.25;30.0;75.0;37.5;25.0;56.25;56.25;56.25;43.75;50.0;53.12;46.88;40.62;25.0;25.0;21.88;15.62;50.0;0.5461;0.0389854009270668;31.25;30.0;75.0;50.0;37.5;62.5;62.5;62.5;62.5;50.0;68.75;65.62;62.5;37.5;28.12;34.38;21.88;50.0;0.49444;0.044205630749464035
7;31.25;30.0;75.0;37.5;25.0;56.25;56.25;56.25;46.88;50.0;56.25;50.0;43.75;25.0;21.88;21.88;15.62;50.0;0.5612;0.03770183697938919;31.25;30.0;75.0;37.5;37.5;62.5;62.5;62.5;62.5;50.0;68.75;65.62;62.5;34.38;25.0;31.25;18.75;50.0;0.51656;0.04265491061091423
8;25.0;30.0;75.0;37.5;31.25;56.25;62.5;56.25;46.88;50.0;56.25;50.0;43.75;25.0;21.88;21.88;15.62;50.0;0.5822;0.03656199614405632;31.25;30.0;75.0;37.5;37.5;62.5;62.5;62.5;62.5;50.0;68.75;65.62;59.38;34.38;25.0;28.12;18.75;50.0;0.53454;0.041582961683273315
9;31.25;30.0;75.0;37.5;31.25;56.25;62.5;56.25;50.0;50.0;59.38;53.12;43.75;25.0;21.88;21.88;15.62;50.0;0.5872;0.03599919477701187;31.25;30.0;75.0;37.5;37.5;62.5;62.5;62.5;62.5;50.0;68.75;65.62;59.38;31.25;25.0;25.0;18.75;62.5;0.54704;0.04053676877260208
