;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.004173793172836304;0.21962;0.0038706947684288024;0.2531;50.0;25.0;25.0;37.5;12.5;31.25;25.0;31.25;15.62;31.25;28.12;18.75;34.38;34.38;25.0;15.62;12.5;10.0;50.0;25.0;25.0;37.5;25.0;43.75;37.5;43.75;31.25;53.12;46.88;40.62;62.5;65.62;62.5;62.5;50.0;10.0
1;0.0036029802989959716;0.28014;0.00355880366563797;0.3022;50.0;25.0;37.5;37.5;18.75;37.5;25.0;37.5;21.88;34.38;31.25;21.88;34.38;37.5;25.0;15.62;12.5;10.0;50.0;25.0;37.5;50.0;25.0;43.75;43.75;43.75;34.38;53.12;46.88;40.62;59.38;62.5;59.38;50.0;43.75;10.0
2;0.0034381364321708677;0.31532;0.003373815417289734;0.3434;50.0;25.0;37.5;37.5;18.75;37.5;31.25;37.5;21.88;37.5;34.38;28.12;37.5;40.62;28.12;15.62;12.5;10.0;50.0;25.0;37.5;50.0;25.0;50.0;43.75;43.75;37.5;53.12;46.88;40.62;56.25;59.38;56.25;43.75;37.5;10.0
3;0.003324126341342926;0.346;0.0032622238636016844;0.3655;50.0;25.0;37.5;37.5;18.75;43.75;37.5;43.75;25.0;40.62;37.5;31.25;40.62;40.62;31.25;18.75;18.75;10.0;50.0;25.0;37.5;50.0;25.0;50.0;43.75;50.0;37.5;53.12;50.0;40.62;56.25;59.38;53.12;34.38;31.25;10.0
4;0.0032240086364746096;0.37502;0.00316202574968338;0.3962;50.0;25.0;37.5;37.5;18.75;43.75;37.5;43.75;28.12;43.75;40.62;34.38;40.62;40.62;31.25;18.75;18.75;20.0;50.0;25.0;37.5;50.0;25.0;50.0;43.75;50.0;37.5;56.25;50.0;43.75;56.25;59.38;50.0;31.25;31.25;20.0
5;0.0031438586020469663;0.39406;0.003021865701675415;0.4346;50.0;25.0;37.5;37.5;18.75;43.75;43.75;50.0;31.25;46.88;43.75;34.38;43.75;43.75;34.38;18.75;25.0;20.0;50.0;25.0;37.5;50.0;25.0;50.0;50.0;50.0;40.62;56.25;53.12;46.88;56.25;59.38;50.0;28.12;31.25;20.0
6;0.0030581301045417785;0.41682;0.0029815364718437194;0.4464;50.0;25.0;37.5;37.5;18.75;43.75;43.75;50.0;34.38;50.0;43.75;37.5;43.75;43.75;34.38;18.75;25.0;20.0;50.0;25.0;37.5;37.5;25.0;56.25;50.0;56.25;40.62;56.25;53.12;46.88;56.25;56.25;46.88;25.0;31.25;20.0
7;0.002986656813621521;0.43804;0.002937261986732483;0.4624;50.0;50.0;37.5;37.5;18.75;50.0;43.75;50.0;34.38;50.0;46.88;40.62;46.88;43.75;34.38;18.75;25.0;20.0;50.0;50.0;37.5;37.5;25.0;56.25;50.0;56.25;40.62;59.38;53.12;46.88;56.25;56.25;46.88;25.0;31.25;20.0
8;0.0028926096391677855;0.45832;0.002811176109313965;0.4669;50.0;50.0;37.5;37.5;18.75;50.0;43.75;56.25;34.38;53.12;50.0;40.62;46.88;46.88;37.5;18.75;25.0;20.0;50.0;50.0;37.5;37.5;25.0;56.25;50.0;56.25;43.75;59.38;56.25;50.0;56.25;56.25;46.88;21.88;31.25;20.0
9;0.002823036780357361;0.47592;0.002762517821788788;0.4959;50.0;50.0;37.5;37.5;25.0;50.0;50.0;56.25;34.38;53.12;50.0;43.75;46.88;46.88;37.5;18.75;25.0;30.0;50.0;50.0;37.5;37.5;25.0;56.25;50.0;56.25;43.75;59.38;56.25;50.0;56.25;56.25;43.75;21.88;31.25;30.0
