;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_features-7;training_accuracy;training_loss
0;18.75;20.0;50.0;25.0;25.0;31.25;25.0;25.0;18.75;25.0;34.38;34.38;31.25;46.88;31.25;25.0;18.75;12.5;0.2787;0.2355750850915909;37.5;10.0;75.0;50.0;56.25;56.25;37.5;43.75;40.62;50.0;53.12;59.38;50.0;68.75;62.5;62.5;53.12;50.0;0.18496;0.2583111931014061
1;31.25;20.0;50.0;37.5;31.25;43.75;31.25;31.25;25.0;50.0;37.5;37.5;37.5;46.88;37.5;37.5;25.0;25.0;0.3342;0.21458756368160248;43.75;20.0;75.0;62.5;62.5;62.5;43.75;50.0;46.88;50.0;56.25;59.38;53.12;65.62;59.38;59.38;50.0;50.0;0.26718;0.23886387311935425
2;37.5;20.0;75.0;50.0;37.5;50.0;37.5;43.75;28.12;50.0;40.62;43.75;37.5;46.88;40.62;37.5;28.12;37.5;0.386;0.2021707484126091;56.25;20.0;75.0;62.5;62.5;68.75;43.75;50.0;46.88;50.0;59.38;62.5;53.12;62.5;56.25;59.38;46.88;50.0;0.31316;0.22655433146715165
3;37.5;20.0;75.0;50.0;43.75;56.25;37.5;43.75;34.38;50.0;43.75;46.88;40.62;46.88;40.62;40.62;31.25;37.5;0.39;0.2010210176229477;56.25;20.0;75.0;62.5;62.5;68.75;43.75;50.0;46.88;50.0;59.38;59.38;50.0;62.5;56.25;56.25;46.88;50.0;0.34392;0.2170041575407982
4;43.75;20.0;75.0;50.0;43.75;56.25;37.5;43.75;34.38;50.0;46.88;46.88;40.62;46.88;40.62;40.62;31.25;50.0;0.4215;0.1896857498884201;56.25;20.0;75.0;62.5;62.5;68.75;43.75;56.25;46.88;50.0;59.38;62.5;50.0;59.38;53.12;53.12;43.75;50.0;0.36804;0.21107325836539267
5;43.75;20.0;75.0;62.5;50.0;56.25;43.75;50.0;37.5;75.0;50.0;50.0;40.62;46.88;40.62;40.62;34.38;50.0;0.4729;0.17861429851651192;56.25;20.0;75.0;75.0;56.25;68.75;50.0;56.25;46.88;50.0;59.38;62.5;50.0;59.38;53.12;53.12;40.62;62.5;0.39154;0.20565314927220343
6;50.0;30.0;75.0;62.5;50.0;62.5;43.75;50.0;37.5;75.0;50.0;50.0;43.75;46.88;40.62;40.62;34.38;50.0;0.5194;0.16701619884371757;56.25;30.0;75.0;75.0;56.25;68.75;50.0;56.25;46.88;50.0;59.38;62.5;50.0;59.38;50.0;50.0;40.62;62.5;0.42162;0.19971892461657523
7;50.0;30.0;75.0;75.0;50.0;62.5;43.75;50.0;40.62;75.0;53.12;53.12;43.75;50.0;43.75;37.5;34.38;50.0;0.4985;0.1773530749619007;56.25;40.0;75.0;75.0;56.25;68.75;50.0;62.5;50.0;50.0;59.38;62.5;50.0;59.38;50.0;46.88;40.62;62.5;0.44986;0.19354652403473854
8;50.0;30.0;75.0;75.0;50.0;62.5;43.75;56.25;40.62;75.0;53.12;56.25;46.88;46.88;43.75;37.5;34.38;50.0;0.547;0.15794129585027694;56.25;40.0;75.0;75.0;56.25;68.75;50.0;62.5;50.0;50.0;59.38;62.5;50.0;56.25;50.0;43.75;40.62;62.5;0.47342;0.18756365813493728
9;50.0;40.0;75.0;75.0;50.0;62.5;50.0;56.25;40.62;50.0;53.12;56.25;46.88;46.88;43.75;37.5;34.38;50.0;0.5793;0.14884160736501217;56.25;40.0;75.0;75.0;56.25;68.75;50.0;62.5;50.0;50.0;59.38;65.62;53.12;56.25;50.0;40.62;40.62;62.5;0.48984;0.1831992004752159
10;50.0;40.0;75.0;75.0;43.75;62.5;50.0;56.25;40.62;50.0;56.25;59.38;50.0;46.88;43.75;34.38;34.38;50.0;0.5948;0.14759637298583983;56.25;40.0;75.0;75.0;56.25;68.75;50.0;62.5;50.0;50.0;62.5;65.62;53.12;56.25;50.0;40.62;37.5;62.5;0.5081;0.17818459088087082
11;50.0;40.0;75.0;75.0;43.75;62.5;50.0;62.5;40.62;50.0;56.25;59.38;50.0;46.88;40.62;34.38;34.38;62.5;0.5819;0.15308602791130543;56.25;40.0;75.0;75.0;56.25;68.75;50.0;62.5;50.0;50.0;62.5;65.62;53.12;56.25;50.0;37.5;37.5;62.5;0.51904;0.17614426863253116
12;50.0;40.0;75.0;75.0;43.75;62.5;50.0;62.5;43.75;50.0;56.25;59.38;50.0;46.88;40.62;34.38;34.38;62.5;0.5969;0.14428357313275336;56.25;50.0;75.0;75.0;56.25;68.75;50.0;62.5;50.0;50.0;62.5;65.62;53.12;56.25;50.0;37.5;37.5;62.5;0.52972;0.1720234108710289
13;50.0;40.0;75.0;75.0;43.75;62.5;50.0;62.5;43.75;50.0;56.25;59.38;53.12;46.88;40.62;34.38;34.38;62.5;0.6145;0.13936072727739812;56.25;50.0;75.0;75.0;50.0;68.75;50.0;62.5;50.0;50.0;62.5;65.62;53.12;53.12;46.88;34.38;37.5;62.5;0.53408;0.1701529319792986
14;50.0;50.0;75.0;75.0;43.75;62.5;50.0;62.5;43.75;50.0;59.38;62.5;53.12;46.88;40.62;31.25;34.38;62.5;0.6215;0.13913809951245784;56.25;50.0;75.0;75.0;50.0;68.75;50.0;68.75;50.0;50.0;62.5;65.62;56.25;53.12;46.88;34.38;37.5;62.5;0.54652;0.16717097286105156
15;50.0;50.0;75.0;75.0;43.75;62.5;50.0;62.5;43.75;50.0;59.38;62.5;53.12;46.88;40.62;31.25;34.38;62.5;0.5949;0.14900120894014834;56.25;50.0;75.0;75.0;50.0;68.75;50.0;68.75;50.0;50.0;62.5;65.62;56.25;53.12;46.88;34.38;37.5;62.5;0.54846;0.16570355559825897
16;50.0;50.0;75.0;62.5;43.75;68.75;50.0;62.5;43.75;50.0;59.38;62.5;53.12;46.88;40.62;31.25;34.38;62.5;0.5988;0.14476594857275485;56.25;50.0;75.0;75.0;50.0;68.75;50.0;68.75;50.0;50.0;62.5;65.62;56.25;53.12;46.88;31.25;34.38;62.5;0.55264;0.1641974730116129
17;50.0;50.0;75.0;62.5;43.75;68.75;50.0;62.5;46.88;50.0;59.38;62.5;53.12;46.88;40.62;31.25;34.38;50.0;0.6157;0.1409380402624607;56.25;50.0;75.0;75.0;50.0;68.75;50.0;68.75;50.0;50.0;62.5;65.62;56.25;53.12;46.88;31.25;34.38;62.5;0.5566;0.16384596217811107
18;50.0;50.0;75.0;62.5;43.75;68.75;50.0;62.5;46.88;50.0;59.38;62.5;53.12;46.88;40.62;31.25;34.38;50.0;0.6077;0.14329527715146542;50.0;50.0;75.0;75.0;50.0;68.75;50.0;68.75;50.0;50.0;62.5;65.62;56.25;53.12;46.88;31.25;34.38;62.5;0.56304;0.16119251232266427
19;50.0;50.0;75.0;62.5;43.75;68.75;50.0;62.5;46.88;50.0;59.38;62.5;56.25;46.88;40.62;28.12;34.38;50.0;0.6179;0.1383277869462967;50.0;50.0;75.0;75.0;50.0;68.75;50.0;62.5;53.12;50.0;62.5;65.62;56.25;50.0;43.75;31.25;34.38;62.5;0.56678;0.16014052879691124
