;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.13795218359947203;0.02736;0.12883352875709533;0.0495;25.0;50.0;37.5;50.0;18.75;31.25;31.25;25.0;18.75;21.88;18.75;18.75;21.88;12.5;9.38;9.38;18.75;2.0;50.0;50.0;37.5;62.5;31.25;56.25;56.25;56.25;50.0;56.25;59.38;62.5;71.88;68.75;65.62;65.62;56.25;6.0
1;0.1283676841163635;0.05348;0.12488497080802917;0.0677;50.0;50.0;37.5;62.5;25.0;43.75;43.75;37.5;25.0;31.25;25.0;25.0;21.88;15.62;12.5;12.5;25.0;4.0;50.0;50.0;50.0;62.5;43.75;62.5;68.75;62.5;56.25;62.5;59.38;59.38;62.5;59.38;56.25;53.12;50.0;9.0
2;0.12554588303089143;0.06342;0.12093710112571716;0.0905;50.0;50.0;50.0;62.5;31.25;50.0;50.0;43.75;28.12;37.5;31.25;31.25;25.0;18.75;15.62;15.62;31.25;5.0;50.0;50.0;50.0;62.5;43.75;68.75;68.75;62.5;53.12;62.5;59.38;59.38;53.12;53.12;46.88;43.75;43.75;10.0
3;0.1232304668188095;0.07436;0.11905194056034088;0.1009;50.0;50.0;50.0;62.5;31.25;56.25;56.25;50.0;31.25;43.75;37.5;34.38;25.0;18.75;18.75;15.62;31.25;6.0;50.0;50.0;62.5;62.5;43.75;68.75;68.75;62.5;53.12;65.62;59.38;59.38;46.88;46.88;40.62;40.62;43.75;11.0
4;0.12089021802902222;0.08444;0.11587397465705872;0.1089;50.0;50.0;50.0;62.5;37.5;56.25;62.5;50.0;34.38;50.0;40.62;37.5;25.0;18.75;18.75;18.75;31.25;6.0;50.0;50.0;62.5;62.5;43.75;68.75;68.75;62.5;56.25;65.62;59.38;56.25;40.62;40.62;37.5;34.38;43.75;12.0
5;0.11932442832946777;0.0928;0.11349184410572052;0.1201;50.0;50.0;62.5;62.5;37.5;56.25;68.75;56.25;37.5;50.0;43.75;37.5;25.0;18.75;18.75;18.75;31.25;7.0;50.0;50.0;62.5;75.0;43.75;68.75;75.0;62.5;56.25;65.62;59.38;53.12;37.5;34.38;34.38;31.25;43.75;12.0
6;0.1180100919008255;0.09734;0.11252227418422699;0.1286;50.0;50.0;62.5;75.0;37.5;62.5;68.75;56.25;40.62;53.12;43.75;40.62;25.0;18.75;21.88;18.75;31.25;7.0;50.0;50.0;62.5;75.0;43.75;68.75;75.0;62.5;56.25;65.62;59.38;53.12;34.38;31.25;34.38;28.12;37.5;12.0
7;0.11730230741977692;0.10132;0.11161756222248077;0.1353;50.0;50.0;62.5;75.0;37.5;62.5;68.75;56.25;40.62;56.25;46.88;40.62;21.88;18.75;21.88;18.75;31.25;7.0;50.0;50.0;62.5;75.0;43.75;68.75;75.0;62.5;56.25;65.62;59.38;50.0;31.25;28.12;31.25;25.0;37.5;12.0
8;0.11648463162899017;0.10852;0.11013685555458069;0.133;50.0;50.0;62.5;75.0;37.5;62.5;68.75;56.25;40.62;56.25;46.88;43.75;21.88;18.75;21.88;18.75;31.25;7.0;50.0;50.0;62.5;75.0;43.75;68.75;75.0;62.5;56.25;65.62;59.38;53.12;28.12;25.0;28.12;25.0;37.5;12.0
9;0.11563274782180787;0.11228;0.11166510634422303;0.1291;50.0;50.0;62.5;62.5;37.5;62.5;68.75;56.25;43.75;59.38;50.0;43.75;21.88;18.75;21.88;18.75;31.25;7.0;50.0;50.0;62.5;75.0;43.75;68.75;75.0;62.5;56.25;65.62;59.38;50.0;28.12;21.88;28.12;25.0;37.5;12.0
