;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5619161787939072;0.02214;0.5390673527956009;0.033;50.0;50.0;25.0;37.5;12.5;25.0;25.0;25.0;21.88;34.38;34.38;34.38;34.38;46.88;34.38;31.25;12.5;1.0;50.0;75.0;50.0;50.0;25.0;50.0;50.0;37.5;43.75;56.25;56.25;53.12;56.25;65.62;65.62;68.75;56.25;7.0
1;0.5409074122953414;0.03412;0.5235730617046356;0.0495;50.0;75.0;37.5;50.0;18.75;37.5;37.5;37.5;28.12;40.62;40.62;37.5;34.38;46.88;37.5;34.38;25.0;3.0;75.0;75.0;62.5;62.5;31.25;56.25;50.0;50.0;46.88;56.25;56.25;50.0;50.0;62.5;62.5;62.5;43.75;8.0
2;0.5306006054735184;0.04472;0.5081121838092804;0.0687;50.0;75.0;50.0;50.0;18.75;37.5;43.75;43.75;34.38;43.75;43.75;37.5;37.5;46.88;37.5;37.5;31.25;5.0;75.0;75.0;62.5;50.0;31.25;56.25;56.25;50.0;46.88;56.25;56.25;50.0;50.0;62.5;59.38;59.38;43.75;9.0
3;0.5190911883974075;0.05642;0.4947745802402496;0.0775;50.0;75.0;50.0;50.0;25.0;43.75;50.0;43.75;37.5;43.75;46.88;37.5;37.5;46.88;40.62;37.5;37.5;6.0;75.0;75.0;62.5;50.0;37.5;56.25;56.25;50.0;50.0;56.25;56.25;50.0;46.88;59.38;56.25;56.25;50.0;11.0
4;0.5093646509361267;0.06468;0.48023230464458466;0.0971;50.0;75.0;50.0;50.0;31.25;50.0;56.25;50.0;37.5;46.88;50.0;37.5;34.38;46.88;40.62;37.5;43.75;7.0;75.0;75.0;62.5;50.0;37.5;56.25;62.5;56.25;50.0;56.25;59.38;46.88;43.75;59.38;53.12;53.12;56.25;12.0
5;0.5033635461187362;0.07148;0.4760595806360245;0.0989;50.0;75.0;50.0;50.0;31.25;50.0;56.25;50.0;40.62;50.0;50.0;40.62;37.5;46.88;40.62;37.5;43.75;7.0;75.0;75.0;62.5;50.0;37.5;56.25;62.5;56.25;50.0;59.38;56.25;46.88;43.75;56.25;53.12;53.12;56.25;12.0
6;0.49734146352767944;0.07684;0.467059329867363;0.1077;50.0;75.0;50.0;50.0;31.25;50.0;56.25;50.0;40.62;50.0;50.0;40.62;37.5;43.75;37.5;37.5;43.75;7.0;75.0;75.0;62.5;50.0;37.5;56.25;62.5;56.25;50.0;59.38;59.38;46.88;40.62;56.25;50.0;50.0;56.25;12.0
7;0.49355893241405485;0.0833;0.46322305443286893;0.1216;50.0;75.0;62.5;50.0;31.25;56.25;56.25;56.25;43.75;53.12;53.12;43.75;37.5;46.88;37.5;37.5;50.0;8.0;75.0;75.0;62.5;50.0;37.5;56.25;62.5;56.25;50.0;59.38;56.25;46.88;40.62;53.12;50.0;46.88;56.25;13.0
8;0.48930600702285765;0.08438;0.4573401674985886;0.1239;50.0;50.0;62.5;50.0;37.5;56.25;62.5;56.25;43.75;53.12;53.12;43.75;34.38;43.75;37.5;34.38;50.0;8.0;75.0;75.0;62.5;50.0;43.75;56.25;62.5;56.25;53.12;59.38;56.25;46.88;40.62;53.12;46.88;46.88;56.25;13.0
9;0.4865133453130722;0.08818;0.4553350350856781;0.1307;75.0;75.0;50.0;50.0;37.5;56.25;62.5;56.25;46.88;53.12;53.12;43.75;34.38;43.75;37.5;34.38;50.0;8.0;75.0;75.0;50.0;50.0;43.75;56.25;62.5;56.25;53.12;62.5;56.25;46.88;37.5;50.0;46.88;43.75;56.25;13.0
10;0.4839302660131454;0.08932;0.44441761362552645;0.1456;75.0;50.0;50.0;50.0;37.5;56.25;62.5;56.25;46.88;56.25;53.12;43.75;34.38;43.75;37.5;34.38;50.0;8.0;75.0;75.0;50.0;50.0;43.75;56.25;62.5;56.25;50.0;59.38;56.25;46.88;37.5;50.0;43.75;43.75;56.25;13.0
11;0.48086590677261354;0.0956;0.4466468230009079;0.1383;75.0;50.0;50.0;50.0;37.5;56.25;62.5;56.25;46.88;56.25;53.12;43.75;31.25;43.75;37.5;34.38;50.0;8.0;75.0;75.0;50.0;50.0;43.75;62.5;62.5;56.25;50.0;62.5;56.25;46.88;34.38;50.0;43.75;40.62;56.25;13.0
12;0.47797582380771636;0.09878;0.43813612580299377;0.1539;75.0;50.0;50.0;50.0;37.5;56.25;62.5;56.25;46.88;56.25;53.12;43.75;31.25;43.75;37.5;34.38;50.0;8.0;75.0;75.0;50.0;50.0;43.75;62.5;62.5;56.25;50.0;62.5;56.25;46.88;34.38;46.88;43.75;40.62;62.5;13.0
13;0.47549963483810426;0.10346;0.43803485453128815;0.1569;75.0;50.0;50.0;50.0;43.75;56.25;62.5;56.25;46.88;59.38;53.12;43.75;31.25;43.75;37.5;34.38;50.0;8.0;75.0;75.0;50.0;50.0;43.75;62.5;62.5;56.25;50.0;62.5;56.25;46.88;34.38;46.88;40.62;40.62;62.5;13.0
14;0.4724209823703766;0.10594;0.43622485599517824;0.1532;75.0;75.0;50.0;50.0;43.75;56.25;62.5;56.25;46.88;59.38;56.25;43.75;31.25;43.75;37.5;34.38;50.0;8.0;75.0;50.0;50.0;50.0;43.75;62.5;62.5;56.25;50.0;62.5;56.25;46.88;34.38;46.88;40.62;37.5;62.5;13.0
